artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
NF,Intro III,34vDVLuajYcOh9RTzyQx85,93033,67,0.751,0.419,167748,0.631,0.0271977,G,0.0806,-8.243,Minor,0.561,173.82,05/4,0.406,Hip-Hop
empty_field,Make It Up,5ojoOno3gRA2yxBMYBV1PZ,43727,49,0.674,0.913,221784,0.351,0.00253,C#,0.0804,-12.246,Major,0.311,105.013,04/4,0.303,R&B
The Score,Legend,4wy6YXaaZeDMeZwmh8dCMw,22916,69,0.0136,0.599,189120,0.749,0.000118,D,0.0711,-3.275,Major,0.0279,82.011,04/4,0.488,Alternative
empty_field,I Like America & America Likes Me,6men4y6a8QuGtE5qkFkOgR,72678,60,0.0392,0.439,206756,0.683,0.0650684,D#,0.109,-6.217,Major,0.0418,137.901,04/4,0.0725,Alternative
Nicki Minaj,Thought I Knew You (feat. The Weeknd),2wzsaUL31aQAna0Rnd82mM,199832,60,0.0373,0.77,225857,0.715,0.00172,C#,0.0959,-5.92,Major,0.0449,150.024,04/4,0.468,Pop
Dru Hill,Beauty,1NYTj6JEw3IOh4ggiBh82h,81727,58,0.572,0.721,246203,0.289,0.0401006,C,0.121,-14.219,Minor,0.0715,119.873,04/4,0.508,R&B
BTS,Begin,5Wcw2hbK2bXYlNpEb07gL5,213279,64,0.00361,0.566,274106,0.844,0.000257,A,0.141,-5.222,Minor,0.0444,131.049,04/4,0.291,Pop
Lil Yachty,NBAYOUNGBOAT,39pyh95CX5M3bpN7XiFJeP,135058,71,0.0515,0.769,205616,0.807,0.0120173,B,0.111,-2.966,Major,0.306,82.422,04/4,0.364,Pop
Jack Harlow,Wasted Youth,05tFLPSXJ1BbqIXy4Jeqfh,145743,51,0.335,0.779,147558,0.519,0.0271977,G#,0.101,-7.698,Major,0.426,159.953,04/4,0.358,Hip-Hop
empty_field,Bottom of the Pot,5I203fxxbMFt15KagCP0pQ,194814,61,0.0792,0.972,160373,0.735,0.0108921,G#,0.0664,-4.643,Minor,0.0572,127.036,04/4,0.55,Hip-Hop
Kevin Gates,Luca Brasi Intro,5BfNv9IBxj1eWeNq6WsjJI,167740,47,0.024,0.742,199632,0.726,0.0179686,G#,0.086,-3.844,Minor,0.297,142.854,04/4,0.302,Hip-Hop
Kelly Clarkson,Don't You Pretend,3j5v343zSsdVGSzBhhwFPJ,130130,50,0.297,0.445,193827,0.554,0.0339589,G,0.421,-5.659,Major,0.0572,182.936,03/4,0.319,R&B
Trouble,Brick (feat. Skippa Da Flippa),6wlK5pPaeWWAS4Fzff3hcK,37630,52,0.00667,0.891,158933,0.592,0.0179686,G,0.121,-4.399,Minor,0.285,144.947,04/4,0.353,Hip-Hop
Mom Jeans.,Death Cup,4SCB30Lf5Dq9MEE2y0i1KS,99907,53,0.0947,0.353,276000,0.748,0.000553,C#,0.166,-9.339,Major,0.0411,85.983,04/4,0.574,Alternative
zack villere,Leaf,0OnUVIhHgmLn3VK3FdW8DQ,165217,46,0.405,0.642,203136,0.356,0.00597,C,0.112,-10.909,Major,0.0407,146.236,04/4,0.191,Alternative
empty_field,Prayer Song,7p2OM9opdf57wfdTgA1ckw,31796,52,0.68,0.786,257899,0.56,1.53e-05,A,0.085,-8.841,Minor,0.143,112.357,04/4,0.522,Hip-Hop
Rage Against The Machine,Know Your Enemy,2SuIBw9EOAn9y6NBpar4Xw,94728,59,0.0125,0.575,204932,0.857,0.00229,E,0.145,-3.961,Major,0.155,117.413,04/4,0.623,Alternative
Diddy - Dirty Money,Coming Home,3LzR9PGcT8DtbPekw3haDY,191547,70,0.155,0.353,238693,0.822,0.0358318,G,0.332,-1.866,Major,0.232,167.905,04/4,0.237,R&B
Jon Foreman,"The House of God, Forever",4UG8TlKQRhvXeNigcHT8vr,181146,43,0.899,0.651,283987,0.2,0.002,C,0.0726,-14.413,Major,0.0359,121.044,04/4,0.238,Alternative
Trip Lee,Sweet Victory,1gpeLZDaKoUccMz0Jt5XQl,50303,52,0.554,0.52,308275,0.622,0.0179686,F#,0.0996,-7.195,Minor,0.0919,147.205,04/4,0.319,Hip-Hop
Wet,You're the Best - EP Version,5Ng6UbryNd3eds2zQk9MUf,48981,44,0.661,0.567,174533,0.392,9.75e-05,C,0.139,-7.697,Major,0.0414,99.746,04/4,0.259,R&B
empty_field,My Only One (No Hay Nadie Más),3nCFiwtuVqVJmnSasApvr3,122017,68,0.693,0.727,198280,0.526,0.00635387,F#,0.116,-6.307,Major,0.0378,105.086,04/4,0.681,Pop
