Selected,genre,instance_id,track_name,artist_name,NLRNG (Alternative),NLRNG (Blues),NLRNG (Classical),NLRNG (Comedy),NLRNG (Folk),NLRNG (Hip-Hop),NLRNG (Jazz),NLRNG (Opera),NLRNG (Pop),NLRNG (R&B)
No,Classical,1.0,"Lauft, ihr Hirten, allzugleich, MH 217 (Live)",Michael Haydn,0.00243458,0.0209836,0.634187,0.00439593,0.00354153,0.00159831,0.0122325,0.316693,0.00137434,0.00255871
No,Hip-Hop,2.0,Too Lit,Tee Grizzley,0.0377037,0.00135301,0.000619399,0.000858797,0.00280214,0.73281,0.0129252,0.00060137,0.061808,0.148519
No,Blues,3.0,Hymn 43,Jethro Tull,0.0196242,0.802964,0.0146942,0.0216658,0.0558401,0.00139008,0.0720578,0.00267562,0.00126847,0.00782001
No,R&B,4.0,Matador (feat. Ñengo Flow),Jory Boy,0.168945,0.0273361,0.00531759,0.00432077,0.0755401,0.045534,0.0518644,0.00182649,0.0087677,0.610547
No,Jazz,5.0,Forty-Second Street,Susannah McCorkle,0.0129713,0.0817386,0.0238591,0.00190276,0.0742965,0.00276652,0.774076,0.00376481,0.00178881,0.0228362
No,Blues,6.0,Too Much Stereo,The Urge,0.0158562,0.867739,0.0201699,0.0135894,0.0249724,0.00178299,0.0475206,0.0018366,0.00120375,0.00532875
No,Hip-Hop,7.0,Make Me... (feat. G-Eazy),Britney Spears,0.0830685,0.00665604,0.00154897,0.00181615,0.0216592,0.364677,0.0163835,0.00133426,0.200884,0.301973
No,Jazz,8.0,Eso Se Baila Asi,Willie Colón,0.0210835,0.402198,0.0212592,0.011012,0.0587147,0.00248109,0.45863,0.00333791,0.00175887,0.0195242
No,R&B,9.0,Down (Bonus Track),Jacquees,0.0909855,0.00420511,0.00156871,0.00158917,0.0209436,0.0498045,0.0217592,0.000825901,0.0060363,0.802282
No,R&B,10.0,Where I Met You,Moods,0.228155,0.0206635,0.00401037,0.00242471,0.119823,0.114777,0.033842,0.00202237,0.21494,0.259342
No,Pop,11.0,Tattoo,empty_field,0.0420897,0.0120068,0.00177087,0.000999283,0.0694472,0.0562287,0.00513963,0.00101388,0.744825,0.0664794
