artist_name,genre_summary,genre_mode
!!!,Alternative,Alternative
"""Weird Al"" Yankovic",Comedy,Comedy
$NOT,Hip-Hop,Hip-Hop
$olal,Jazz,Jazz
$teven Cannon,Hip-Hop,Hip-Hop
$uicideBoy$,Hip-Hop,Hip-Hop
(Sandy) Alex G,"Alternative,Folk",Folk
*NSYNC,Pop,Pop
03 Greedo,Hip-Hop,Hip-Hop
070 Shake,Hip-Hop,Hip-Hop
10 Years,Alternative,Alternative
"10,000 Maniacs","Folk,Pop",Folk
1000mods,Blues,Blues
1010 Benja SL,R&B,R&B
11 Acorn Lane,Jazz,Jazz
112,"Hip-Hop,Pop,R&B",R&B
116,Hip-Hop,Hip-Hop
11:11,R&B,R&B
12 Stones,Alternative,Alternative
1K Phew,Hip-Hop,Hip-Hop
2 Chainz,"Hip-Hop,Pop",Hip-Hop
2 LIVE CREW,Hip-Hop,Hip-Hop
21 Savage,"Hip-Hop,Pop",Hip-Hop
24hrs,R&B,R&B
2Pac,"Hip-Hop,Pop",Hip-Hop
2nd Exit,Jazz,Jazz
3 Doors Down,Alternative,Alternative
311,"Alternative,Pop",Alternative
38 Special,Folk,Folk
3LAU,Pop,Pop
3OH!3,Pop,Pop
3rd Force,Jazz,Jazz
4 Non Blondes,Pop,Pop
5 Seconds of Summer,Pop,Pop
50 Cent,"Hip-Hop,Pop",Hip-Hop
6 Dogs,Hip-Hop,Hip-Hop
641,Pop,Pop
6LACK,"Alternative,Hip-Hop,Pop,R&B",Hip-Hop
702,R&B,R&B
7Horse,Blues,Blues
7eventh Time Down,Alternative,Alternative
88GLAM,"Hip-Hop,Pop",Hip-Hop
93FEETOFSMOKE,Hip-Hop,Hip-Hop
9th Wonder,Hip-Hop,Hip-Hop
A Blaze of Feather,Folk,Folk
A Day To Remember,Pop,Pop
A Fine Frenzy,Folk,Folk
A Great Big World,Pop,Pop
A Perfect Circle,Alternative,Alternative
A R I Z O N A,Pop,Pop
A Rocket To The Moon,Alternative,Alternative
A Tribe Called Quest,"Alternative,Hip-Hop,Jazz",Jazz
A l l i e,R&B,R&B
A$AP Ferg,"Hip-Hop,Pop",Hip-Hop
A$AP Mob,"Hip-Hop,Pop",Hip-Hop
A$AP Rocky,"Hip-Hop,Pop",Hip-Hop
A$AP Twelvyy,Hip-Hop,Hip-Hop
A.C. Reed,Blues,Blues
A.CHAL,Hip-Hop,Hip-Hop
ABBA,Pop,Pop
ABRA,R&B,R&B
AFI,"Alternative,Pop",Alternative
AHI,Folk,Folk
AJ Mitchell,Pop,Pop
AJJ,Folk,Folk
AJR,Pop,Pop
AK,Hip-Hop,Hip-Hop
ARTY,Pop,Pop
ASTRO,Pop,Pop
ATEEZ,Pop,Pop
AURORA,Pop,Pop
AViVA,Pop,Pop
AWOLNATION,Alternative,Alternative
Aaliyah,"Hip-Hop,Pop,R&B",R&B
Aaron Cole,Hip-Hop,Hip-Hop
Aaron Copland,Classical,Classical
Aaron Goldberg,Jazz,Jazz
Aaron Jay Kernis,Classical,Classical
Aaron Karo,Comedy,Comedy
Aaron Lewis,Alternative,Alternative
Aaron Parks,Jazz,Jazz
Aaron Shust,Alternative,Alternative
Aaron Taylor,"Jazz,R&B",Jazz
Ab-Soul,"Alternative,Hip-Hop",Hip-Hop
Abbey Lincoln,Jazz,Jazz
Abel Carlevaro,Classical,Classical
Abhi The Nomad,Hip-Hop,Hip-Hop
Abhi//Dijon,R&B,R&B
Abner Jay,Blues,Blues
Abraham Mateo,Pop,Pop
Absofacto,Pop,Pop
Abstract,Hip-Hop,Hip-Hop
Abstract Orchestra,"Jazz,R&B",Jazz
Academy of Ancient Music,Classical,Classical
Accademia Bizantina,Opera,Opera
Ace Hood,Hip-Hop,Hip-Hop
Ace of Base,Pop,Pop
Acoustic Alchemy,Jazz,Jazz
Action Bronson,"Alternative,Hip-Hop,Pop",Hip-Hop
Adam Baldych,Jazz,Jazz
Adam Ferrara,Comedy,Comedy
Adam Gussow,Blues,Blues
Adam Hambrick,Pop,Pop
Adam Hicks,Pop,Pop
Adam Hunter,Comedy,Comedy
Adam Jensen,Alternative,Alternative
Adam Lambert,Pop,Pop
Adam Rafferty,Jazz,Jazz
Adam Sandler,Comedy,Comedy
Adele,Pop,Pop
Adelitas Way,Alternative,Alternative
Adina Howard,R&B,R&B
Adolphe Adam,Opera,Opera
Adrian Eagle,Hip-Hop,Hip-Hop
Adrian Marcel,R&B,R&B
Adrian Von Ziegler,Folk,Folk
Adrianne Lenker,Folk,Folk
Adriel Favela,Pop,Pop
Adult Mom,Folk,Folk
Ady Suleiman,R&B,R&B
Aer,Pop,Pop
Aeris Roves,"Alternative,R&B",R&B
Aesop Rock,"Alternative,Hip-Hop",Hip-Hop
Afro B,"Hip-Hop,Pop",Hip-Hop
Afroman,Hip-Hop,Hip-Hop
After 7,R&B,R&B
Afterlife,Jazz,Jazz
Aftertheparty,"Alternative,R&B",Alternative
Against All Authority,Folk,Folk
Against All Logic,Hip-Hop,Hip-Hop
Against Me!,Folk,Folk
Agnes Baltsa,Opera,Opera
Agustín Barrios Mangoré,Classical,Classical
Aha Gazelle,Hip-Hop,Hip-Hop
Ahmad Jamal,Jazz,Jazz
Ahmad Jamal Trio,Jazz,Jazz
Aim,Jazz,Jazz
Aimee Mann,Folk,Folk
Air,Alternative,Alternative
Airways,Alternative,Alternative
Aisha Badru,"Folk,Pop",Folk
Aitana,Pop,Pop
Ajmw,Jazz,Jazz
Akihiko Matsumoto,Classical,Classical
Akira Ifukube,Classical,Classical
Akira Kosemura,Classical,Classical
Akon,"Pop,R&B",R&B
Akua Naru,Jazz,Jazz
Al B. Sure!,R&B,R&B
Al Di Meola,Classical,Classical
Al Green,Blues,Blues
Al Hirt,Jazz,Jazz
Al James,Alternative,Alternative
Al Jarreau,Jazz,Jazz
Al Kooper,Blues,Blues
Al Madrigal,Comedy,Comedy
Al Stewart,Folk,Folk
Alabama Shakes,"Folk,Pop",Folk
Alan Saldaña,Comedy,Comedy
Alanis Morissette,"Alternative,Folk",Alternative
Alastair Greene,Blues,Blues
Alban Berg,"Classical,Opera",Opera
Albert Ayler,Jazz,Jazz
Albert Collins,Blues,Blues
Albert Cummings,Blues,Blues
"Albert Hammond, Jr.",Blues,Blues
Albert King,Blues,Blues
Alberta Cross,Alternative,Alternative
Alcatrazz,Classical,Classical
Aldo Romano,Jazz,Jazz
Aldo Trujillo,Pop,Pop
Aldous Harding,Folk,Folk
Alec Benjamin,Pop,Pop
Alejandro Escovedo,Folk,Folk
Alejandro Fernandez,Pop,Pop
Alejandro Sanz,Pop,Pop
Aleks Syntek,Alternative,Alternative
Alela Diane,Folk,Folk
Aleman,Hip-Hop,Hip-Hop
Alessandro De Marchi,Opera,Opera
Alessandro Scarlatti,"Classical,Opera",Opera
Alessia Cara,"Pop,R&B",R&B
Alesso,Pop,Pop
Alestorm,Folk,Folk
Alex Bugnon,Jazz,Jazz
Alex Cameron,Alternative,Alternative
Alex Chilton,Blues,Blues
Alex Clare,Alternative,Alternative
Alex Ebert,Alternative,Alternative
Alex Isley,"Alternative,R&B",Alternative
Alex Wiley,Hip-Hop,Hip-Hop
Alexander Borodin,Classical,Classical
Alexander Scriabin,Classical,Classical
Alexandra Stan,Pop,Pop
Alexi Murdoch,"Folk,Pop",Folk
Alexis Weissenberg,Classical,Classical
Alexis y Fido,Hip-Hop,Hip-Hop
Alextbh,R&B,R&B
Alfa Mist,Jazz,Jazz
Alfred Brendel,Classical,Classical
Alfred Schnittke,Classical,Classical
Alfredo Catalani,Opera,Opera
Alfredo Kraus,Opera,Opera
Alfredo Olivas,Pop,Pop
AlgoRythmik,Jazz,Jazz
Ali Akbar Khan,Classical,Classical
Ali Farka Touré,Blues,Blues
Ali Gatie,Hip-Hop,Hip-Hop
Ali LeRoi,Comedy,Comedy
Alice Coltrane,Jazz,Jazz
Alice Cooper,Blues,Blues
Alice Francis,Jazz,Jazz
Alice In Chains,Alternative,Alternative
Alice Pisano,Alternative,Alternative
Alice Russell,Jazz,Jazz
Alicia Keys,"Pop,R&B",R&B
Alien Ant Farm,"Alternative,Pop",Alternative
Alina Baraz,"Alternative,Pop,R&B",R&B
Aliocha,Folk,Folk
Alisa Weilerstein,Classical,Classical
Alison Balsom,Classical,Classical
Alison Krauss,Folk,Folk
Alison Krauss & Union Station,Folk,Folk
All That Jazz,Jazz,Jazz
All That Remains,Alternative,Alternative
All Them Witches,Blues,Blues
All Time Low,Pop,Pop
All-4-One,R&B,R&B
Allah-Las,Folk,Folk
Allan Kingdom,Hip-Hop,Hip-Hop
Allen Toussaint,Blues,Blues
Allman Brown,Folk,Folk
Aloe Blacc,R&B,R&B
Alonzo Bodden,Comedy,Comedy
Alta Consigna,Pop,Pop
Altan,Folk,Folk
Alter Bridge,Alternative,Alternative
AlunaGeorge,R&B,R&B
Alvaro Soler,Pop,Pop
Alvin Lee,Blues,Blues
Alvin Youngblood Hart,Blues,Blues
Alvvays,Folk,Folk
Always Never,"Alternative,R&B",R&B
Aly & AJ,Pop,Pop
Alysha Brilla,Blues,Blues
Ama Lou,"Alternative,R&B",R&B
Amaal,R&B,R&B
Amanda Palmer,Folk,Folk
Amanda Shires,Folk,Folk
Amazonics,Jazz,Jazz
Amber Mark,"Alternative,R&B",R&B
Amber Run,"Folk,Pop",Folk
Ambroise Thomas,Opera,Opera
Ambrose Akinmusire,Jazz,Jazz
Ambrosia,Folk,Folk
Ambrosian Opera Chorus,Opera,Opera
Amen Dunes,Folk,Folk
America,Folk,Folk
American Authors,Pop,Pop
American Football,Alternative,Alternative
Amerie,"Hip-Hop,R&B",R&B
Amigo the Devil,Folk,Folk
Amilcare Ponchielli,"Classical,Opera",Opera
Amilli,R&B,R&B
Aminé,"Hip-Hop,Pop",Hip-Hop
Amir Obe,"Hip-Hop,R&B",Hip-Hop
Amon Amarth,Alternative,Alternative
Amon Tobin,Jazz,Jazz
Amos Lee,Folk,Folk
Amos Milburn,Blues,Blues
Amy Grant,Alternative,Alternative
Amy Liz,Folk,Folk
Amy Macdonald,Folk,Folk
Amy Schumer,Comedy,Comedy
An Endless Sporadic,Jazz,Jazz
Ana Popovic,Blues,Blues
Analogik,Jazz,Jazz
Anarbor,Pop,Pop
Anat Cohen,Classical,Classical
Anaïs Mitchell,Folk,Folk
Anberlin,Alternative,Alternative
Ancient Astronauts,Jazz,Jazz
Ancient Bards,Classical,Classical
Anders Miolin,Classical,Classical
Anders Osborne,Blues,Blues
Anderson East,"Blues,Folk",Blues
Anderson and Roe,Classical,Classical
Andi Smith,Comedy,Comedy
Andra Day,R&B,R&B
Andrae Crouch,R&B,R&B
Andrea Bocelli,Classical,Classical
Andrea von Kampen,Folk,Folk
Andreas Scholl,Opera,Opera
Andrei Krylov,Classical,Classical
Andrelli,Pop,Pop
"Andrew ""Jr Boy"" Jones",Blues,Blues
Andrew Belle,"Folk,Pop",Folk
Andrew Bird,Folk,Folk
Andrew Cyrille,Jazz,Jazz
Andrew Dice Clay,Comedy,Comedy
Andrew Norelli,Comedy,Comedy
Andrew Peterson,Alternative,Alternative
Andrew York,Classical,Classical
André Laplante,Classical,Classical
André Messager,Opera,Opera
André Previn,Classical,Classical
André-Ernest-Modeste Grétry,Opera,Opera
Andrés Calamaro,"Alternative,Jazz",Alternative
Andrés Segovia,Classical,Classical
Andy Black,Pop,Pop
Andy Frasco & the U.N.,Blues,Blues
Andy Grammer,Pop,Pop
Andy Hendrickson,Comedy,Comedy
Andy James,Classical,Classical
Andy Kong,Folk,Folk
Andy Mineo,Hip-Hop,Hip-Hop
Andy Montañez,Jazz,Jazz
Andy Ritchie,Comedy,Comedy
Andy Shauf,Folk,Folk
Andy Snitzer,Jazz,Jazz
Andy Timmons,Classical,Classical
Andy Williams,Jazz,Jazz
Andy Woodhull,Comedy,Comedy
Ane Brun,Folk,Folk
Anfa Rose,Hip-Hop,Hip-Hop
Angel Canales,Jazz,Jazz
Angel Olsen,"Alternative,Folk",Folk
Angel Snow,Alternative,Alternative
"Angele Dubeau, Ensemble Amati, Raymond Dessaints",Classical,Classical
Angelo Badalamenti,Jazz,Jazz
Angelo De Augustine,Folk,Folk
Angra,Classical,Classical
Angus & Julia Stone,"Folk,Pop",Folk
Angélica Negrón,Classical,Classical
Ani DiFranco,Folk,Folk
Anika,Folk,Folk
Animal Collective,"Folk,Pop",Folk
Animals As Leaders,Jazz,Jazz
Anita Baker,"Jazz,R&B",Jazz
Anita O'Day,Jazz,Jazz
Anjelah Johnson,Comedy,Comedy
Ann Hampton Callaway,Jazz,Jazz
Ann Peebles,Blues,Blues
Anna Clendening,Pop,Pop
Anna Moffo,Opera,Opera
Anna Nalick,"Folk,Pop",Folk
Anna Netrebko,Opera,Opera
Anna Of The North,Pop,Pop
Anne Murray,Folk,Folk
Anne Sofie von Otter,"Classical,Opera",Opera
Anne-Marie,Pop,Pop
Annella,Jazz,Jazz
Anni Piper,Blues,Blues
Annie Lennox,Folk,Folk
Annmarie,"Pop,R&B",R&B
Anomalie,R&B,R&B
Anomaly,Jazz,Jazz
Anouar Brahem,"Folk,Jazz",Jazz
Ansel Elgort,Pop,Pop
Anthem Lights,Alternative,Alternative
Anthony Evans,R&B,R&B
Anthony Gomes,Blues,Blues
Anthony Hamilton,R&B,R&B
Anthony Jeselnik,Comedy,Comedy
Anthony Russo,Pop,Pop
Anthrax,Alternative,Alternative
Anti-Lilly & Phoniks,Jazz,Jazz
Anton Batagov,Classical,Classical
Anton Bruckner,Classical,Classical
Anton Rubinstein,Classical,Classical
Anton Webern,Classical,Classical
Antonio Caldara,Opera,Opera
Antonio Cesti,Opera,Opera
Antonio Maria Bononcini,Opera,Opera
Antonio Salieri,Classical,Classical
Antonio Sartorio,Opera,Opera
Antonio Soler,Classical,Classical
Antonio Vivaldi,Classical,Classical
Antonín Dvořák,Classical,Classical
Antônio Carlos Jobim,Classical,Classical
Anya Marina,Folk,Folk
Aníbal El Muerto,Comedy,Comedy
Anúna,Folk,Folk
Aoife O'Donovan,Folk,Folk
Aolani,R&B,R&B
Apes of the State,Folk,Folk
Apocalypse Orchestra,Folk,Folk
Apocalyptica,Alternative,Alternative
Apollo Brown,Alternative,Alternative
Appleby,"Alternative,R&B",R&B
April + Vista,R&B,R&B
Aqua,Pop,Pop
