artist_name,genre - Mode
!!!,Alternative
"""Weird Al"" Yankovic",Comedy
$NOT,Hip-Hop
$olal,Jazz
$teven Cannon,Hip-Hop
$uicideBoy$,Hip-Hop
(Sandy) Alex G,Folk
*NSYNC,Pop
03 Greedo,Hip-Hop
070 Shake,Hip-Hop
10 Years,Alternative
"10,000 Maniacs",Folk
1000mods,Blues
1010 Benja SL,R&B
11 Acorn Lane,Jazz
112,R&B
116,Hip-Hop
11:11,R&B
12 Stones,Alternative
1K Phew,Hip-Hop
2 Chainz,Hip-Hop
2 LIVE CREW,Hip-Hop
21 Savage,Hip-Hop
24hrs,R&B
2Pac,Hip-Hop
2nd Exit,Jazz
3 Doors Down,Alternative
311,Alternative
38 Special,Folk
3LAU,Pop
3OH!3,Pop
3rd Force,Jazz
4 Non Blondes,Pop
5 Seconds of Summer,Pop
50 Cent,Hip-Hop
6 Dogs,Hip-Hop
641,Pop
6LACK,Hip-Hop
702,R&B
7Horse,Blues
7eventh Time Down,Alternative
88GLAM,Hip-Hop
93FEETOFSMOKE,Hip-Hop
9th Wonder,Hip-Hop
A Blaze of Feather,Folk
A Day To Remember,Pop
A Fine Frenzy,Folk
A Great Big World,Pop
A Perfect Circle,Alternative
A R I Z O N A,Pop
A Rocket To The Moon,Alternative
A Tribe Called Quest,Jazz
A l l i e,R&B
A$AP Ferg,Hip-Hop
A$AP Mob,Hip-Hop
A$AP Rocky,Hip-Hop
A$AP Twelvyy,Hip-Hop
A.C. Reed,Blues
A.CHAL,Hip-Hop
ABBA,Pop
ABRA,R&B
AFI,Alternative
AHI,Folk
AJ Mitchell,Pop
AJJ,Folk
AJR,Pop
AK,Hip-Hop
ARTY,Pop
ASTRO,Pop
ATEEZ,Pop
AURORA,Pop
AViVA,Pop
AWOLNATION,Alternative
Aaliyah,R&B
Aaron Cole,Hip-Hop
Aaron Copland,Classical
Aaron Goldberg,Jazz
Aaron Jay Kernis,Classical
Aaron Karo,Comedy
Aaron Lewis,Alternative
Aaron Parks,Jazz
Aaron Shust,Alternative
Aaron Taylor,Jazz
Ab-Soul,Hip-Hop
Abbey Lincoln,Jazz
Abel Carlevaro,Classical
Abhi The Nomad,Hip-Hop
Abhi//Dijon,R&B
Abner Jay,Blues
Abraham Mateo,Pop
Absofacto,Pop
Abstract,Hip-Hop
Abstract Orchestra,Jazz
Academy of Ancient Music,Classical
Accademia Bizantina,Opera
Ace Hood,Hip-Hop
Ace of Base,Pop
Acoustic Alchemy,Jazz
Action Bronson,Hip-Hop
Adam Baldych,Jazz
Adam Ferrara,Comedy
Adam Gussow,Blues
Adam Hambrick,Pop
Adam Hicks,Pop
Adam Hunter,Comedy
Adam Jensen,Alternative
Adam Lambert,Pop
Adam Rafferty,Jazz
Adam Sandler,Comedy
Adele,Pop
Adelitas Way,Alternative
Adina Howard,R&B
Adolphe Adam,Opera
Adrian Eagle,Hip-Hop
Adrian Marcel,R&B
Adrian Von Ziegler,Folk
