genre - Concatenate,artist_name,genre - Mode
Alternative,!!!,Alternative
Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy,"""Weird Al"" Yankovic",Comedy
Hip-Hop Hip-Hop,$NOT,Hip-Hop
Jazz,$olal,Jazz
Hip-Hop,$teven Cannon,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop,$uicideBoy$,Hip-Hop
Alternative Folk Folk Folk Folk Folk,(Sandy) Alex G,Folk
Pop Pop Pop Pop Pop,*NSYNC,Pop
Hip-Hop Hip-Hop,03 Greedo,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop,070 Shake,Hip-Hop
Alternative Alternative Alternative Alternative Alternative Alternative,10 Years,Alternative
Folk Folk Pop,"10,000 Maniacs",Folk
Blues Blues,1000mods,Blues
R&B,1010 Benja SL,R&B
Jazz Jazz,11 Acorn Lane,Jazz
Hip-Hop Pop R&B R&B R&B,112,R&B
Hip-Hop Hip-Hop,116,Hip-Hop
R&B R&B R&B R&B,11:11,R&B
Alternative,12 Stones,Alternative
Hip-Hop Hip-Hop Hip-Hop,1K Phew,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,2 Chainz,Hip-Hop
Hip-Hop,2 LIVE CREW,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,21 Savage,Hip-Hop
R&B R&B R&B R&B R&B R&B,24hrs,R&B
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop,2Pac,Hip-Hop
Jazz,2nd Exit,Jazz
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,3 Doors Down,Alternative
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Pop,311,Alternative
Folk Folk,38 Special,Folk
Pop,3LAU,Pop
Pop,3OH!3,Pop
Jazz Jazz,3rd Force,Jazz
Pop,4 Non Blondes,Pop
Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,5 Seconds of Summer,Pop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop,50 Cent,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop,6 Dogs,Hip-Hop
Pop,641,Pop
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B R&B,6LACK,Hip-Hop
R&B R&B,702,R&B
Blues Blues Blues,7Horse,Blues
Alternative,7eventh Time Down,Alternative
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop,88GLAM,Hip-Hop
Hip-Hop,93FEETOFSMOKE,Hip-Hop
Hip-Hop,9th Wonder,Hip-Hop
Folk,A Blaze of Feather,Folk
Pop Pop Pop Pop,A Day To Remember,Pop
Folk Folk,A Fine Frenzy,Folk
Pop Pop,A Great Big World,Pop
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,A Perfect Circle,Alternative
Pop Pop,A R I Z O N A,Pop
Alternative,A Rocket To The Moon,Alternative
Alternative Alternative Alternative Alternative Alternative Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz Jazz,A Tribe Called Quest,Jazz
R&B,A l l i e,R&B
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop,A$AP Ferg,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop,A$AP Mob,Hip-Hop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop Pop,A$AP Rocky,Hip-Hop
Hip-Hop,A$AP Twelvyy,Hip-Hop
Blues,A.C. Reed,Blues
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop,A.CHAL,Hip-Hop
Pop Pop,ABBA,Pop
R&B R&B R&B R&B,ABRA,R&B
Alternative Alternative Alternative Alternative Alternative Pop,AFI,Alternative
Folk,AHI,Folk
Pop,AJ Mitchell,Pop
Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk Folk,AJJ,Folk
Pop Pop Pop Pop Pop Pop Pop,AJR,Pop
Hip-Hop Hip-Hop Hip-Hop Hip-Hop,AK,Hip-Hop
Pop,ARTY,Pop
Pop,ASTRO,Pop
Pop Pop,ATEEZ,Pop
Pop,AURORA,Pop
Pop,AViVA,Pop
Alternative Alternative Alternative,AWOLNATION,Alternative
Hip-Hop Hip-Hop Hip-Hop Pop Pop R&B R&B R&B R&B R&B,Aaliyah,R&B
Hip-Hop,Aaron Cole,Hip-Hop
Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical Classical,Aaron Copland,Classical
Jazz,Aaron Goldberg,Jazz
Classical Classical,Aaron Jay Kernis,Classical
Comedy Comedy,Aaron Karo,Comedy
Alternative Alternative Alternative Alternative Alternative Alternative Alternative Alternative,Aaron Lewis,Alternative
Jazz Jazz,Aaron Parks,Jazz
Alternative Alternative,Aaron Shust,Alternative
Jazz Jazz R&B R&B,Aaron Taylor,Jazz
Alternative Alternative Hip-Hop Hip-Hop Hip-Hop,Ab-Soul,Hip-Hop
Jazz,Abbey Lincoln,Jazz
Classical Classical,Abel Carlevaro,Classical
Hip-Hop Hip-Hop Hip-Hop,Abhi The Nomad,Hip-Hop
R&B,Abhi//Dijon,R&B
Blues,Abner Jay,Blues
Pop,Abraham Mateo,Pop
Pop,Absofacto,Pop
Hip-Hop Hip-Hop,Abstract,Hip-Hop
Jazz R&B,Abstract Orchestra,Jazz
Classical,Academy of Ancient Music,Classical
Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera Opera,Accademia Bizantina,Opera
Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop,Ace Hood,Hip-Hop
Pop,Ace of Base,Pop
Jazz Jazz Jazz Jazz,Acoustic Alchemy,Jazz
Alternative Alternative Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Pop,Action Bronson,Hip-Hop
