Selected,artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,Three Days Grace,Infra-Red,2JdKKksWAkX7Tqvr3JwbnG,38984,62,0.00115,0.568,230933,0.907,0.0,F,0.0982,-4.641,Minor,0.0488,112.037,04-Apr,0.337,Alternative
No,Alina Baraz,Coming To My Senses,3M0QK0bYdiGMu6JNoPk8YG,93005,51,0.342,0.618,186868,0.431,5.82e-05,A,0.169,-10.481,Minor,0.0483,80.062,04-Apr,0.21,Alternative
No,The Front Bottoms,Lipstick Covered Magnet,4TyeyVjCW0iwgvW59nShYA,80531,41,0.00154,0.463,154427,0.745,0.0,C,0.367,-5.544,Major,0.0437,,04-Apr,0.79,Alternative
No,Broken Bells,The High Road,4zVfkq1eKaH7R2hUIUKu1R,44438,63,0.0682,0.61,232200,0.637,6.12e-06,C,0.284,-6.574,Major,0.0238,79.955,04-Apr,0.609,Alternative
No,Ari Lennox,40 Shades of Choke,4ezoLNETAkSv2XJ3ALB6Fg,55466,52,0.619,0.733,-1,0.508,0.00452,F,0.0491,-7.962,Major,0.461,104.62,04-Apr,0.867,Alternative
No,Killer Mike,Ready Set Go (Remix),6ZvGIWs3Vt4cmVkuycJaFM,133371,46,0.181,0.69,-1,0.638,0.0,C#,0.0885,-3.615,Major,0.351,85.196,04-Apr,0.181,Alternative
No,Atreyu,Doomsday,3k4SxB91guEeAYgrl3PIx0,160160,41,0.00164,0.441,199600,0.975,0.0546,C,0.153,-3.528,Minor,0.271,163.062,04-Apr,0.241,Alternative
No,Counting Crows,Omaha,74wjy8LzSYH6IL7qSLQUO4,190917,48,0.238,0.59,219400,0.517,0.0,A,0.182,-9.239,Major,0.0312,,04-Apr,0.566,Alternative
No,Pantera,This Love,6LHa6NpQp56PwwuBMNhaXQ,99456,55,0.000312,0.402,393706,0.73,0.323,F#,0.103,-9.327,Major,0.0455,104.527,04-Apr,0.296,Alternative
No,OSHUN,My World,3ZYOXXgkp09xzMH0wWqonq,154417,46,0.503,0.462,270816,0.481,1.82e-06,F,0.176,-8.608,Major,0.0793,135.682,04-Apr,0.225,Alternative
No,empty_field,No Rain,2z4Lf00rA9GCT2kcsvgm5K,141579,71,0.619,0.389,217107,0.476,5.09e-05,A,0.255,-9.342,Major,0.0316,148.117,04-Apr,0.566,Alternative
No,Santigold,L.E.S. Artistes,6TA5aymvVrtiPVbuAwmPIc,28710,50,0.0348,0.869,204907,0.796,1.01e-05,E,0.111,-2.001,Major,0.034,117.99,04-Apr,0.726,Alternative
No,BJ The Chicago Kid,Church,0y1QJc3SJVPKJ1OvFmFqe6,141634,58,0.0481,0.672,287333,0.569,0.0,B,0.295,-6.319,Minor,0.0624,95.971,04-Apr,0.46,Alternative
No,Francesca Battistelli,If We're Honest,33wQe2HgEkIziyrHeVUwE2,45787,45,0.632,0.597,189503,0.363,0.0,A#,0.134,-8.834,Major,0.0258,106.994,04-Apr,0.188,Alternative
No,empty_field,Sometimes,25gXwa9Wpa3CRu41GQ6iZc,210985,44,0.0173,0.581,-1,0.861,7.85e-05,G,0.175,-4.992,Minor,0.0334,124.992,04-Apr,0.45,Alternative
No,Puddle Of Mudd,Famous,2uBUM0WhWYrdXq0wYhefhw,87024,49,6e-05,0.411,196293,0.928,0.0,F#,0.0719,-3.302,Minor,0.104,,04-Apr,0.282,Alternative
No,empty_field,Suggestions,7Hk12JkCFwLO4s1jRGBS6s,158677,53,0.0136,0.356,163933,0.91,0.00601,D,0.333,-4.85,Major,0.141,177.962,04-Apr,0.063,Alternative
No,Ta-ku,Love Again,5iHsTbHXWPSwLtpJb8bXub,29287,42,0.063,0.513,-1,0.327,0.000253,C,0.117,-8.798,Minor,0.0346,78.412,04-Apr,0.146,Alternative
No,The Internet,It Gets Better (With Time),6mekN3PFCKg64bKVQKrmCh,152529,48,0.687,0.484,326533,0.375,3.29e-05,G,0.105,-8.957,Major,0.364,83.997,04-Apr,0.514,Alternative
No,Shaman's Harvest,Ten Million Voices,6urBMNarztXhgZ93wItFTQ,176655,46,0.00798,0.49,238227,0.71,0.0,C,0.127,-3.135,Minor,0.0332,112.661,04-Apr,0.437,Alternative
