genre,instance_id
Classical,1
Hip-Hop,2
Blues,3
Jazz,5
R&B,7
Jazz,8
R&B,9
R&B,10
Jazz,13
Alternative,14
Jazz,16
Opera,19
Comedy,20
Comedy,21
R&B,23
Comedy,24
Blues,29
Pop,30
Pop,32
Hip-Hop,33
R&B,35
Comedy,37
Pop,38
Classical,42
Blues,43
Hip-Hop,45
R&B,48
R&B,52
Blues,53
Hip-Hop,54
R&B,55
R&B,57
Comedy,59
Alternative,60
Blues,61
Pop,62
R&B,64
Classical,65
Comedy,67
Alternative,68
R&B,69
R&B,70
R&B,71
R&B,72
Hip-Hop,73
Hip-Hop,76
Blues,78
Blues,80
R&B,82
Classical,83
Blues,85
Alternative,86
Hip-Hop,87
Hip-Hop,88
Hip-Hop,92
Folk,93
Opera,94
Comedy,95
Blues,96
Pop,98
Jazz,100
Alternative,101
R&B,103
Alternative,104
Blues,107
Alternative,108
Hip-Hop,109
R&B,110
Hip-Hop,114
Folk,116
Jazz,117
Opera,119
Hip-Hop,121
Classical,122
Hip-Hop,123
Hip-Hop,125
Comedy,126
Blues,128
Hip-Hop,129
R&B,130
Pop,132
Alternative,133
Folk,134
Classical,136
Blues,137
Opera,138
R&B,142
R&B,143
Comedy,144
Folk,145
Alternative,146
Comedy,147
R&B,148
Opera,149
Folk,151
Jazz,152
R&B,155
R&B,156
Jazz,157
R&B,159
R&B,161
Jazz,164
Jazz,165
R&B,166
Blues,167
Alternative,169
Alternative,170
Hip-Hop,171
Alternative,172
R&B,174
Folk,176
R&B,177
Comedy,179
Alternative,181
Alternative,182
Comedy,183
Opera,184
Alternative,186
Folk,191
Jazz,192
Classical,194
Pop,195
Opera,196
Comedy,198
Classical,199
R&B,203
Alternative,204
Comedy,205
R&B,206
Hip-Hop,209
Opera,212
Alternative,214
Pop,215
Hip-Hop,218
Alternative,219
Opera,221
Comedy,222
Comedy,225
Hip-Hop,226
Alternative,227
Jazz,228
Hip-Hop,230
Alternative,231
Alternative,232
Hip-Hop,233
Comedy,234
Comedy,235
Jazz,236
Opera,238
Pop,239
Jazz,241
Alternative,243
Classical,245
Folk,248
Opera,249
Pop,250
Hip-Hop,251
Comedy,253
Pop,255
Blues,256
R&B,257
Jazz,258
R&B,261
Blues,264
Alternative,265
Folk,268
Pop,270
Classical,276
R&B,277
Blues,280
Pop,281
Hip-Hop,282
Pop,283
R&B,284
Alternative,285
Alternative,286
R&B,287
Comedy,288
Opera,289
Jazz,290
Hip-Hop,291
Hip-Hop,293
Jazz,295
Alternative,297
