instance_id,genre
1,Classical
2,Hip-Hop
3,Blues
5,Jazz
7,R&B
8,Jazz
9,R&B
10,R&B
13,Jazz
14,Alternative
16,Jazz
19,Opera
20,Comedy
21,Comedy
23,R&B
24,Comedy
29,Blues
30,Pop
32,Pop
33,Hip-Hop
35,R&B
37,Comedy
38,Pop
42,Classical
43,Blues
45,Hip-Hop
48,R&B
52,R&B
53,Blues
54,Hip-Hop
55,R&B
57,R&B
59,Comedy
60,Alternative
61,Blues
62,Pop
64,R&B
65,Classical
67,Comedy
68,Alternative
69,R&B
70,R&B
71,R&B
72,R&B
73,Hip-Hop
76,Hip-Hop
78,Blues
80,Blues
82,R&B
83,Classical
85,Blues
86,Alternative
87,Hip-Hop
88,Hip-Hop
92,Hip-Hop
93,Folk
94,Opera
95,Comedy
96,Blues
98,Pop
100,Jazz
101,Alternative
103,R&B
104,Alternative
107,Blues
108,Alternative
109,Hip-Hop
110,R&B
114,Hip-Hop
116,Folk
117,Jazz
119,Opera
121,Hip-Hop
122,Classical
123,Hip-Hop
125,Hip-Hop
126,Comedy
128,Blues
129,Hip-Hop
130,R&B
132,Pop
133,Alternative
134,Folk
136,Classical
137,Blues
138,Opera
142,R&B
143,R&B
144,Comedy
145,Folk
146,Alternative
147,Comedy
148,R&B
149,Opera
151,Folk
152,Jazz
155,R&B
156,R&B
157,Jazz
159,R&B
161,R&B
164,Jazz
165,Jazz
166,R&B
167,Blues
169,Alternative
170,Alternative
171,Hip-Hop
172,Alternative
174,R&B
176,Folk
177,R&B
179,Comedy
181,Alternative
182,Alternative
183,Comedy
184,Opera
186,Alternative
191,Folk
192,Jazz
194,Classical
195,Pop
196,Opera
198,Comedy
199,Classical
203,R&B
204,Alternative
205,Comedy
206,R&B
209,Hip-Hop
212,Opera
214,Alternative
215,Pop
218,Hip-Hop
219,Alternative
221,Opera
222,Comedy
225,Comedy
226,Hip-Hop
227,Alternative
228,Jazz
230,Hip-Hop
231,Alternative
232,Alternative
233,Hip-Hop
234,Comedy
235,Comedy
236,Jazz
238,Opera
239,Pop
241,Jazz
243,Alternative
245,Classical
248,Folk
249,Opera
250,Pop
251,Hip-Hop
253,Comedy
255,Pop
256,Blues
257,R&B
258,Jazz
261,R&B
264,Blues
265,Alternative
268,Folk
270,Pop
276,Classical
277,R&B
280,Blues
281,Pop
282,Hip-Hop
283,Pop
284,R&B
285,Alternative
286,Alternative
287,R&B
288,Comedy
289,Opera
290,Jazz
291,Hip-Hop
293,Hip-Hop
295,Jazz
297,Alternative
298,Pop
299,Blues
301,R&B
303,Blues
305,Comedy
306,Folk
309,Alternative
310,Hip-Hop
312,Hip-Hop
313,Blues
317,Pop
318,Opera
319,Alternative
324,R&B
325,Jazz
328,Opera
334,Comedy
337,Alternative
338,Comedy
340,Pop
341,Folk
343,Folk
345,Alternative
346,R&B
349,Alternative
350,Blues
351,Alternative
352,Hip-Hop
353,Blues
355,Opera
357,Opera
359,Classical
360,Classical
361,Alternative
362,Blues
364,Folk
365,Classical
366,Comedy
367,Opera
369,Blues
371,Comedy
377,Opera
378,Pop
379,Alternative
380,Blues
381,Blues
382,Folk
383,Folk
385,Opera
386,Folk
387,Comedy
388,R&B
389,R&B
391,Alternative
393,Comedy
394,Jazz
395,Folk
397,Alternative
399,Pop
400,Folk
402,Alternative
403,Blues
404,Classical
405,Hip-Hop
406,Blues
409,Jazz
410,Folk
412,Classical
413,Jazz
419,Jazz
421,Classical
422,Blues
425,Opera
428,Comedy
429,R&B
430,Comedy
432,Alternative
433,Classical
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Classical
441,Comedy
442,Opera
444,R&B
445,Alternative
447,Comedy
448,Opera
449,Classical
457,Hip-Hop
462,Alternative
463,Comedy
464,Alternative
467,Pop
468,Hip-Hop
470,Hip-Hop
471,Comedy
472,R&B
473,Alternative
475,Blues
476,Opera
477,Hip-Hop
479,Hip-Hop
480,Hip-Hop
481,Blues
482,Comedy
483,Hip-Hop
484,Classical
485,Jazz
487,Opera
488,Blues
490,Alternative
494,Comedy
495,Blues
499,Folk
500,Classical
501,Folk
502,R&B
503,Blues
506,Blues
508,R&B
512,Jazz
514,Classical
517,Blues
519,Blues
520,Blues
521,Blues
522,Blues
524,R&B
526,Hip-Hop
528,Folk
529,R&B
533,Alternative
534,Pop
535,Hip-Hop
536,Folk
537,Folk
539,R&B
540,Alternative
543,Hip-Hop
544,Alternative
545,Hip-Hop
546,Classical
548,Hip-Hop
551,Folk
552,Hip-Hop
553,Hip-Hop
555,Blues
558,Alternative
559,Folk
561,Hip-Hop
562,Pop
563,Hip-Hop
564,Jazz
566,Comedy
571,Jazz
572,Alternative
574,Blues
575,Opera
576,Opera
577,R&B
578,Jazz
579,Comedy
582,Folk
587,R&B
591,Pop
594,Classical
596,R&B
600,R&B
603,Alternative
604,Blues
608,Jazz
609,Opera
611,Comedy
613,Opera
614,Blues
615,Hip-Hop
619,Comedy
621,Blues
623,R&B
625,R&B
626,R&B
628,Pop
631,Comedy
632,Hip-Hop
634,Hip-Hop
637,Comedy
638,Hip-Hop
640,Hip-Hop
645,Alternative
646,Blues
647,Jazz
648,Jazz
649,Jazz
652,Folk
653,R&B
660,Hip-Hop
662,R&B
663,Classical
664,Hip-Hop
667,R&B
670,Classical
671,Jazz
674,Hip-Hop
675,Comedy
677,R&B
681,R&B
683,Alternative
684,R&B
688,Comedy
689,Hip-Hop
693,Folk
694,Blues
695,Alternative
696,Jazz
699,Jazz
700,R&B
701,R&B
704,Hip-Hop
705,Classical
706,Folk
707,Comedy
708,Blues
710,Classical
713,Jazz
714,Comedy
715,R&B
717,Comedy
718,Jazz
719,Blues
724,Pop
725,Alternative
726,Hip-Hop
730,Jazz
732,Comedy
733,R&B
734,Hip-Hop
735,Folk
736,Hip-Hop
737,Jazz
738,Blues
739,Hip-Hop
743,Folk
744,Alternative
747,Classical
748,Pop
749,R&B
751,Jazz
752,Alternative
753,Hip-Hop
755,Jazz
756,Comedy
757,R&B
758,Alternative
761,Alternative
763,Blues
764,R&B
765,R&B
767,Hip-Hop
773,R&B
774,Comedy
776,R&B
778,Blues
779,Opera
780,Hip-Hop
781,Blues
782,R&B
784,Alternative
785,Hip-Hop
787,Comedy
788,Hip-Hop
793,Jazz
796,Classical
799,R&B
800,Folk
802,Alternative
803,Alternative
805,Jazz
806,Classical
808,Classical
809,Comedy
810,Jazz
812,Jazz
813,Opera
815,Blues
816,Opera
817,R&B
818,Folk
820,R&B
821,R&B
823,Comedy
825,Blues
827,Comedy
828,Hip-Hop
832,Opera
833,R&B
834,Blues
835,Blues
838,Pop
839,Comedy
840,Opera
842,Jazz
845,Pop
846,Comedy
847,Folk
849,Blues
850,R&B
853,R&B
854,Blues
855,Hip-Hop
857,Blues
858,Blues
859,Alternative
860,Pop
862,Opera
863,R&B
865,Hip-Hop
872,R&B
873,Comedy
874,Alternative
875,Jazz
876,Pop
878,Blues
880,Pop
881,Jazz
882,Alternative
883,Jazz
884,R&B
885,Alternative
887,Hip-Hop
890,Opera
891,Pop
893,Jazz
894,Comedy
896,Blues
897,Hip-Hop
900,Hip-Hop
902,Folk
903,Pop
905,R&B
906,Hip-Hop
911,Blues
913,Pop
915,Alternative
916,Hip-Hop
917,Jazz
918,Comedy
920,Blues
922,Classical
923,R&B
924,Opera
925,Pop
927,R&B
928,Hip-Hop
929,Hip-Hop
932,Alternative
934,Hip-Hop
935,Hip-Hop
936,R&B
937,Jazz
938,Pop
940,Folk
941,Hip-Hop
942,Hip-Hop
943,Jazz
945,Blues
946,Comedy
948,Folk
949,Blues
950,Hip-Hop
952,Jazz
953,Hip-Hop
954,Folk
957,Hip-Hop
958,Blues
960,R&B
961,Comedy
962,Pop
963,R&B
965,Comedy
966,Folk
968,Classical
969,R&B
970,Folk
971,Jazz
974,Classical
976,Pop
977,Pop
979,Blues
980,Folk
981,Hip-Hop
983,Hip-Hop
985,Folk
986,Hip-Hop
992,Jazz
994,R&B
995,Hip-Hop
996,Blues
999,Jazz
1000,R&B
1001,Classical
1002,Opera
1004,Blues
1006,R&B
1009,R&B
1012,Opera
1013,R&B
1015,Hip-Hop
1016,Hip-Hop
1017,Comedy
1024,R&B
1025,Hip-Hop
1026,Hip-Hop
1031,Comedy
1032,Opera
1039,Jazz
1040,Folk
1041,Folk
1042,R&B
1044,Blues
1046,Blues
1047,R&B
1048,Hip-Hop
1050,Pop
1052,R&B
1053,R&B
1054,Hip-Hop
1055,Blues
1061,Pop
1062,Blues
1063,Hip-Hop
1064,Jazz
1068,Folk
1073,Jazz
1078,Blues
1079,Classical
1080,Pop
1081,Blues
1082,R&B
1083,Comedy
1085,Alternative
1087,R&B
1089,R&B
1090,Classical
1091,Hip-Hop
1093,Pop
1094,R&B
1096,Hip-Hop
1098,Blues
1099,R&B
1100,Blues
1103,R&B
1105,Jazz
1106,Classical
1109,Folk
1112,Classical
1114,Comedy
1118,Comedy
1119,Opera
1122,Comedy
1124,Alternative
1126,Opera
1127,Blues
1128,Blues
1133,Folk
1137,Classical
1139,Pop
1140,Comedy
1141,R&B
1143,Alternative
1144,Jazz
1150,Comedy
1151,Blues
1152,Alternative
1153,R&B
1154,R&B
1157,Folk
1161,R&B
1162,Jazz
1163,Blues
1164,R&B
1166,Opera
1168,Jazz
1170,Comedy
1171,R&B
1172,Folk
1173,Folk
1176,Classical
1178,Opera
1180,Alternative
1182,Alternative
1183,Hip-Hop
1184,Pop
1185,Jazz
1186,Folk
1187,Hip-Hop
1189,R&B
1190,Pop
1191,R&B
1192,Jazz
1193,Hip-Hop
1194,Comedy
1196,Hip-Hop
1201,Alternative
1203,Alternative
1204,Blues
1206,R&B
1207,R&B
1208,Jazz
1209,R&B
1210,Hip-Hop
1211,Opera
1212,Pop
1213,Blues
1214,R&B
1215,Blues
1216,Hip-Hop
1218,Pop
1219,Opera
1220,Comedy
1221,Folk
1222,R&B
1223,Hip-Hop
1224,Hip-Hop
1226,R&B
1227,Hip-Hop
1229,Blues
1231,Jazz
1232,Opera
1233,Opera
1234,Pop
1236,Jazz
1237,R&B
1238,Classical
1239,Folk
1240,Folk
1241,Opera
1243,Blues
1244,Hip-Hop
1247,Classical
1248,Classical
1249,Hip-Hop
1251,Folk
1252,Comedy
1255,R&B
1256,Blues
1257,R&B
1258,Comedy
1259,Comedy
1261,Alternative
1266,R&B
1268,Alternative
1269,Opera
1270,Blues
1273,Pop
1276,Blues
1277,R&B
1281,Alternative
1283,Hip-Hop
1284,Jazz
1288,Hip-Hop
1291,Blues
1292,R&B
1294,Hip-Hop
1296,Opera
1297,Blues
1298,Folk
1300,Jazz
1301,Blues
1302,Hip-Hop
1303,Comedy
1304,R&B
1305,Hip-Hop
1306,Classical
1307,Blues
1309,Hip-Hop
1311,Hip-Hop
1312,R&B
1313,R&B
1315,Opera
1316,Alternative
1318,Folk
1319,R&B
1320,Opera
1321,Comedy
1322,Alternative
1323,Comedy
1324,Jazz
1326,Alternative
1327,Folk
1328,Classical
1330,Opera
1331,Opera
1333,Alternative
1336,Opera
1337,Blues
1339,Folk
1340,R&B
1342,Hip-Hop
1343,Alternative
1346,Hip-Hop
1349,Alternative
1350,Alternative
1351,Alternative
1353,Hip-Hop
1354,Jazz
1356,Folk
1358,Classical
1362,Classical
1363,Opera
1364,Classical
1365,Hip-Hop
1368,Hip-Hop
1369,Alternative
1370,Hip-Hop
1371,Opera
1372,Classical
1373,Folk
1374,R&B
1376,Alternative
1377,Pop
1379,Comedy
1380,Hip-Hop
1382,Jazz
1384,Blues
1386,Comedy
1387,Pop
1389,R&B
1390,Alternative
1392,Folk
1393,Opera
1394,R&B
1395,Hip-Hop
1396,Opera
1399,Hip-Hop
1400,Hip-Hop
1402,Pop
1404,Hip-Hop
1405,Folk
1406,Comedy
1409,Hip-Hop
1410,Pop
1413,Hip-Hop
1415,Folk
1417,Jazz
1418,Hip-Hop
1423,Opera
1424,Comedy
1426,Jazz
1427,Opera
1429,R&B
1430,Blues
1431,Blues
1433,Hip-Hop
1434,Alternative
1436,Comedy
1437,Alternative
1438,Jazz
1439,Classical
1440,Hip-Hop
1441,Blues
1442,Alternative
1446,Classical
1447,Opera
1451,R&B
1452,Blues
1453,R&B
1454,R&B
1458,Alternative
1459,R&B
1460,R&B
1461,Jazz
1462,Alternative
1463,R&B
1464,Hip-Hop
1467,Hip-Hop
1469,Hip-Hop
1471,Hip-Hop
1472,Alternative
1473,Classical
1476,Pop
1477,R&B
1478,Jazz
1479,Comedy
1480,Folk
1481,R&B
1482,Hip-Hop
1483,Comedy
1485,Hip-Hop
1487,Classical
1488,R&B
1489,Comedy
1490,R&B
1492,Jazz
1495,Pop
1496,Pop
1498,Pop
1500,Alternative
1505,Opera
1506,Hip-Hop
1508,R&B
1509,Hip-Hop
1511,Hip-Hop
1512,Opera
1513,Opera
1514,R&B
1515,Opera
1519,Folk
1522,Comedy
1525,Blues
1527,Blues
1529,Hip-Hop
1530,Hip-Hop
1531,R&B
1532,Blues
1533,Classical
1535,Comedy
1538,Classical
1539,Jazz
1542,R&B
1544,Comedy
1546,Pop
1549,R&B
1550,Jazz
1551,Opera
1552,R&B
1553,Hip-Hop
1556,Folk
1558,Hip-Hop
1560,Blues
1561,Comedy
1565,Hip-Hop
1566,Pop
1567,Hip-Hop
1570,Folk
1571,Opera
1572,Folk
1573,Folk
1574,Hip-Hop
1575,Hip-Hop
1576,R&B
1577,Hip-Hop
1578,Hip-Hop
1579,Alternative
1581,Classical
1583,Hip-Hop
1584,Folk
1586,Alternative
1588,Comedy
1590,Alternative
1593,Comedy
1597,Jazz
1598,Opera
1600,Folk
1602,Blues
1604,Jazz
1606,Opera
1607,Hip-Hop
1608,Hip-Hop
1609,Blues
1610,Classical
1611,Folk
1614,Hip-Hop
1615,Jazz
1616,Blues
1617,Hip-Hop
1621,Folk
1623,Folk
1624,Alternative
1625,Alternative
1626,R&B
1629,Comedy
1630,Pop
1632,Classical
1633,Jazz
1634,Comedy
1638,Folk
1639,Classical
1640,Hip-Hop
1641,R&B
1642,Classical
1643,Comedy
1645,Opera
1647,Opera
1648,Opera
1649,Blues
1650,Pop
1651,R&B
1652,Opera
1656,R&B
1658,Opera
1659,R&B
1660,Hip-Hop
1661,Blues
1662,Blues
1663,Folk
1665,Blues
1666,Blues
1668,Blues
1670,Comedy
1671,Blues
1672,Alternative
1673,Classical
1675,Blues
1676,Classical
1677,R&B
1678,Classical
1679,R&B
1680,R&B
1681,Blues
1682,Hip-Hop
1684,Folk
1685,Alternative
1689,Blues
1691,Comedy
1692,Classical
