genre,instance_id
Opera,1
Hip-Hop,2
Blues,3
R&B,4
Jazz,5
Blues,6
Hip-Hop,7
Blues,8
R&B,9
Pop,10
Pop,11
Opera,12
Classical,13
Jazz,14
Hip-Hop,15
Blues,16
Blues,17
Blues,18
Opera,19
Comedy,20
Comedy,21
Blues,22
Folk,23
Comedy,24
Folk,25
Folk,26
Classical,27
Blues,28
Jazz,29
R&B,30
Blues,31
Pop,32
Hip-Hop,33
Blues,34
Alternative,35
Jazz,36
Comedy,37
R&B,38
Hip-Hop,39
Blues,40
Blues,41
Classical,42
Blues,43
Blues,44
Hip-Hop,45
R&B,46
Comedy,47
R&B,48
Blues,49
Blues,50
Blues,51
R&B,52
Blues,53
Hip-Hop,54
Hip-Hop,55
Jazz,56
Hip-Hop,57
Classical,58
Comedy,59
Alternative,60
Alternative,61
Hip-Hop,62
Blues,63
Jazz,64
Opera,65
Blues,66
Comedy,67
Alternative,68
R&B,69
Hip-Hop,70
R&B,71
R&B,72
Pop,73
Blues,74
Jazz,75
Pop,76
Folk,77
Blues,78
Comedy,79
Blues,80
Pop,81
Alternative,82
Classical,83
Hip-Hop,84
Blues,85
Alternative,86
R&B,87
Hip-Hop,88
R&B,89
Classical,90
Hip-Hop,91
Hip-Hop,92
Folk,93
Opera,94
Comedy,95
Blues,96
Blues,97
Pop,98
Jazz,99
Jazz,100
Hip-Hop,101
Blues,102
Pop,103
R&B,104
Pop,105
R&B,106
Jazz,107
R&B,108
Hip-Hop,109
Pop,110
R&B,111
Comedy,112
Hip-Hop,113
Hip-Hop,114
Blues,115
Folk,116
Blues,117
R&B,118
Classical,119
Folk,120
Folk,121
Jazz,122
R&B,123
Alternative,124
Blues,125
Comedy,126
R&B,127
Blues,128
R&B,129
Pop,130
Blues,131
Pop,132
Alternative,133
Folk,134
Classical,135
Classical,136
Blues,137
Opera,138
Pop,139
Comedy,140
Jazz,141
Pop,142
R&B,143
Comedy,144
Folk,145
Alternative,146
Comedy,147
Pop,148
Opera,149
Blues,150
Jazz,151
Jazz,152
Blues,153
Comedy,154
R&B,155
Pop,156
Jazz,157
R&B,158
Pop,159
Alternative,160
Hip-Hop,161
Pop,162
Jazz,163
Jazz,164
Folk,165
R&B,166
Jazz,167
R&B,168
R&B,169
Alternative,170
Pop,171
Pop,172
Blues,173
R&B,174
Opera,175
Alternative,176
Folk,177
Hip-Hop,178
Comedy,179
Folk,180
Alternative,181
Pop,182
Comedy,183
Classical,184
R&B,185
Hip-Hop,186
Classical,187
R&B,188
Alternative,189
Jazz,190
Folk,191
Jazz,192
Folk,193
Classical,194
R&B,195
Opera,196
Folk,197
Comedy,198
Classical,199
Blues,200
Folk,201
R&B,202
Folk,203
Folk,204
Comedy,205
Pop,206
Alternative,207
Blues,208
R&B,209
R&B,210
Jazz,211
Opera,212
Folk,213
Folk,214
Alternative,215
Jazz,216
Pop,217
Pop,218
Jazz,219
Folk,220
Opera,221
Comedy,222
Comedy,223
Alternative,224
Comedy,225
Hip-Hop,226
R&B,227
Jazz,228
Blues,229
Jazz,230
R&B,231
R&B,232
Hip-Hop,233
Comedy,234
Comedy,235
Blues,236
Folk,237
Opera,238
Hip-Hop,239
Hip-Hop,240
Jazz,241
Hip-Hop,242
Folk,243
Alternative,244
Classical,245
Hip-Hop,246
Blues,247
Folk,248
Opera,249
R&B,250
Jazz,251
Jazz,252
Comedy,253
Pop,254
Pop,255
Alternative,256
Pop,257
Jazz,258
Opera,259
Jazz,260
R&B,261
Folk,262
Blues,263
Folk,264
Alternative,265
Blues,266
Blues,267
Blues,268
Blues,269
Pop,270
Hip-Hop,271
Blues,272
Hip-Hop,273
Blues,274
Hip-Hop,275
Classical,276
R&B,277
R&B,278
Hip-Hop,279
Blues,280
R&B,281
Blues,282
Pop,283
R&B,284
R&B,285
Pop,286
R&B,287
Comedy,288
Opera,289
Blues,290
Hip-Hop,291
R&B,292
Hip-Hop,293
Blues,294
Alternative,295
Jazz,296
Alternative,297
Pop,298
Blues,299
Classical,300
R&B,301
R&B,302
Blues,303
Blues,304
Comedy,305
Folk,306
Pop,307
Jazz,308
Folk,309
Pop,310
Classical,311
Hip-Hop,312
Alternative,313
Blues,314
Folk,315
R&B,316
R&B,317
Opera,318
Alternative,319
Alternative,320
Folk,321
Folk,322
Blues,323
R&B,324
Jazz,325
Blues,326
R&B,327
Opera,328
Classical,329
Folk,330
Folk,331
Folk,332
Pop,333
Comedy,334
Pop,335
Blues,336
Alternative,337
Comedy,338
Classical,339
Alternative,340
Folk,341
Blues,342
Folk,343
Alternative,344
Alternative,345
Blues,346
Hip-Hop,347
Jazz,348
Jazz,349
Alternative,350
Pop,351
Blues,352
Blues,353
Jazz,354
Opera,355
Blues,356
Classical,357
Blues,358
Classical,359
