instance_id,genre
1,Classical
2,Hip-Hop
3,Blues
4,R&B
5,Jazz
6,Blues
7,R&B
8,Jazz
9,R&B
10,R&B
11,Pop
12,Opera
13,Jazz
14,Alternative
15,Hip-Hop
16,Jazz
17,Alternative
18,Blues
19,Opera
20,Comedy
21,Comedy
22,Blues
23,R&B
24,Comedy
25,Blues
26,Folk
27,Classical
28,Blues
29,Blues
30,Pop
31,Blues
32,Pop
33,Hip-Hop
34,Blues
35,R&B
36,R&B
37,Comedy
38,Pop
39,Pop
40,Blues
41,Blues
42,Classical
43,Blues
44,Blues
45,Hip-Hop
46,R&B
47,Comedy
48,R&B
49,Blues
50,Blues
51,Blues
52,R&B
53,Blues
54,Hip-Hop
55,R&B
56,Jazz
57,R&B
58,Classical
59,Comedy
60,Alternative
61,Blues
62,Pop
63,Blues
64,R&B
65,Classical
66,Blues
67,Comedy
68,Alternative
69,R&B
70,R&B
71,R&B
72,R&B
73,Hip-Hop
74,Folk
75,R&B
76,Hip-Hop
77,Folk
78,Blues
79,Comedy
80,Blues
81,Pop
82,R&B
83,Classical
84,Alternative
85,Blues
86,Alternative
87,Hip-Hop
88,Hip-Hop
89,R&B
90,Classical
91,Alternative
92,Hip-Hop
93,Folk
94,Opera
95,Comedy
96,Blues
97,Blues
98,Pop
99,Folk
100,Jazz
101,Alternative
102,Blues
103,R&B
104,Alternative
105,Pop
106,R&B
107,Blues
108,Alternative
109,Hip-Hop
110,R&B
111,R&B
112,Comedy
113,Hip-Hop
114,Hip-Hop
115,Blues
116,Folk
117,Jazz
118,R&B
119,Opera
120,Folk
121,Hip-Hop
122,Classical
123,Hip-Hop
124,Alternative
125,Hip-Hop
126,Comedy
127,R&B
128,Blues
129,Hip-Hop
130,R&B
131,Blues
132,Pop
133,Alternative
134,Folk
135,Classical
136,Classical
137,Blues
138,Opera
139,Alternative
140,Comedy
141,Jazz
142,R&B
143,R&B
144,Comedy
145,Folk
146,Alternative
147,Comedy
148,R&B
149,Opera
150,Blues
151,Folk
152,Jazz
153,Blues
154,Comedy
155,R&B
156,R&B
157,Jazz
158,Hip-Hop
159,R&B
160,Alternative
161,R&B
162,Pop
163,Jazz
164,Jazz
165,Jazz
166,R&B
167,Blues
168,R&B
169,Alternative
170,Alternative
171,Hip-Hop
172,Alternative
173,Blues
174,R&B
175,Opera
176,Folk
177,R&B
178,R&B
179,Comedy
180,Jazz
181,Alternative
182,Alternative
183,Comedy
184,Opera
185,Hip-Hop
186,Alternative
187,Classical
188,R&B
189,Alternative
190,Jazz
191,Folk
192,Jazz
193,Folk
194,Classical
195,Pop
196,Opera
197,Blues
198,Comedy
199,Classical
200,Jazz
201,Folk
202,R&B
203,R&B
204,Alternative
205,Comedy
206,R&B
207,Alternative
208,Blues
209,Hip-Hop
210,R&B
211,Jazz
212,Opera
213,Folk
214,Alternative
215,Pop
216,Jazz
217,Pop
218,Hip-Hop
219,Alternative
220,Folk
221,Opera
222,Comedy
223,Comedy
224,R&B
225,Comedy
226,Hip-Hop
227,Alternative
228,Jazz
229,Jazz
230,Hip-Hop
231,Alternative
232,Alternative
233,Hip-Hop
234,Comedy
235,Comedy
236,Jazz
237,Folk
238,Opera
239,Pop
240,Hip-Hop
241,Jazz
242,Hip-Hop
243,Alternative
244,Alternative
245,Classical
246,Hip-Hop
247,Blues
248,Folk
249,Opera
250,Pop
251,Hip-Hop
252,Jazz
253,Comedy
254,Pop
255,Pop
256,Blues
257,R&B
258,Jazz
259,Opera
260,Jazz
261,R&B
262,Folk
263,Folk
264,Blues
265,Alternative
266,Blues
267,Blues
268,Folk
269,Blues
270,Pop
271,Hip-Hop
272,Blues
273,Hip-Hop
274,Blues
275,Hip-Hop
276,Classical
277,R&B
278,R&B
279,Hip-Hop
280,Blues
281,Pop
282,Hip-Hop
283,Pop
284,R&B
285,Alternative
286,Alternative
287,R&B
288,Comedy
289,Opera
290,Jazz
291,Hip-Hop
292,Hip-Hop
293,Hip-Hop
294,Blues
295,Jazz
296,Jazz
297,Alternative
298,Pop
299,Blues
300,Classical
301,R&B
302,R&B
303,Blues
304,Blues
305,Comedy
306,Folk
307,Pop
308,R&B
309,Alternative
310,Hip-Hop
311,Classical
312,Hip-Hop
313,Blues
314,Blues
315,Folk
316,R&B
317,Pop
318,Opera
319,Alternative
320,Alternative
321,Folk
322,Folk
323,Blues
324,R&B
325,Jazz
326,Blues
327,R&B
328,Opera
329,Classical
330,Jazz
331,Folk
332,Folk
333,Alternative
334,Comedy
335,Pop
336,Blues
337,Alternative
338,Comedy
339,Classical
340,Pop
341,Folk
342,Blues
343,Folk
344,Alternative
345,Alternative
346,R&B
347,Hip-Hop
348,Jazz
349,Alternative
350,Blues
351,Alternative
352,Hip-Hop
353,Blues
354,Jazz
355,Opera
356,Blues
357,Opera
358,Jazz
359,Classical
360,Classical
361,Alternative
362,Blues
363,R&B
364,Folk
365,Classical
366,Comedy
367,Opera
368,Blues
369,Blues
370,Classical
371,Comedy
372,Alternative
373,Alternative
374,Blues
375,Blues
376,Hip-Hop
377,Opera
378,Pop
379,Alternative
380,Blues
381,Blues
382,Folk
383,Folk
384,Blues
385,Opera
386,Folk
387,Comedy
388,R&B
389,R&B
390,R&B
391,Alternative
392,Jazz
393,Comedy
394,Jazz
395,Folk
396,Opera
397,Alternative
398,Hip-Hop
399,Pop
400,Folk
401,Jazz
402,Alternative
403,Blues
404,Classical
405,Hip-Hop
406,Blues
407,Hip-Hop
408,Comedy
409,Jazz
410,Folk
411,Jazz
412,Classical
413,Jazz
414,Blues
415,Jazz
416,Classical
417,Folk
418,Classical
419,Jazz
420,Blues
421,Classical
422,Blues
423,Blues
424,Pop
425,Opera
426,Blues
427,R&B
428,Comedy
429,R&B
430,Comedy
431,Classical
432,Alternative
433,Classical
434,Blues
435,Blues
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Classical
441,Comedy
442,Opera
443,Folk
444,R&B
445,Alternative
446,Hip-Hop
447,Comedy
448,Opera
449,Classical
450,R&B
451,Classical
452,R&B
453,R&B
454,R&B
455,Blues
456,Blues
457,Hip-Hop
458,Folk
459,Blues
460,R&B
461,Pop
462,Alternative
463,Comedy
464,Alternative
465,R&B
466,Hip-Hop
467,Pop
468,Hip-Hop
469,Jazz
470,Hip-Hop
471,Comedy
472,R&B
473,Alternative
474,Blues
475,Blues
476,Opera
477,Hip-Hop
478,Blues
479,Hip-Hop
480,Hip-Hop
481,Blues
482,Comedy
483,Hip-Hop
484,Classical
485,Jazz
486,Blues
487,Opera
488,Blues
489,Hip-Hop
490,Alternative
491,Folk
492,Jazz
493,Folk
494,Comedy
495,Blues
496,Blues
497,R&B
498,Opera
499,Folk
500,Classical
501,Folk
502,R&B
503,Blues
504,Pop
505,Jazz
506,Blues
507,Folk
508,R&B
509,Blues
510,R&B
511,Hip-Hop
512,Jazz
513,Blues
514,Classical
515,Jazz
516,R&B
517,Blues
518,Folk
519,Blues
520,Blues
521,Blues
522,Blues
523,Classical
524,R&B
525,Pop
526,Hip-Hop
527,Blues
528,Folk
529,R&B
530,Blues
531,Alternative
532,Blues
533,Alternative
534,Pop
535,Hip-Hop
536,Folk
537,Folk
538,Jazz
539,R&B
540,Alternative
541,Hip-Hop
542,Blues
543,Hip-Hop
544,Alternative
545,Hip-Hop
546,Classical
547,Pop
548,Hip-Hop
549,Alternative
550,R&B
551,Folk
552,Hip-Hop
553,Hip-Hop
554,Blues
555,Blues
556,R&B
557,Folk
558,Alternative
559,Folk
560,Jazz
561,Hip-Hop
562,Pop
563,Hip-Hop
564,Jazz
565,Blues
566,Comedy
567,Blues
568,Comedy
569,Alternative
570,Folk
571,Jazz
572,Alternative
573,Comedy
574,Blues
575,Opera
576,Opera
577,R&B
578,Jazz
579,Comedy
580,Jazz
581,R&B
582,Folk
583,Pop
584,Alternative
585,Blues
586,Alternative
587,R&B
588,Alternative
589,Jazz
590,Opera
591,Pop
592,Jazz
593,Alternative
594,Classical
595,Blues
596,R&B
597,R&B
598,Folk
599,Classical
600,R&B
601,Alternative
602,Alternative
603,Alternative
604,Blues
605,Blues
606,Blues
607,Folk
608,Jazz
609,Opera
610,Jazz
611,Comedy
612,Blues
613,Opera
614,Blues
615,Hip-Hop
616,Blues
617,Alternative
618,Blues
619,Comedy
620,Blues
621,Blues
622,R&B
623,R&B
624,Blues
625,R&B
626,R&B
627,Jazz
628,Pop
629,Pop
630,Blues
631,Comedy
632,Hip-Hop
633,Blues
634,Hip-Hop
635,Hip-Hop
636,R&B
637,Comedy
638,Hip-Hop
639,Blues
640,Hip-Hop
641,Opera
642,Hip-Hop
643,Classical
644,Folk
645,Alternative
646,Blues
647,Jazz
648,Jazz
649,Jazz
650,Alternative
651,Blues
652,Folk
653,R&B
654,Classical
655,Folk
656,Folk
657,Folk
658,Blues
659,Alternative
660,Hip-Hop
661,Blues
662,R&B
663,Classical
664,Hip-Hop
665,Folk
666,Hip-Hop
667,R&B
668,Blues
669,Folk
670,Classical
671,Jazz
672,Blues
673,Jazz
674,Hip-Hop
675,Comedy
676,Opera
677,R&B
678,Hip-Hop
679,Hip-Hop
680,Blues
681,R&B
682,Jazz
683,Alternative
684,R&B
685,Alternative
686,Pop
687,Folk
688,Comedy
689,Hip-Hop
690,Blues
691,Blues
692,Jazz
693,Folk
694,Blues
695,Alternative
696,Jazz
697,Blues
698,Blues
699,Jazz
700,R&B
701,R&B
702,R&B
703,Blues
704,Hip-Hop
705,Classical
706,Folk
707,Comedy
708,Blues
709,Blues
710,Classical
711,Folk
712,R&B
713,Jazz
714,Comedy
715,R&B
716,Folk
717,Comedy
718,Jazz
719,Blues
720,Blues
721,Folk
722,Opera
723,Alternative
724,Pop
725,Alternative
726,Hip-Hop
727,Alternative
728,Blues
729,Jazz
730,Jazz
731,Blues
732,Comedy
733,R&B
734,Hip-Hop
735,Folk
736,Hip-Hop
737,Jazz
738,Blues
739,Hip-Hop
740,Jazz
741,Jazz
742,Opera
743,Folk
744,Alternative
745,Pop
746,Jazz
747,Classical
748,Pop
749,R&B
750,Pop
751,Jazz
752,Alternative
753,Hip-Hop
754,Folk
755,Jazz
756,Comedy
757,R&B
758,Alternative
759,Hip-Hop
760,Folk
761,Alternative
762,Comedy
763,Blues
764,R&B
765,R&B
766,Comedy
767,Hip-Hop
768,Blues
769,Blues
770,Blues
771,R&B
772,Blues
773,R&B
774,Comedy
775,Jazz
776,R&B
777,Folk
778,Blues
779,Opera
780,Hip-Hop
781,Blues
782,R&B
783,Alternative
784,Alternative
785,Hip-Hop
786,Blues
787,Comedy
788,Hip-Hop
789,Jazz
790,R&B
791,R&B
792,R&B
793,Jazz
794,Jazz
795,Hip-Hop
796,Classical
797,Blues
798,Alternative
799,R&B
800,Folk
801,Hip-Hop
802,Alternative
803,Alternative
804,Folk
805,Jazz
806,Classical
807,Blues
808,Classical
809,Comedy
810,Jazz
811,Hip-Hop
812,Jazz
813,Opera
814,Blues
815,Blues
816,Opera
817,R&B
818,Folk
819,Pop
820,R&B
821,R&B
822,Pop
823,Comedy
824,Blues
825,Blues
826,Hip-Hop
827,Comedy
828,Hip-Hop
829,Folk
830,Folk
831,Jazz
832,Opera
833,R&B
834,Blues
835,Blues
836,Blues
837,Classical
838,Pop
839,Comedy
840,Opera
841,Folk
842,Jazz
843,R&B
844,Jazz
845,Pop
846,Comedy
847,Folk
848,Blues
849,Blues
850,R&B
851,R&B
852,Blues
853,R&B
854,Blues
855,Hip-Hop
856,Pop
857,Blues
858,Blues
859,Alternative
860,Pop
861,Opera
862,Opera
863,R&B
864,Alternative
865,Hip-Hop
866,Comedy
867,Blues
868,Jazz
869,Hip-Hop
870,Alternative
871,Blues
872,R&B
873,Comedy
874,Alternative
875,Jazz
876,Pop
877,Pop
878,Blues
879,Blues
880,Pop
881,Jazz
882,Alternative
883,Jazz
884,R&B
885,Alternative
886,Blues
887,Hip-Hop
888,Hip-Hop
889,Comedy
890,Opera
891,Pop
892,Classical
893,Jazz
894,Comedy
895,Comedy
896,Blues
897,Hip-Hop
898,Alternative
899,Blues
900,Hip-Hop
901,Alternative
902,Folk
903,Pop
904,Blues
905,R&B
906,Hip-Hop
907,R&B
908,Jazz
909,Jazz
910,Blues
911,Blues
912,Alternative
913,Pop
914,Jazz
915,Alternative
916,Hip-Hop
917,Jazz
918,Comedy
919,Blues
920,Blues
921,Alternative
922,Classical
923,R&B
924,Opera
925,Pop
926,Opera
927,R&B
928,Hip-Hop
929,Hip-Hop
930,Comedy
931,Opera
932,Alternative
933,Jazz
934,Hip-Hop
935,Hip-Hop
936,R&B
937,Jazz
938,Pop
939,Folk
940,Folk
941,Hip-Hop
942,Hip-Hop
943,Jazz
944,Jazz
945,Blues
946,Comedy
947,Alternative
948,Folk
949,Blues
950,Hip-Hop
951,Jazz
952,Jazz
953,Hip-Hop
954,Folk
955,Alternative
956,R&B
957,Hip-Hop
958,Blues
959,Alternative
960,R&B
961,Comedy
962,Pop
963,R&B
964,Opera
965,Comedy
966,Folk
967,Pop
968,Classical
969,R&B
970,Folk
971,Jazz
972,Comedy
973,Pop
974,Classical
975,Opera
976,Pop
977,Pop
978,Folk
979,Blues
980,Folk
981,Hip-Hop
982,Jazz
983,Hip-Hop
984,Folk
985,Folk
986,Hip-Hop
987,Classical
988,Folk
989,Jazz
990,Classical
991,Folk
992,Jazz
993,Folk
994,R&B
995,Hip-Hop
996,Blues
997,Hip-Hop
998,Blues
999,Jazz
1000,R&B
1001,Classical
1002,Opera
1003,Blues
1004,Blues
1005,Hip-Hop
1006,R&B
1007,Jazz
1008,R&B
1009,R&B
1010,Blues
1011,Jazz
1012,Opera
1013,R&B
1014,Pop
1015,Hip-Hop
1016,Hip-Hop
1017,Comedy
1018,Blues
1019,R&B
1020,Jazz
1021,Alternative
1022,Blues
1023,R&B
1024,R&B
1025,Hip-Hop
1026,Hip-Hop
1027,Folk
1028,Alternative
1029,Classical
1030,Opera
1031,Comedy
1032,Opera
1033,Comedy
1034,Alternative
1035,Blues
1036,Hip-Hop
1037,Comedy
1038,Folk
1039,Jazz
1040,Folk
1041,Folk
1042,R&B
1043,Folk
1044,Blues
1045,Alternative
1046,Blues
1047,R&B
1048,Hip-Hop
1049,R&B
1050,Pop
1051,Jazz
1052,R&B
1053,R&B
1054,Hip-Hop
1055,Blues
1056,Hip-Hop
1057,Alternative
1058,Alternative
1059,Hip-Hop
1060,R&B
1061,Pop
1062,Blues
1063,Hip-Hop
1064,Jazz
1065,Folk
1066,Blues
1067,Pop
1068,Folk
1069,Blues
1070,Hip-Hop
1071,Pop
