instance_id,Neural Network
1,Opera
2,Hip-Hop
3,Blues
4,Alternative
5,Jazz
6,Blues
7,Hip-Hop
8,Blues
9,R&B
10,Pop
11,Pop
12,Opera
13,Classical
14,Jazz
15,Hip-Hop
16,Blues
17,Blues
18,Blues
19,Opera
20,Comedy
21,Comedy
22,Blues
23,Folk
24,Comedy
25,Jazz
26,Alternative
27,Classical
28,Blues
29,Jazz
30,R&B
31,Blues
32,Pop
33,Hip-Hop
34,Blues
35,Alternative
36,R&B
37,Comedy
38,Alternative
39,Hip-Hop
40,Blues
41,Blues
42,Classical
43,Comedy
44,Blues
45,Hip-Hop
46,R&B
47,Comedy
48,Hip-Hop
49,Blues
50,Blues
51,Blues
52,R&B
53,Blues
54,Hip-Hop
55,Hip-Hop
56,Blues
57,Hip-Hop
58,Opera
59,Comedy
60,Alternative
61,Alternative
62,Hip-Hop
63,Blues
64,R&B
65,Classical
66,Blues
67,Comedy
68,Alternative
69,R&B
70,Hip-Hop
71,R&B
72,R&B
73,Pop
74,Alternative
75,Alternative
76,Pop
77,Alternative
78,Blues
79,Comedy
80,Blues
81,Pop
82,Alternative
83,Classical
84,Alternative
85,Blues
86,Alternative
87,R&B
88,Hip-Hop
89,Alternative
90,Classical
91,Alternative
92,Hip-Hop
93,Folk
94,Opera
95,Comedy
96,Blues
97,Blues
98,Pop
99,Blues
100,Classical
101,Hip-Hop
102,Blues
103,Pop
104,Alternative
105,Pop
106,Alternative
107,Jazz
108,R&B
109,Hip-Hop
110,Pop
111,Blues
112,Comedy
113,Hip-Hop
114,Hip-Hop
115,Blues
116,Alternative
117,Classical
118,R&B
119,Classical
120,Folk
121,Alternative
122,Folk
123,R&B
124,Blues
125,Blues
126,Comedy
127,R&B
128,Blues
129,R&B
130,Pop
131,Blues
132,Pop
133,Alternative
134,Folk
135,Classical
136,Classical
137,Blues
138,Opera
139,Alternative
140,Comedy
141,Jazz
142,Pop
143,Jazz
144,Comedy
145,Alternative
146,Alternative
147,Comedy
148,Pop
149,Classical
150,Blues
151,R&B
152,Jazz
153,Blues
154,Comedy
155,R&B
156,Pop
157,Jazz
158,Hip-Hop
159,Pop
160,Alternative
161,Hip-Hop
162,Pop
163,Jazz
164,Jazz
165,Classical
166,R&B
167,Jazz
168,Folk
169,Alternative
170,Alternative
171,Pop
172,Pop
173,Blues
174,R&B
175,Opera
176,Alternative
177,Folk
178,R&B
179,Comedy
180,Folk
181,Blues
182,Pop
183,Comedy
184,Opera
185,Hip-Hop
186,Alternative
187,Classical
188,Blues
189,Blues
190,Jazz
191,Folk
192,Jazz
193,Folk
194,Classical
195,R&B
196,Opera
197,Blues
198,Comedy
199,Classical
200,Blues
201,Folk
202,R&B
203,Folk
204,Blues
205,Comedy
206,Pop
207,Alternative
208,Blues
209,Alternative
210,Blues
211,Jazz
212,Opera
213,Folk
214,Folk
215,Alternative
216,Jazz
217,Pop
218,Pop
219,Jazz
220,Folk
221,Classical
222,Comedy
223,Comedy
224,Alternative
225,Comedy
226,Pop
227,Folk
228,Jazz
229,Jazz
230,Folk
231,Alternative
232,Pop
233,Hip-Hop
234,Comedy
235,Comedy
236,Folk
237,Folk
238,Opera
239,Hip-Hop
240,Pop
241,Jazz
242,Hip-Hop
243,Folk
244,Alternative
245,Classical
246,Hip-Hop
247,Blues
248,Folk
249,Opera
250,R&B
251,Blues
252,Jazz
253,Comedy
254,Hip-Hop
255,Pop
256,Pop
257,Pop
258,R&B
259,Opera
260,Blues
261,R&B
262,Folk
263,Blues
264,Folk
265,Alternative
266,Blues
267,Blues
268,Blues
269,Classical
270,Pop
271,Hip-Hop
272,Blues
273,Hip-Hop
274,Blues
275,Hip-Hop
276,Classical
277,R&B
278,R&B
279,Hip-Hop
280,Blues
281,Alternative
282,Jazz
283,Pop
284,Hip-Hop
285,R&B
286,Folk
287,Pop
288,Comedy
289,Opera
290,Jazz
291,Hip-Hop
292,R&B
293,Hip-Hop
294,Blues
295,Blues
296,Jazz
297,Alternative
298,Pop
299,Blues
300,Classical
301,R&B
302,Alternative
303,Blues
304,Blues
305,Comedy
306,Jazz
307,Pop
308,Jazz
309,Folk
310,Pop
311,Classical
312,Hip-Hop
313,Alternative
314,Blues
315,Folk
316,R&B
317,R&B
318,Opera
319,Alternative
320,Alternative
321,R&B
322,Folk
323,Blues
324,Alternative
325,R&B
326,Classical
327,R&B
328,Opera
329,Classical
330,Folk
331,Folk
332,Folk
333,Alternative
334,Comedy
335,Pop
336,Blues
337,Hip-Hop
338,Comedy
339,Folk
340,Alternative
341,Folk
342,Blues
343,Folk
344,Alternative
345,Alternative
346,Blues
347,Alternative
348,R&B
349,R&B
350,Folk
351,Pop
352,Blues
353,Blues
354,Jazz
355,Opera
356,Blues
357,Opera
358,Blues
359,Classical
360,Jazz
361,Alternative
362,Jazz
363,R&B
364,Alternative
365,Jazz
366,Comedy
367,Classical
368,Blues
369,Blues
370,Classical
371,Comedy
372,Blues
373,Alternative
374,Blues
375,Blues
376,Hip-Hop
377,Opera
378,Hip-Hop
379,Alternative
380,Blues
381,Opera
382,Classical
383,Pop
384,Comedy
385,Opera
386,Pop
387,Comedy
388,Pop
389,Pop
390,R&B
391,Alternative
392,Jazz
393,Comedy
394,Alternative
395,Folk
396,Opera
397,Alternative
398,R&B
399,Hip-Hop
400,Folk
401,R&B
402,Alternative
403,Alternative
404,Classical
405,Pop
406,Blues
407,Hip-Hop
408,Comedy
409,Folk
410,Alternative
411,Blues
412,Classical
413,Hip-Hop
414,Blues
415,Jazz
416,Classical
417,Folk
418,Classical
419,Jazz
420,Blues
421,Classical
422,Blues
423,Blues
424,Pop
425,Opera
426,Blues
427,R&B
428,Comedy
429,Folk
430,Comedy
431,Classical
432,Alternative
433,Classical
434,Blues
435,Blues
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Classical
441,Comedy
442,Opera
443,Jazz
444,Alternative
445,Alternative
446,Hip-Hop
447,Blues
448,Opera
449,Jazz
450,R&B
451,Classical
452,Alternative
453,Alternative
454,Folk
455,Blues
456,Blues
457,Alternative
458,Folk
459,Blues
460,Folk
461,Pop
462,Jazz
463,Comedy
464,Hip-Hop
465,Jazz
466,Hip-Hop
467,Hip-Hop
468,R&B
469,Blues
470,Hip-Hop
471,Comedy
472,R&B
473,Alternative
474,Blues
475,Blues
476,Opera
477,Pop
478,Blues
479,R&B
480,Hip-Hop
481,Opera
482,Comedy
483,Blues
484,Opera
485,R&B
486,Blues
487,Opera
488,Folk
489,R&B
490,Alternative
491,Folk
492,Blues
493,Folk
494,Comedy
495,Blues
496,Blues
497,Folk
498,Opera
499,Folk
500,Classical
501,Jazz
502,R&B
503,Folk
504,Pop
505,R&B
506,Jazz
507,Folk
508,Hip-Hop
509,Blues
510,Alternative
511,Hip-Hop
512,Jazz
513,Blues
514,Classical
515,Jazz
516,Alternative
517,Blues
518,Folk
519,Alternative
520,Alternative
521,R&B
522,Blues
523,Classical
524,Hip-Hop
525,Folk
526,Pop
527,Blues
528,Folk
529,R&B
530,Blues
531,Alternative
532,Blues
533,Pop
534,Hip-Hop
535,Pop
536,Jazz
537,Jazz
538,R&B
539,R&B
540,Alternative
541,Hip-Hop
542,Blues
543,Hip-Hop
544,Pop
545,Pop
546,Classical
547,Pop
548,Pop
549,Alternative
550,Hip-Hop
551,Pop
552,R&B
553,Hip-Hop
554,Blues
555,Folk
556,R&B
557,Folk
558,Alternative
559,Pop
560,Jazz
561,Alternative
562,Hip-Hop
563,Hip-Hop
564,Jazz
565,Blues
566,Comedy
567,Blues
568,Comedy
569,Alternative
570,Folk
571,Blues
572,Alternative
573,Comedy
574,Blues
575,Opera
576,Opera
577,R&B
578,Blues
579,Comedy
580,Jazz
581,R&B
582,Folk
583,Pop
584,R&B
585,Blues
586,Alternative
587,R&B
588,Alternative
589,Jazz
590,Opera
591,Pop
592,Folk
593,Alternative
594,Classical
595,Blues
596,R&B
597,Blues
598,Folk
599,Classical
600,R&B
601,Alternative
602,Alternative
603,Pop
604,Alternative
605,Blues
606,Blues
607,Folk
608,Jazz
609,Classical
610,Jazz
611,Comedy
612,Blues
613,Opera
614,Blues
615,Pop
