genre,instance_id
Classical,1
Hip-Hop,2
Blues,3
Alternative,4
Jazz,5
Blues,6
Hip-Hop,7
Blues,8
R&B,9
R&B,10
Pop,11
Opera,12
Classical,13
Jazz,14
Hip-Hop,15
Blues,16
Blues,17
Blues,18
Opera,19
Comedy,20
Comedy,21
Blues,22
Folk,23
Comedy,24
Jazz,25
Folk,26
Classical,27
Blues,28
Jazz,29
R&B,30
Blues,31
Pop,32
Hip-Hop,33
Blues,34
Alternative,35
R&B,36
Comedy,37
Folk,38
R&B,39
Blues,40
Blues,41
Classical,42
Blues,43
Blues,44
Hip-Hop,45
R&B,46
Comedy,47
R&B,48
Blues,49
Blues,50
Blues,51
R&B,52
Blues,53
Hip-Hop,54
Hip-Hop,55
Jazz,56
Hip-Hop,57
Opera,58
Comedy,59
Alternative,60
Alternative,61
Hip-Hop,62
Blues,63
R&B,64
Opera,65
Blues,66
Comedy,67
Alternative,68
R&B,69
Hip-Hop,70
R&B,71
R&B,72
Pop,73
Blues,74
Alternative,75
Pop,76
Folk,77
Blues,78
Comedy,79
Blues,80
Pop,81
Alternative,82
Classical,83
Alternative,84
Blues,85
Alternative,86
R&B,87
Hip-Hop,88
Jazz,89
Classical,90
R&B,91
Hip-Hop,92
Folk,93
Opera,94
Comedy,95
Blues,96
Blues,97
Pop,98
Blues,99
Jazz,100
Hip-Hop,101
Blues,102
Pop,103
Alternative,104
Pop,105
Alternative,106
Jazz,107
Alternative,108
R&B,109
Pop,110
Jazz,111
Comedy,112
Hip-Hop,113
Hip-Hop,114
Blues,115
Folk,116
Jazz,117
R&B,118
Classical,119
Folk,120
Alternative,121
Jazz,122
Jazz,123
Blues,124
Blues,125
Comedy,126
R&B,127
Blues,128
Folk,129
Alternative,130
Blues,131
Pop,132
Alternative,133
Folk,134
Classical,135
Classical,136
Blues,137
Opera,138
Alternative,139
Comedy,140
Jazz,141
Folk,142
R&B,143
Comedy,144
Alternative,145
Alternative,146
Comedy,147
Pop,148
Opera,149
Blues,150
R&B,151
Jazz,152
Blues,153
Comedy,154
R&B,155
Pop,156
Jazz,157
R&B,158
Pop,159
Alternative,160
Hip-Hop,161
Pop,162
Jazz,163
Folk,164
Jazz,165
R&B,166
Blues,167
Folk,168
Alternative,169
Alternative,170
Pop,171
Pop,172
Blues,173
R&B,174
Opera,175
R&B,176
Folk,177
R&B,178
Comedy,179
Folk,180
Folk,181
Pop,182
Comedy,183
Classical,184
Hip-Hop,185
Alternative,186
Classical,187
Jazz,188
Folk,189
Jazz,190
