instance_id,artist_name,genre
1,Michael Haydn,Classical
2,Tee Grizzley,Hip-Hop
3,Jethro Tull,Blues
5,Susannah McCorkle,Jazz
7,Britney Spears,R&B
8,Willie Colón,Jazz
9,Jacquees,R&B
10,Moods,R&B
13,Bill Evans,Jazz
14,Gorillaz,Alternative
16,Hank Crawford,Jazz
19,Nicola Porpora,Opera
20,Gary Gulman,Comedy
21,Greg Giraldo,Comedy
23,Cautious Clay,R&B
24,Bill Engvall,Comedy
29,Jimi Hendrix,Blues
30,Becky G,Pop
32,Michael Jackson,Pop
33,Kid Ink,Hip-Hop
35,Charlie Burg,R&B
37,Josh Blue,Comedy
38,Darius Rucker,Pop
42,Anton Bruckner,Classical
43,The White Stripes,Blues
45,Lil Yachty,Hip-Hop
48,Eric Bellinger,R&B
52,Justine Skye,R&B
53,Peggy Scott-Adams,Blues
54,$uicideBoy$,Hip-Hop
55,Bryson Tiller,R&B
57,J. Holiday,R&B
59,Maria Bamford,Comedy
60,Avenged Sevenfold,Alternative
61,The Heavy,Blues
62,blackbear,Pop
64,Col3trane,R&B
65,Edward Elgar,Classical
67,Andy Woodhull,Comedy
68,Basement,Alternative
69,Donell Jones,R&B
70,Madison Beer,R&B
71,Heather Headley,R&B
72,India.Arie,R&B
73,Mr. Probz,Hip-Hop
76,Kendrick Lamar,Hip-Hop
78,Peggy Scott-Adams,Blues
80,Gregg Allman,Blues
82,joan,R&B
83,Aaron Copland,Classical
85,JJ Grey & Mofro,Blues
86,Korn,Alternative
87,Oliver Tree,Hip-Hop
88,Young Scooter,Hip-Hop
92,Nas,Hip-Hop
93,Mandolin Orange,Folk
94,Richard Wagner,Opera
95,George Carlin,Comedy
96,The Sonics,Blues
98,Adele,Pop
100,Bugseed,Jazz
101,GoldLink,Alternative
103,DJ Khaled,R&B
104,Citizen Way,Alternative
107,Jimmie Vaughan,Blues
108,Hollyn,Alternative
109,Lil Durk,Hip-Hop
110,Mariah Carey,R&B
114,Rich Homie Quan,Hip-Hop
116,Courtney Barnett,Folk
117,Scale The Summit,Jazz
119,Giacomo Puccini,Opera
121,Action Bronson,Hip-Hop
122,Antonio Vivaldi,Classical
123,Rittz,Hip-Hop
125,Cosculluela,Hip-Hop
126,Cheech & Chong,Comedy
128,Patrick Sweany,Blues
129,Avant,Hip-Hop
130,Plies,R&B
132,Jordan Davis,Pop
133,Letters To Cleo,Alternative
134,The Velvet Underground,Folk
136,Wolfgang Amadeus Mozart,Classical
137,The Black Crowes,Blues
138,Giacomo Puccini,Opera
142,Ella Mai,R&B
143,Yeek,R&B
144,Aziz Ansari,Comedy
145,Modest Mouse,Folk
146,Transit,Alternative
147,Robert Kelly,Comedy
148,Jay Sean,R&B
149,Richard Wagner,Opera
151,Christian Hudson,Folk
152,The Dave Brubeck Quartet,Jazz
155,Arin Ray,R&B
156,Alina Baraz,R&B
157,"Grover Washington, Jr.",Jazz
159,Britney Spears,R&B
161,Diddy,R&B
164,Four Tet,Jazz
165,Dean Martin,Jazz
166,Jay Park,R&B
167,Phish,Blues
169,Hollywood Undead,Alternative
170,Blur,Alternative
171,Offset,Hip-Hop
172,Everclear,Alternative
174,PLAZA,R&B
176,Better Oblivion Community Center,Folk
177,Ellie Goulding,R&B
179,Chris Maddock,Comedy
181,Foxing,Alternative
182,System Of A Down,Alternative
183,Myq Kaplan,Comedy
184,Jacques Offenbach,Opera
186,Hollywood Undead,Alternative
191,James Taylor,Folk
192,Miles Davis,Jazz
194,Wolfgang Amadeus Mozart,Classical
195,Broods,Pop
196,Arrigo Boito,Opera
198,George Lopez,Comedy
199,Howard Shore,Classical
203,Sade,R&B
204,Alex Cameron,Alternative
205,Dana Gould,Comedy
206,Craig David,R&B
209,Justin Quiles,Hip-Hop
212,Daniel Auber,Opera
214,Crowder,Alternative
215,Logan Mize,Pop
218,R.K.M & Ken-Y,Hip-Hop
219,My Morning Jacket,Alternative
221,Adolphe Adam,Opera
222,Greg Giraldo,Comedy
225,Lewis Black,Comedy
226,Eminem,Hip-Hop
227,TOPS,Alternative
228,Lemon Jelly,Jazz
230,TLC,Hip-Hop
231,Kali Uchis,Alternative
232,Frank Ocean,Alternative
233,Pouya,Hip-Hop
234,Tommy Ryman,Comedy
