genre,instance_id
Classical,1
Hip-Hop,2
Blues,3
Alternative,4
Jazz,5
Blues,6
R&B,7
Jazz,8
R&B,9
R&B,10
Pop,11
Opera,12
Jazz,13
Alternative,14
Hip-Hop,15
Jazz,16
Folk,17
Blues,18
Opera,19
Comedy,20
Comedy,21
Blues,22
R&B,23
Comedy,24
Folk,25
Folk,26
Classical,27
Comedy,28
Blues,29
Pop,30
Blues,31
Pop,32
Hip-Hop,33
Classical,34
R&B,35
R&B,36
Comedy,37
Pop,38
Pop,39
Blues,40
Blues,41
Classical,42
Blues,43
Blues,44
Hip-Hop,45
Hip-Hop,46
Comedy,47
R&B,48
Blues,49
Blues,50
Blues,51
R&B,52
Blues,53
Hip-Hop,54
R&B,55
Blues,56
R&B,57
Opera,58
Comedy,59
Alternative,60
Blues,61
Pop,62
Blues,63
R&B,64
Classical,65
Blues,66
Comedy,67
Alternative,68
R&B,69
R&B,70
R&B,71
R&B,72
Hip-Hop,73
Alternative,74
Alternative,75
Hip-Hop,76
Folk,77
Blues,78
Comedy,79
Blues,80
Pop,81
R&B,82
Classical,83
Hip-Hop,84
Blues,85
Alternative,86
Hip-Hop,87
Hip-Hop,88
R&B,89
Classical,90
Hip-Hop,91
Hip-Hop,92
Folk,93
Opera,94
Comedy,95
Blues,96
Blues,97
Pop,98
Jazz,99
Jazz,100
Alternative,101
Blues,102
R&B,103
Alternative,104
Pop,105
R&B,106
Blues,107
Alternative,108
Hip-Hop,109
R&B,110
Jazz,111
Comedy,112
Hip-Hop,113
Hip-Hop,114
Blues,115
Folk,116
Jazz,117
R&B,118
Opera,119
Folk,120
Hip-Hop,121
Classical,122
Hip-Hop,123
Alternative,124
Hip-Hop,125
Comedy,126
R&B,127
Blues,128
Hip-Hop,129
R&B,130
Blues,131
Pop,132
Alternative,133
Folk,134
Classical,135
Classical,136
Blues,137
Opera,138
Alternative,139
Comedy,140
Jazz,141
R&B,142
R&B,143
Comedy,144
Folk,145
Alternative,146
Comedy,147
R&B,148
Opera,149
Blues,150
Folk,151
Jazz,152
Blues,153
Comedy,154
R&B,155
R&B,156
Jazz,157
Pop,158
R&B,159
Alternative,160
R&B,161
Hip-Hop,162
Jazz,163
Jazz,164
Jazz,165
R&B,166
Blues,167
R&B,168
Alternative,169
Alternative,170
Hip-Hop,171
Alternative,172
Blues,173
R&B,174
Opera,175
Folk,176
R&B,177
Hip-Hop,178
Comedy,179
Folk,180
Alternative,181
Alternative,182
Comedy,183
Opera,184
Hip-Hop,185
Alternative,186
Classical,187
