genre,instance_id
Classical,1.0
Hip-Hop,2.0
Blues,3.0
Alternative,4.0
Jazz,5.0
Blues,6.0
R&B,7.0
Jazz,8.0
R&B,9.0
R&B,10.0
Pop,11.0
Opera,12.0
Jazz,13.0
Alternative,14.0
Hip-Hop,15.0
Jazz,16.0
Alternative,17.0
Blues,18.0
Opera,19.0
Comedy,20.0
Comedy,21.0
Blues,22.0
R&B,23.0
Comedy,24.0
Folk,25.0
Folk,26.0
Classical,27.0
Blues,28.0
Blues,29.0
Pop,30.0
Blues,31.0
Pop,32.0
Hip-Hop,33.0
Blues,34.0
R&B,35.0
R&B,36.0
Comedy,37.0
Pop,38.0
Pop,39.0
Blues,40.0
Blues,41.0
Classical,42.0
Blues,43.0
Blues,44.0
Hip-Hop,45.0
Hip-Hop,46.0
Comedy,47.0
R&B,48.0
Blues,49.0
Blues,50.0
Blues,51.0
R&B,52.0
Blues,53.0
Hip-Hop,54.0
R&B,55.0
Blues,56.0
R&B,57.0
Opera,58.0
Comedy,59.0
Alternative,60.0
Blues,61.0
Pop,62.0
Blues,63.0
R&B,64.0
Classical,65.0
Blues,66.0
Comedy,67.0
Alternative,68.0
R&B,69.0
R&B,70.0
R&B,71.0
R&B,72.0
Hip-Hop,73.0
Alternative,74.0
Alternative,75.0
Hip-Hop,76.0
Folk,77.0
Blues,78.0
Comedy,79.0
Blues,80.0
Pop,81.0
R&B,82.0
Classical,83.0
Alternative,84.0
Blues,85.0
Alternative,86.0
Hip-Hop,87.0
Hip-Hop,88.0
R&B,89.0
Classical,90.0
Hip-Hop,91.0
Hip-Hop,92.0
Folk,93.0
Opera,94.0
Comedy,95.0
Blues,96.0
Blues,97.0
Pop,98.0
Blues,99.0
Jazz,100.0
Alternative,101.0
Blues,102.0
R&B,103.0
Alternative,104.0
Pop,105.0
R&B,106.0
Blues,107.0
Alternative,108.0
Hip-Hop,109.0
R&B,110.0
R&B,111.0
Comedy,112.0
Hip-Hop,113.0
Hip-Hop,114.0
Blues,115.0
Folk,116.0
Jazz,117.0
R&B,118.0
Opera,119.0
Folk,120.0
Hip-Hop,121.0
Classical,122.0
Hip-Hop,123.0
Alternative,124.0
Hip-Hop,125.0
Comedy,126.0
R&B,127.0
Blues,128.0
Hip-Hop,129.0
R&B,130.0
Blues,131.0
Pop,132.0
Alternative,133.0
Folk,134.0
Classical,135.0
Classical,136.0
Blues,137.0
Opera,138.0
Alternative,139.0
Comedy,140.0
Jazz,141.0
R&B,142.0
R&B,143.0
Comedy,144.0
Folk,145.0
Alternative,146.0
Comedy,147.0
R&B,148.0
Opera,149.0
Blues,150.0
Folk,151.0
Jazz,152.0
Blues,153.0
Comedy,154.0
R&B,155.0
R&B,156.0
Jazz,157.0
Pop,158.0
R&B,159.0
Alternative,160.0
R&B,161.0
Hip-Hop,162.0
Jazz,163.0
Jazz,164.0
Jazz,165.0
R&B,166.0
Blues,167.0
Folk,168.0
Alternative,169.0
Alternative,170.0
Hip-Hop,171.0
Alternative,172.0
Blues,173.0
R&B,174.0
Opera,175.0
Folk,176.0
R&B,177.0
Hip-Hop,178.0
Comedy,179.0
