artist_name,genre,instance_id
Michael Haydn,Classical,1
Tee Grizzley,Hip-Hop,2
Jethro Tull,Blues,3
Susannah McCorkle,Jazz,5
Britney Spears,R&B,7
Willie Colón,Jazz,8
Jacquees,R&B,9
Moods,R&B,10
Bill Evans,Jazz,13
Gorillaz,Alternative,14
Hank Crawford,Jazz,16
Nicola Porpora,Opera,19
Gary Gulman,Comedy,20
Greg Giraldo,Comedy,21
Cautious Clay,R&B,23
Bill Engvall,Comedy,24
Jimi Hendrix,Blues,29
Becky G,Pop,30
Michael Jackson,Pop,32
Kid Ink,Hip-Hop,33
Charlie Burg,R&B,35
Josh Blue,Comedy,37
Darius Rucker,Pop,38
Anton Bruckner,Classical,42
The White Stripes,Blues,43
Lil Yachty,Hip-Hop,45
Eric Bellinger,R&B,48
Justine Skye,R&B,52
Peggy Scott-Adams,Blues,53
$uicideBoy$,Hip-Hop,54
Bryson Tiller,R&B,55
J. Holiday,R&B,57
Maria Bamford,Comedy,59
Avenged Sevenfold,Alternative,60
The Heavy,Blues,61
blackbear,Pop,62
Col3trane,R&B,64
Edward Elgar,Classical,65
Andy Woodhull,Comedy,67
Basement,Alternative,68
Donell Jones,R&B,69
Madison Beer,R&B,70
Heather Headley,R&B,71
India.Arie,R&B,72
Mr. Probz,Hip-Hop,73
Kendrick Lamar,Hip-Hop,76
Peggy Scott-Adams,Blues,78
Gregg Allman,Blues,80
joan,R&B,82
Aaron Copland,Classical,83
JJ Grey & Mofro,Blues,85
Korn,Alternative,86
Oliver Tree,Hip-Hop,87
Young Scooter,Hip-Hop,88
Nas,Hip-Hop,92
Mandolin Orange,Folk,93
Richard Wagner,Opera,94
George Carlin,Comedy,95
The Sonics,Blues,96
Adele,Pop,98
Bugseed,Jazz,100
GoldLink,Alternative,101
DJ Khaled,R&B,103
Citizen Way,Alternative,104
Jimmie Vaughan,Blues,107
Hollyn,Alternative,108
Lil Durk,Hip-Hop,109
Mariah Carey,R&B,110
Rich Homie Quan,Hip-Hop,114
Courtney Barnett,Folk,116
Scale The Summit,Jazz,117
Giacomo Puccini,Opera,119
Action Bronson,Hip-Hop,121
Antonio Vivaldi,Classical,122
Rittz,Hip-Hop,123
Cosculluela,Hip-Hop,125
Cheech & Chong,Comedy,126
Patrick Sweany,Blues,128
Avant,Hip-Hop,129
Plies,R&B,130
Jordan Davis,Pop,132
Letters To Cleo,Alternative,133
The Velvet Underground,Folk,134
Wolfgang Amadeus Mozart,Classical,136
The Black Crowes,Blues,137
Giacomo Puccini,Opera,138
Ella Mai,R&B,142
Yeek,R&B,143
Aziz Ansari,Comedy,144
Modest Mouse,Folk,145
Transit,Alternative,146
Robert Kelly,Comedy,147
Jay Sean,R&B,148
Richard Wagner,Opera,149
Christian Hudson,Folk,151
The Dave Brubeck Quartet,Jazz,152
Arin Ray,R&B,155
Alina Baraz,R&B,156
"Grover Washington, Jr.",Jazz,157
Britney Spears,R&B,159
Diddy,R&B,161
Four Tet,Jazz,164
Dean Martin,Jazz,165
Jay Park,R&B,166
Phish,Blues,167
Hollywood Undead,Alternative,169
Blur,Alternative,170
Offset,Hip-Hop,171
Everclear,Alternative,172
PLAZA,R&B,174
Better Oblivion Community Center,Folk,176
Ellie Goulding,R&B,177
Chris Maddock,Comedy,179
Foxing,Alternative,181
System Of A Down,Alternative,182
Myq Kaplan,Comedy,183
Jacques Offenbach,Opera,184
Hollywood Undead,Alternative,186
James Taylor,Folk,191
Miles Davis,Jazz,192
Wolfgang Amadeus Mozart,Classical,194
Broods,Pop,195
Arrigo Boito,Opera,196
George Lopez,Comedy,198
Howard Shore,Classical,199
Sade,R&B,203
Alex Cameron,Alternative,204
Dana Gould,Comedy,205
Craig David,R&B,206
Justin Quiles,Hip-Hop,209
Daniel Auber,Opera,212
Crowder,Alternative,214
Logan Mize,Pop,215
R.K.M & Ken-Y,Hip-Hop,218
My Morning Jacket,Alternative,219
Adolphe Adam,Opera,221
Greg Giraldo,Comedy,222
Lewis Black,Comedy,225
Eminem,Hip-Hop,226
TOPS,Alternative,227
Lemon Jelly,Jazz,228
TLC,Hip-Hop,230
Kali Uchis,Alternative,231
Frank Ocean,Alternative,232
Pouya,Hip-Hop,233
Tommy Ryman,Comedy,234
Andrew Dice Clay,Comedy,235
Louis Armstrong,Jazz,236
Giacomo Puccini,Opera,238
Mike Bahía,Pop,239
Mulatu Astatke,Jazz,241
Soda Stereo,Alternative,243
Harold Budd,Classical,245
Tom T. Hall,Folk,248
Giuseppe Verdi,Opera,249
Tech N9ne Collabos,Pop,250
Tego Calderon,Hip-Hop,251
David Cross,Comedy,253
Foster The People,Pop,255
Lynyrd Skynyrd,Blues,256
The Weeknd,R&B,257
Nat King Cole,Jazz,258
Mary Mary,R&B,261
Widespread Panic,Blues,264
Silverchair,Alternative,265
Dawes,Folk,268
