Random Forest (1),instance_id
Opera,1
Jazz,2
Blues,3
Jazz,4
Jazz,5
Blues,6
Jazz,7
Jazz,8
Jazz,9
Folk,10
Folk,11
Opera,12
Classical,13
Jazz,14
Jazz,15
Jazz,16
Blues,17
Jazz,18
Opera,19
Comedy,20
Comedy,21
Blues,22
Jazz,23
Comedy,24
Jazz,25
Jazz,26
Classical,27
Comedy,28
Jazz,29
Jazz,30
Blues,31
Folk,32
Jazz,33
Blues,34
Folk,35
Jazz,36
Comedy,37
Jazz,38
Folk,39
Blues,40
Blues,41
Classical,42
Blues,43
Blues,44
Jazz,45
Jazz,46
Comedy,47
Folk,48
Blues,49
Blues,50
Blues,51
Jazz,52
Blues,53
Jazz,54
Jazz,55
Jazz,56
Jazz,57
Opera,58
Comedy,59
Jazz,60
Blues,61
Jazz,62
Blues,63
Jazz,64
Opera,65
Jazz,66
Comedy,67
Folk,68
Folk,69
Jazz,70
Jazz,71
Jazz,72
Jazz,73
Jazz,74
Jazz,75
Jazz,76
Jazz,77
Blues,78
Comedy,79
Blues,80
Pop,81
Folk,82
Classical,83
Folk,84
Blues,85
Jazz,86
Pop,87
Jazz,88
Jazz,89
Classical,90
Jazz,91
Folk,92
Jazz,93
Opera,94
Comedy,95
Jazz,96
Blues,97
Folk,98
Folk,99
Jazz,100
Jazz,101
Jazz,102
Folk,103
Jazz,104
Folk,105
Jazz,106
Jazz,107
Jazz,108
Hip-Hop,109
Jazz,110
Jazz,111
Comedy,112
Jazz,113
Jazz,114
Jazz,115
Folk,116
Jazz,117
Jazz,118
Classical,119
Jazz,120
Folk,121
Jazz,122
Jazz,123
Blues,124
Jazz,125
Comedy,126
Jazz,127
Blues,128
Jazz,129
Pop,130
Blues,131
Folk,132
Folk,133
Folk,134
Classical,135
Classical,136
Blues,137
Opera,138
Folk,139
Comedy,140
Jazz,141
Folk,142
Jazz,143
Comedy,144
Jazz,145
Blues,146
Comedy,147
Folk,148
Opera,149
Blues,150
Jazz,151
Jazz,152
Blues,153
Comedy,154
Jazz,155
Folk,156
Jazz,157
Jazz,158
Folk,159
Folk,160
Jazz,161
Folk,162
Jazz,163
Jazz,164
Jazz,165
Jazz,166
Jazz,167
Folk,168
Folk,169
Jazz,170
Jazz,171
Folk,172
Blues,173
Jazz,174
Opera,175
Folk,176
Jazz,177
Jazz,178
Comedy,179
Jazz,180
Folk,181
Folk,182
Comedy,183
Opera,184
Jazz,185
Jazz,186
Classical,187
Jazz,188
Jazz,189
Jazz,190
Folk,191
Jazz,192
Jazz,193
Classical,194
Folk,195
Opera,196
Folk,197
Comedy,198
Classical,199
Jazz,200
Folk,201
Jazz,202
Jazz,203
Folk,204
Comedy,205
Jazz,206
Folk,207
Blues,208
Jazz,209
Jazz,210
Jazz,211
Opera,212
Jazz,213
Folk,214
Folk,215
Jazz,216
Jazz,217
Jazz,218
Jazz,219
Jazz,220
Opera,221
Comedy,222
Comedy,223
Jazz,224
Comedy,225
Folk,226
Jazz,227
Jazz,228
Jazz,229
Jazz,230
Folk,231
Jazz,232
Jazz,233
Comedy,234
Comedy,235
Jazz,236
Folk,237
Opera,238
Jazz,239
Folk,240
Jazz,241
Jazz,242
Alternative,243
Folk,244
Classical,245
Jazz,246
Blues,247
Jazz,248
Opera,249
Jazz,250
Jazz,251
Jazz,252
Comedy,253
Folk,254
Folk,255
Folk,256
Folk,257
Comedy,258
Opera,259
Jazz,260
Jazz,261
Jazz,262
Blues,263
Folk,264
Folk,265
Blues,266
Blues,267
Jazz,268
Jazz,269
Folk,270
Jazz,271
Blues,272
Folk,273
Blues,274
Jazz,275
Classical,276
Jazz,277
Jazz,278
Jazz,279
Jazz,280
Folk,281
Jazz,282
Jazz,283
Jazz,284
Jazz,285
Folk,286
Folk,287
Comedy,288
Opera,289
Jazz,290
Jazz,291
Jazz,292
Jazz,293
Blues,294
Jazz,295
Jazz,296
Blues,297
Jazz,298
Blues,299
Classical,300
Jazz,301
Jazz,302
Blues,303
Blues,304
Comedy,305
Classical,306
Jazz,307
Jazz,308
Jazz,309
Folk,310
Classical,311
Jazz,312
Jazz,313
Blues,314
Folk,315
Jazz,316
Jazz,317
Opera,318
Folk,319
Jazz,320
Jazz,321
Folk,322
Blues,323
Jazz,324
Jazz,325
Blues,326
Jazz,327
Opera,328
Classical,329
Jazz,330
Jazz,331
Folk,332
Folk,333
Comedy,334
Folk,335
Jazz,336
Folk,337
Comedy,338
Opera,339
Folk,340
Folk,341
Jazz,342
Folk,343
