instance_id,genre
1,Opera
2,Hip-Hop
3,Blues
4,Jazz
5,Jazz
6,Blues
7,R&B
8,Blues
9,R&B
10,Folk
11,Alternative
12,Opera
13,Classical
14,Folk
15,Hip-Hop
16,Blues
17,Alternative
18,Blues
19,Opera
20,Comedy
21,Comedy
22,Blues
23,Folk
24,Comedy
25,R&B
26,Blues
27,Classical
28,Blues
29,Jazz
30,Jazz
31,Alternative
32,Folk
33,R&B
34,Blues
35,Folk
36,Blues
37,Comedy
38,Folk
39,Jazz
40,Blues
41,Blues
42,Classical
43,Blues
44,Blues
45,Hip-Hop
46,Hip-Hop
47,Comedy
48,R&B
49,Blues
50,Blues
51,Alternative
52,R&B
53,Blues
54,Hip-Hop
55,Hip-Hop
56,Jazz
57,R&B
58,Opera
59,Comedy
60,Alternative
61,Alternative
62,Pop
63,Blues
64,R&B
65,Opera
66,Jazz
67,Comedy
68,Blues
69,R&B
70,R&B
71,R&B
72,R&B
73,Pop
74,Alternative
75,Blues
76,Pop
77,Folk
78,Blues
79,Comedy
80,Blues
81,Alternative
82,R&B
83,Classical
84,Pop
85,Blues
86,Alternative
87,R&B
88,Pop
89,Blues
90,Classical
91,Blues
92,R&B
93,Folk
94,Opera
95,Comedy
96,Jazz
97,Folk
98,Pop
99,Blues
100,Jazz
101,Alternative
102,Blues
103,Pop
104,Pop
105,Pop
106,R&B
107,Jazz
108,Folk
109,R&B
110,Alternative
111,Hip-Hop
112,Comedy
113,Alternative
114,R&B
115,Blues
116,Folk
117,Blues
118,R&B
119,Opera
120,Folk
121,Alternative
122,Jazz
123,R&B
124,Blues
125,Blues
126,Opera
127,Jazz
128,Blues
129,Blues
130,Alternative
131,Jazz
132,Hip-Hop
133,Folk
134,Blues
135,Classical
136,Classical
137,Blues
138,Opera
139,Folk
140,Comedy
141,Jazz
142,Folk
143,Jazz
144,Comedy
145,Alternative
146,Alternative
147,Comedy
148,R&B
149,Opera
150,Blues
151,R&B
152,Jazz
153,Folk
154,Comedy
155,R&B
156,R&B
157,Jazz
158,Pop
159,Folk
160,Alternative
161,Hip-Hop
162,Hip-Hop
163,Jazz
164,Jazz
165,Jazz
166,Pop
167,Blues
168,R&B
169,Folk
170,Hip-Hop
171,Hip-Hop
172,Alternative
173,Jazz
174,R&B
175,Opera
176,Folk
177,Blues
178,Blues
179,Comedy
180,Blues
181,Blues
182,Alternative
183,Comedy
184,Opera
185,Jazz
186,Hip-Hop
187,Classical
188,Blues
189,Blues
190,Jazz
191,Folk
192,Jazz
193,Blues
194,Classical
195,Alternative
196,Opera
197,Blues
198,Comedy
199,Classical
200,Blues
201,Folk
202,Blues
203,Folk
204,Blues
205,Comedy
206,Pop
207,Folk
208,Blues
209,R&B
210,Jazz
211,Folk
212,Opera
213,Blues
214,Folk
215,Folk
216,Jazz
217,R&B
218,Pop
219,Folk
220,Folk
221,Opera
222,Comedy
223,Comedy
224,Hip-Hop
225,Comedy
226,Alternative
227,R&B
228,Jazz
229,Alternative
230,Alternative
231,Folk
232,Folk
233,Pop
234,Comedy
235,Comedy
236,Blues
237,Folk
238,Opera
239,R&B
240,R&B
241,Jazz
242,Pop
243,Blues
244,Alternative
245,Classical
246,Blues
247,Blues
248,Folk
249,Opera
250,R&B
251,Blues
252,Jazz
253,Comedy
254,Jazz
255,Alternative
256,Alternative
257,Pop
258,Blues
259,Opera
260,Jazz
261,R&B
262,Folk
263,Blues
264,Blues
265,Blues
266,Blues
267,Blues
268,Folk
269,Blues
270,Pop
271,Pop
272,Blues
273,Hip-Hop
274,Blues
275,Blues
276,Blues
277,Hip-Hop
278,Folk
279,Hip-Hop
280,Blues
281,Pop
282,Blues
283,R&B
284,Hip-Hop
285,R&B
286,Folk
287,Pop
288,Comedy
289,Opera
290,Blues
291,Hip-Hop
292,Folk
293,Alternative
294,Blues
295,Blues
296,Jazz
297,Alternative
298,Hip-Hop
299,Blues
300,Classical
301,Blues
302,Hip-Hop
303,Jazz
304,Blues
305,Jazz
306,Jazz
307,Pop
308,Blues
309,Folk
310,Hip-Hop
311,Classical
312,Hip-Hop
313,R&B
314,Hip-Hop
315,Blues
316,Alternative
317,R&B
318,Opera
319,Alternative
320,Alternative
321,Folk
322,Jazz
323,Blues
324,Alternative
325,Jazz
326,Blues
327,R&B
328,Opera
329,Classical
330,Jazz
331,Blues
332,Jazz
333,Folk
334,Comedy
335,Pop
336,R&B
337,Alternative
338,Comedy
339,Opera
340,Blues
341,Folk
342,Blues
343,Blues
344,Alternative
345,Blues
346,Folk
347,Pop
348,Hip-Hop
349,Blues
350,Blues
351,Hip-Hop
352,Blues
353,Blues
354,Jazz
355,Opera
356,Blues
357,Classical
358,Jazz
359,Classical
360,Blues
361,Folk
362,Jazz
363,R&B
364,R&B
365,Classical
366,Comedy
367,Classical
368,Blues
369,Blues
370,Classical
371,Comedy
372,Alternative
373,Alternative
374,Blues
375,Blues
376,Hip-Hop
377,Opera
378,Hip-Hop
379,Alternative
380,Blues
381,Opera
382,Blues
383,Alternative
384,Jazz
385,Opera
386,Hip-Hop
387,Comedy
388,Folk
389,Alternative
390,R&B
391,Alternative
392,Blues
393,Comedy
394,Folk
395,Folk
396,Opera
397,Blues
398,R&B
399,Alternative
400,Folk
401,R&B
402,Jazz
403,R&B
404,Classical
405,R&B
406,Alternative
407,R&B
408,Comedy
409,Folk
410,R&B
411,Alternative
412,Classical
413,R&B
414,Folk
415,Opera
416,Opera
417,Folk
418,Classical
419,Jazz
420,Blues
421,Classical
422,R&B
423,Blues
424,Folk
425,Opera
426,Blues
427,R&B
428,Comedy
429,Folk
430,Comedy
431,Classical
432,Alternative
433,Classical
434,Blues
435,Blues
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Opera
441,Comedy
442,Opera
443,Jazz
444,R&B
445,Jazz
446,Hip-Hop
447,Blues
448,Blues
449,Classical
450,Alternative
451,Classical
452,Blues
453,Folk
454,Blues
455,Blues
456,Blues
457,R&B
458,Jazz
459,Blues
460,Jazz
461,Hip-Hop
462,Jazz
463,Comedy
464,R&B
465,Blues
466,R&B
467,R&B
468,Folk
469,Hip-Hop
470,Pop
471,Comedy
472,R&B
473,Alternative
474,Blues
475,Blues
476,Opera
477,Alternative
478,Blues
479,R&B
480,Hip-Hop
481,Opera
482,Comedy
483,Blues
484,Classical
485,R&B
486,Blues
487,Opera
488,Jazz
489,Alternative
490,Classical
491,Blues
492,Blues
493,Blues
494,Comedy
495,Blues
496,Blues
497,Blues
498,Opera
499,Blues
500,Classical
501,Jazz
502,Jazz
503,Blues
504,R&B
505,Hip-Hop
506,Jazz
507,Blues
508,Pop
509,Blues
510,Alternative
511,R&B
512,Jazz
513,Jazz
514,Classical
515,Jazz
516,R&B
517,Blues
518,Folk
519,Alternative
520,Blues
521,Blues
522,Blues
523,Classical
524,Pop
525,Blues
526,R&B
527,Blues
528,Folk
529,R&B
530,Blues
531,Alternative
532,R&B
533,Pop
534,R&B
535,Pop
536,Jazz
537,Folk
538,Jazz
539,Folk
540,Folk
541,Hip-Hop
542,Blues
543,Hip-Hop
544,Pop
545,Hip-Hop
546,Classical
547,R&B
548,Hip-Hop
549,Folk
550,Jazz
551,Jazz
552,Pop
553,Hip-Hop
554,Blues
555,Folk
556,Alternative
557,Blues
558,Alternative
559,Alternative
560,Jazz
561,Hip-Hop
562,Blues
563,Pop
564,Jazz
565,Blues
566,Comedy
567,Blues
568,Comedy
569,Alternative
570,Blues
571,Blues
572,Folk
573,Comedy
574,Blues
575,Opera
576,Opera
577,Folk
578,Blues
579,Comedy
580,Jazz
581,R&B
582,Folk
583,R&B
584,Alternative
585,Blues
586,Hip-Hop
587,Jazz
588,Hip-Hop
589,Jazz
590,Opera
591,Alternative
592,Blues
593,Jazz
594,Classical
595,Blues
596,Jazz
597,Folk
598,Blues
599,Opera
600,R&B
601,Blues
602,R&B
603,Blues
604,Alternative
605,R&B
606,Blues
607,Blues
608,Classical
609,Opera
610,Jazz
611,Comedy
612,Blues
613,Opera
614,Blues
615,Hip-Hop
616,Blues
617,Folk
618,Blues
619,Comedy
620,Blues
621,Blues
622,Hip-Hop
623,R&B
624,Blues
