instance_id,Random Forest
1,Classical
2,Hip-Hop
3,Blues
4,R&B
5,Jazz
6,Blues
7,R&B
8,Blues
9,R&B
10,Folk
11,Pop
12,Opera
13,Classical
14,Jazz
15,Hip-Hop
16,Blues
17,Alternative
18,Blues
19,Opera
20,Comedy
21,Comedy
22,Blues
23,Folk
24,Comedy
25,Jazz
26,Folk
27,Classical
28,Blues
29,Jazz
30,R&B
31,Blues
32,R&B
33,Hip-Hop
34,Blues
35,Hip-Hop
36,R&B
37,Comedy
38,Folk
39,Hip-Hop
40,Blues
41,Blues
42,Classical
43,Blues
44,Blues
45,Hip-Hop
46,R&B
47,Comedy
48,Alternative
49,Blues
50,Blues
51,Blues
52,R&B
53,Blues
54,Hip-Hop
55,Hip-Hop
56,Blues
57,R&B
58,Opera
59,Comedy
60,Alternative
61,Alternative
62,Hip-Hop
63,Blues
64,Jazz
65,Opera
66,Blues
67,Comedy
68,Alternative
69,R&B
70,Hip-Hop
71,R&B
72,R&B
73,Pop
74,Blues
75,Alternative
76,Pop
77,Folk
78,Blues
79,Comedy
80,Blues
81,Pop
82,Alternative
83,Classical
84,Alternative
85,Jazz
86,Alternative
87,R&B
88,Hip-Hop
89,R&B
90,Classical
91,Hip-Hop
92,Hip-Hop
93,Folk
94,Opera
95,Comedy
96,Jazz
97,Blues
98,Pop
99,R&B
100,Jazz
101,Hip-Hop
102,Blues
103,Pop
104,Alternative
105,Pop
106,R&B
107,Jazz
108,R&B
109,Hip-Hop
110,Pop
111,R&B
112,Comedy
113,Hip-Hop
114,Hip-Hop
115,Blues
116,Alternative
117,Blues
118,Alternative
119,Classical
120,Folk
121,Alternative
122,Jazz
123,Hip-Hop
124,Alternative
125,Blues
126,Comedy
127,R&B
128,Blues
129,R&B
130,Pop
131,Jazz
132,Pop
133,Alternative
134,Folk
135,Classical
136,Classical
137,Blues
138,Opera
139,Alternative
140,Comedy
141,Jazz
142,Folk
143,Jazz
144,Comedy
145,Alternative
146,Alternative
147,Comedy
148,R&B
149,Opera
150,Blues
151,R&B
152,Jazz
153,Blues
154,Comedy
155,Alternative
156,Pop
157,Jazz
158,Alternative
159,Pop
160,Alternative
161,Hip-Hop
162,Hip-Hop
163,Jazz
164,Jazz
165,Folk
166,Pop
167,Blues
168,Folk
169,R&B
170,Pop
171,Pop
172,Pop
173,Blues
174,R&B
175,Opera
176,Alternative
177,Folk
178,R&B
179,Comedy
180,Blues
181,R&B
182,Pop
183,Comedy
184,Classical
185,Hip-Hop
186,R&B
187,Classical
188,R&B
189,R&B
190,Jazz
191,Pop
192,Jazz
193,Folk
194,Classical
195,R&B
196,Classical
197,Folk
198,Comedy
199,Classical
200,Blues
201,Folk
202,R&B
203,Folk
204,Folk
205,Comedy
206,Pop
207,Folk
208,Blues
209,Alternative
210,R&B
211,Jazz
212,Opera
213,R&B
214,Folk
215,Alternative
216,Jazz
217,Hip-Hop
218,Pop
219,Folk
220,R&B
221,Opera
222,Comedy
223,Comedy
224,R&B
225,Comedy
226,Pop
227,Alternative
228,Jazz
229,Jazz
230,Hip-Hop
231,R&B
232,R&B
233,Hip-Hop
234,Comedy
235,Comedy
236,Folk
237,Folk
238,Opera
239,Hip-Hop
240,Pop
241,Jazz
242,R&B
243,Folk
244,Alternative
245,Classical
246,Hip-Hop
247,Blues
248,Folk
249,Opera
250,R&B
251,Jazz
252,Jazz
253,Comedy
254,Pop
255,Pop
256,Alternative
257,R&B
258,Folk
259,Opera
260,Jazz
261,R&B
262,Folk
263,Blues
264,Folk
265,R&B
266,Blues
267,Blues
268,Blues
269,Blues
270,Pop
271,Hip-Hop
272,Blues
273,Hip-Hop
274,Blues
275,Hip-Hop
276,Blues
277,R&B
278,R&B
279,Hip-Hop
280,Blues
281,Pop
282,Jazz
283,Pop
284,Hip-Hop
285,R&B
286,Pop
287,R&B
288,Comedy
289,Opera
290,Blues
291,Hip-Hop
292,R&B
293,Hip-Hop
294,Blues
295,Blues
296,Jazz
297,Alternative
298,Pop
299,Blues
300,Classical
301,Hip-Hop
302,Alternative
303,Blues
304,Jazz
305,Comedy
306,Folk
307,Pop
308,Jazz
309,Folk
310,R&B
311,Classical
312,Hip-Hop
313,Alternative
314,Blues
315,Folk
316,R&B
317,Folk
318,Opera
319,Alternative
320,Alternative
321,Folk
322,R&B
323,Blues
324,R&B
325,Jazz
326,Blues
327,R&B
328,Opera
329,Classical
330,Folk
331,R&B
332,Folk
333,Alternative
334,Comedy
335,Hip-Hop
336,Blues
337,Alternative
338,Comedy
339,Jazz
340,Alternative
341,Folk
342,Blues
343,Folk
344,R&B
345,Alternative
346,R&B
347,Hip-Hop
348,Blues
349,Hip-Hop
350,Alternative
351,Hip-Hop
352,Blues
353,Blues
354,Jazz
355,Classical
356,Blues
357,Classical
358,Jazz
359,Classical
360,Jazz
361,Alternative
362,Blues
363,Folk
364,Alternative
365,Jazz
366,Comedy
367,Classical
368,Blues
369,Blues
370,Classical
371,Comedy
372,Folk
373,Alternative
374,Blues
375,Blues
376,Hip-Hop
377,Opera
378,Hip-Hop
379,Alternative
380,Blues
381,Opera
382,Blues
383,Pop
384,Blues
385,Opera
386,Pop
387,Comedy
388,Pop
389,Pop
390,Alternative
391,Alternative
392,Jazz
393,Comedy
394,Jazz
395,Folk
396,Opera
397,Folk
398,R&B
399,Pop
400,R&B
401,R&B
402,Hip-Hop
403,Folk
404,Classical
405,Pop
406,Blues
407,Hip-Hop
408,Comedy
409,Folk
410,R&B
411,Blues
412,Classical
413,Hip-Hop
414,Blues
415,Blues
416,Classical
417,Folk
418,Classical
419,Alternative
420,Jazz
421,Classical
422,Blues
423,Blues
424,Pop
425,Opera
426,Blues
427,R&B
428,Comedy
429,Folk
430,Comedy
431,Classical
432,Alternative
433,Classical
434,Blues
435,Blues
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Classical
441,Comedy
442,Classical
443,Folk
444,R&B
445,Alternative
446,Hip-Hop
447,Blues
448,Opera
449,Classical
450,Folk
451,Classical
452,Hip-Hop
453,R&B
454,Folk
455,Jazz
456,Blues
457,R&B
458,R&B
459,Blues
460,Folk
461,Hip-Hop
462,Jazz
463,Comedy
464,Hip-Hop
465,R&B
466,Pop
467,Hip-Hop
468,Alternative
469,Jazz
470,Hip-Hop
471,Comedy
472,R&B
473,Alternative
474,Blues
475,Blues
476,Opera
477,Pop
478,Blues
479,Folk
480,Hip-Hop
481,Opera
482,Comedy
483,Blues
484,Classical
485,R&B
486,Blues
487,Opera
488,Jazz
489,Hip-Hop
490,Alternative
491,Pop
492,Blues
493,Folk
494,Comedy
495,Blues
496,Blues
497,R&B
498,Opera
499,Alternative
500,Classical
501,Jazz
502,R&B
503,R&B
504,Pop
505,R&B
506,Jazz
507,Blues
508,Hip-Hop
509,Blues
510,Alternative
511,Pop
512,Jazz
513,Jazz
514,Classical
515,Jazz
516,R&B
517,Blues
518,Folk
519,Alternative
520,Folk
521,Alternative
522,Alternative
523,Classical
524,Hip-Hop
525,Alternative
526,Pop
527,Blues
528,Pop
529,Pop
530,Blues
531,R&B
532,Blues
533,Pop
534,Pop
535,Hip-Hop
536,Folk
537,Folk
538,Jazz
539,R&B
540,Alternative
541,Hip-Hop
542,Blues
543,Hip-Hop
544,Pop
545,R&B
546,Classical
547,Pop
548,Hip-Hop
549,Alternative
550,R&B
551,Pop
552,R&B
553,Hip-Hop
554,Blues
555,Blues
556,Pop
557,Blues
558,Alternative
559,Pop
560,Jazz
561,Alternative
562,Hip-Hop
563,Pop
564,Jazz
565,Blues
566,Comedy
567,Blues
568,Comedy
569,Alternative
570,Alternative
571,Blues
572,Pop
573,Comedy
574,Blues
575,Opera
576,Opera
577,R&B
578,Jazz
579,Comedy
580,Jazz
581,R&B
582,Alternative
583,Pop
584,Folk
585,Blues
586,Hip-Hop
587,R&B
588,Alternative
589,Blues
590,Opera
591,Pop
592,Folk
593,Hip-Hop
594,Classical
595,Blues
596,R&B
597,R&B
598,Folk
599,Classical
600,R&B
601,Jazz
602,Alternative
603,Alternative
604,Alternative
605,Jazz
606,Blues
607,Folk
608,Jazz
609,Opera
610,Blues
611,Comedy
612,R&B
613,Opera
614,Blues
615,Pop
616,Folk
617,Alternative
618,Blues
619,Comedy
620,Blues
621,Blues
622,Folk
623,Hip-Hop
624,Blues
625,R&B
626,Blues
627,Blues
628,Pop
629,Pop
630,Blues
631,Comedy
632,Pop
633,Blues
634,Hip-Hop
635,Hip-Hop
636,R&B
637,Comedy
638,Blues
639,Blues
640,R&B
641,Opera
642,Hip-Hop
643,Classical
644,Folk
645,Alternative
646,Blues
647,Jazz
648,Classical
649,Folk
650,Alternative
651,Blues
652,Blues
653,R&B
654,Classical
655,Folk
656,Folk
657,Pop
658,Blues
659,Alternative
660,Pop
661,Blues
662,Blues
663,Classical
664,Hip-Hop
665,Folk
666,Hip-Hop
667,Pop
668,Blues
669,Folk
670,Classical
671,Jazz
672,Jazz
673,Blues
674,Alternative
675,Comedy
676,Opera
677,Pop
678,Hip-Hop
679,Hip-Hop
680,Blues
681,R&B
682,Blues
683,Hip-Hop
684,R&B
685,Alternative
686,Pop
687,Folk
688,Comedy
689,R&B
690,Blues
691,Blues
692,Blues
693,Alternative
694,Alternative
695,Alternative
696,Blues
697,Blues
698,Blues
699,Classical
700,Pop
701,R&B
702,R&B
703,Blues
704,Hip-Hop
705,Alternative
706,Pop
707,Comedy
708,Blues
709,R&B
710,Classical
711,Folk
712,R&B
713,Jazz
714,Comedy
715,R&B
716,Folk
717,Blues
718,Folk
719,Comedy
720,Blues
721,Folk
722,Opera
723,Alternative
724,Blues
725,Alternative
726,Hip-Hop
727,R&B
728,Alternative
729,Classical
730,Jazz
731,Blues
732,Comedy
733,Pop
734,Hip-Hop
735,Folk
736,Pop
737,Classical
738,Blues
739,Pop
740,Jazz
741,Jazz
742,Opera
743,Pop
744,Alternative
745,Pop
746,Jazz
747,Classical
748,Alternative
749,Jazz
750,Hip-Hop
751,Blues
752,Alternative
753,Pop
754,Folk
755,Jazz
756,Comedy
757,Pop
758,Alternative
759,R&B
760,Folk
761,Pop
762,Comedy
763,Alternative
764,R&B
765,Pop
766,Comedy
767,Hip-Hop
768,Blues
769,Blues
770,Blues
771,R&B
772,Blues
773,R&B
774,Comedy
775,Jazz
776,Hip-Hop
777,Folk
778,Blues
779,Opera
780,Hip-Hop
781,Blues
782,R&B
783,Alternative
784,Alternative
785,R&B
786,Blues
787,Comedy
788,Hip-Hop
789,R&B
790,R&B
791,Pop
792,R&B
793,Jazz
794,Blues
795,Hip-Hop
796,Classical
797,Jazz
798,Folk
799,R&B
800,Folk
801,Hip-Hop
802,Blues
803,Pop
804,Folk
805,Folk
806,Opera
807,Blues
808,Classical
809,Comedy
810,Jazz
811,Jazz
812,Jazz
813,Opera
814,Blues
815,Blues
816,Classical
817,Hip-Hop
818,Blues
819,Pop
820,R&B
821,Folk
822,Pop
823,Comedy
824,Blues
825,Folk
826,Hip-Hop
827,Comedy
828,Hip-Hop
829,Pop
830,Blues
831,Classical
832,Opera
833,R&B
834,Blues
835,Folk
836,Blues
837,Classical
838,R&B
839,Comedy
840,Opera
841,Folk
842,Jazz
843,Hip-Hop
844,Alternative
845,Pop
846,Comedy
847,Opera
848,Blues
849,Blues
850,Folk
851,Alternative
852,Blues
853,Pop
854,Folk
855,Hip-Hop
856,Pop
857,Folk
858,Blues
859,Alternative
860,Pop
861,Classical
862,Opera
863,R&B
864,Alternative
865,Hip-Hop
866,Comedy
867,Blues
868,Alternative
869,Alternative
870,Alternative
871,Folk
872,Pop
873,Comedy
874,Pop
875,Jazz
876,Blues
877,Pop
878,Blues
879,Blues
880,Pop
881,Classical
882,Folk
883,Jazz
884,Alternative
885,Alternative
886,Blues
887,Hip-Hop
888,Hip-Hop
889,Comedy
890,Opera
891,Pop
892,Classical
893,Folk
894,Comedy
895,Comedy
896,Blues
897,R&B
898,Alternative
899,Blues
900,R&B
901,Alternative
902,Classical
903,Pop
904,Blues
905,Pop
906,Hip-Hop
907,R&B
908,Jazz
909,Jazz
910,Blues
911,Blues
912,Alternative
913,Pop
914,Jazz
915,Alternative
916,Hip-Hop
917,Jazz
918,Comedy
919,Blues
920,Alternative
921,Alternative
922,Blues
923,Hip-Hop
924,Opera
925,Pop
926,Opera
927,Alternative
928,Hip-Hop
929,Pop
930,Comedy
931,Opera
932,R&B
933,Jazz
934,Hip-Hop
935,Pop
936,Hip-Hop
937,Jazz
938,Hip-Hop
939,Folk
940,Folk
941,R&B
942,Pop
943,Jazz
944,Jazz
945,Blues
946,Comedy
947,Alternative
948,Pop
949,Jazz
950,Pop
951,Alternative
952,Jazz
953,Hip-Hop
954,Alternative
955,Alternative
956,R&B
957,Hip-Hop
958,Jazz
959,Alternative
960,R&B
961,Comedy
962,Pop
963,R&B
964,Opera
965,Comedy
966,R&B
967,Pop
968,Classical
969,Hip-Hop
970,Folk
971,Jazz
972,Comedy
973,Pop
974,Classical
975,Opera
976,Pop
977,Hip-Hop
978,Jazz
979,Blues
980,Folk
981,Hip-Hop
982,Jazz
983,Hip-Hop
984,Folk
985,Folk
986,Alternative
987,Jazz
988,Folk
989,Blues
990,Classical
991,Folk
992,Blues
993,Folk
994,Hip-Hop
995,Blues
996,Blues
997,Hip-Hop
998,Blues
999,Jazz
1000,Hip-Hop
1001,Classical
1002,Opera
1003,Blues
1004,Folk
1005,Pop
1006,Alternative
1007,Classical
1008,Blues
1009,R&B
1010,Blues
1011,Jazz
1012,Opera
1013,R&B
1014,Hip-Hop
1015,Hip-Hop
1016,Pop
1017,Comedy
1018,Jazz
1019,Pop
1020,Jazz
1021,R&B
1022,Blues
1023,Alternative
1024,R&B
1025,Hip-Hop
1026,Hip-Hop
1027,Folk
1028,Folk
1029,Classical
1030,Opera
1031,Comedy
1032,Opera
1033,Comedy
1034,R&B
1035,Jazz
1036,R&B
1037,Comedy
1038,Folk
1039,Jazz
1040,Folk
1041,R&B
1042,R&B
1043,Folk
1044,Blues
1045,Alternative
1046,R&B
1047,Folk
1048,Hip-Hop
1049,R&B
1050,Pop
1051,Jazz
1052,Folk
1053,R&B
1054,Hip-Hop
1055,Folk
1056,R&B
1057,Alternative
1058,Alternative
1059,Hip-Hop
1060,R&B
1061,Alternative
1062,Blues
1063,Hip-Hop
1064,Jazz
1065,Folk
1066,Blues
1067,Hip-Hop
1068,Folk
1069,Blues
1070,Hip-Hop
1071,Pop
1072,Jazz
1073,Comedy
1074,Blues
1075,Blues
1076,Blues
1077,Alternative
1078,Jazz
1079,Opera
1080,Jazz
1081,Folk
