Selected,artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,All That Remains,This Calling,3nzL5CIQiCEt6jRt1AlQ9d,108309,50,1.1e-05,0.542,218533,0.986,0.000798,D,0.313,-2.663,Minor,0.0968,108.059,04-Apr,0.265,Alternative
No,Chris Tomlin,Is He Worthy?,0nfkzX4y8O7Jxotd7bCu2C,36871,54,0.153,0.357,,0.552,,E,0.112,-6.084,Major,0.0289,145.811,04-Apr,0.217,Alternative
No,empty_field,Brick,56YUl8krZRa1WbXJQMKnPx,129346,52,0.645,0.542,271720,0.454,0.00279,D,0.15,-10.247,Major,0.025,,04-Apr,0.267,Alternative
No,Kyuss,Green Machine,0fnwkQrgavFSaGZaCmjqsY,140524,51,8.21e-05,0.341,217907,0.947,0.000692,F,0.118,-8.801,Major,0.0508,181.062,04-Apr,0.594,Alternative
No,empty_field,"Lights Out, Words Gone",4Ff2jbq4IvpGQRjrwbge4t,131607,53,0.577,0.649,301347,0.76,0.332,G#,0.107,-7.275,Major,0.0298,106.002,04-Apr,0.654,Alternative
No,Chevelle,In Debt To The Earth,2cCRCSJvtSuzQIjQ0OBQoc,104801,41,0.0231,0.538,251600,0.887,0.0047,E,0.313,-4.196,Major,0.048,134.955,03-Apr,0.653,Alternative
No,Modest Mouse,Gravity Rides Everything,5fybOJXJqpthCKOgWUUkdN,33551,51,0.431,0.395,259840,0.443,0.0352,E,0.504,-7.972,Major,0.0396,103.262,04-Apr,0.714,Alternative
No,Basement,Disconnect,0M8MPqaoGgkRjkG9kgZ3n4,128724,42,0.000934,0.385,209213,0.979,,D#,0.282,-3.436,Major,0.109,154.977,04-Apr,0.25,Alternative
No,empty_field,DRIVE ME CRAZY,3XhmzBl2ZLlki3yhIaIhfw,28997,49,0.00676,0.479,277787,0.667,0.000118,C#,0.157,-7.653,Major,0.379,147.486,04-Apr,0.274,Alternative
No,Caifanes,Afuera,7cz70nyRXlCJOE85whEkgU,204237,68,0.209,0.487,288600,0.553,2.81e-05,F#,0.0992,-11.197,Minor,0.0425,126.043,04-Apr,0.699,Alternative
No,Jai Paul,He,19EIuWpVEtyoBGyUVuFg6k,117729,58,0.514,0.743,268000,0.441,0.00524,B,0.309,-11.169,Major,0.0898,,04-Apr,0.465,Alternative
No,empty_field,Déjà vu,6snTSfKns0v5V8euTy8uhQ,168312,54,0.16,0.552,251907,0.603,,G#,0.088,-8.948,Major,0.168,123.709,04-Apr,0.382,Alternative
No,empty_field,Can I Kick It?,5gN2YGb1DOT5etfqwP66I3,210180,68,0.173,0.848,,0.666,0.000699,C,0.129,-6.547,Major,0.274,96.662,04-Apr,0.744,Alternative
No,empty_field,Empty Walls,7JpzzaCzljQdfnG7wPRqSe,95885,57,0.00161,0.464,230027,0.963,,C,0.196,-3.568,Minor,0.0484,160.071,04-Apr,0.528,Alternative
