Selected,Genre,Feature,Rank,R_squared
Yes,Alternative,acousticness,1,0.0787451
Yes,Alternative,energy,2,0.0582241
Yes,Alternative,loudness,3,0.0496875
Yes,Alternative,popularity,4,0.0222998
Yes,Alternative,instrumentalness,5,0.0140792
Yes,Alternative,speechiness,6,0.0105455
Yes,Alternative,time_signature=04/4,7,0.0092411
Yes,Alternative,tempo,8,0.00759688
Yes,Alternative,time_signature=03/4,9,0.00567432
Yes,Alternative,liveness,10,0.00418947
Yes,Blues,valence,1,0.0457972
Yes,Blues,speechiness,2,0.0185
Yes,Blues,popularity,3,0.0180434
Yes,Blues,acousticness,4,0.0164652
Yes,Blues,energy,5,0.0125734
Yes,Blues,instrumentalness,6,0.0118125
Yes,Blues,loudness,7,0.00974888
Yes,Blues,tempo,8,0.00577571
Yes,Blues,key=C#,9,0.00284942
Yes,Blues,time_signature=04/4,10,0.00274374
Yes,Classical,loudness,1,0.273875
Yes,Classical,instrumentalness,2,0.207224
Yes,Classical,energy,3,0.170605
Yes,Classical,danceability,4,0.162966
Yes,Classical,acousticness,5,0.122205
Yes,Classical,valence,6,0.0747184
Yes,Classical,popularity,7,0.0250665
Yes,Classical,speechiness,8,0.0225442
Yes,Classical,duration_ms,9,0.0184134
Yes,Classical,time_signature=04/4,10,0.0138491
Yes,Comedy,speechiness,1,0.803467
Yes,Comedy,liveness,2,0.46622
Yes,Comedy,popularity,3,0.149938
Yes,Comedy,acousticness,4,0.0793631
Yes,Comedy,time_signature=04/4,5,0.0742149
Yes,Comedy,energy,6,0.0398885
Yes,Comedy,time_signature=03/4,7,0.0390588
Yes,Comedy,tempo,8,0.0233517
Yes,Comedy,time_signature=05/4,9,0.0207994
Yes,Comedy,time_signature=01/4,10,0.0098259
Yes,Folk,speechiness,1,0.0249801
Yes,Folk,popularity,2,0.020399
Yes,Folk,instrumentalness,3,0.0130471
Yes,Folk,liveness,4,0.0109843
Yes,Folk,mode=Minor,5,0.00787666
Yes,Folk,time_signature=04/4,6,0.00358454
Yes,Folk,loudness,7,0.00319584
Yes,Folk,tempo,8,0.0025244
Yes,Folk,key=C#,9,0.00222293
Yes,Folk,time_signature=03/4,10,0.00157207
Yes,Hip-Hop,danceability,1,0.107128
Yes,Hip-Hop,popularity,2,0.0912441
Yes,Hip-Hop,acousticness,3,0.0703136
Yes,Hip-Hop,loudness,4,0.0425669
Yes,Hip-Hop,energy,5,0.0238078
Yes,Hip-Hop,time_signature=04/4,6,0.0145961
Yes,Hip-Hop,time_signature=03/4,7,0.0128388
Yes,Hip-Hop,key=C#,8,0.00805331
Yes,Hip-Hop,instrumentalness,9,0.00691425
Yes,Hip-Hop,valence,10,0.00518363
Yes,Jazz,instrumentalness,1,0.0357648
Yes,Jazz,speechiness,2,0.0152937
Yes,Jazz,valence,3,0.0137177
Yes,Jazz,liveness,4,0.0106848
Yes,Jazz,danceability,5,0.00805883
Yes,Jazz,mode=Minor,6,0.00581798
Yes,Jazz,energy,7,0.00305061
Yes,Jazz,time_signature=04/4,8,0.00274374
Yes,Jazz,duration_ms,9,0.00205176
Yes,Jazz,key=F,10,0.00143037
Yes,Opera,popularity,1,0.282657
Yes,Opera,danceability,2,0.186833
Yes,Opera,energy,3,0.179851
Yes,Opera,acousticness,4,0.17326
Yes,Opera,loudness,5,0.17177
Yes,Opera,valence,6,0.0952546
Yes,Opera,time_signature=04/4,7,0.0361766
Yes,Opera,time_signature=03/4,8,0.0251228
Yes,Opera,speechiness,9,0.0196796
Yes,Opera,tempo,10,0.0139685
Yes,Pop,popularity,1,0.205715
Yes,Pop,loudness,2,0.0511245
Yes,Pop,acousticness,3,0.0481235
Yes,Pop,danceability,4,0.0358926
Yes,Pop,energy,5,0.0237637
Yes,Pop,time_signature=04/4,6,0.0115275
Yes,Pop,instrumentalness,7,0.010602
Yes,Pop,liveness,8,0.00864152
Yes,Pop,time_signature=03/4,9,0.00857327
Yes,Pop,valence,10,0.00627306
Yes,R&B,danceability,1,0.0362715
Yes,R&B,popularity,2,0.0350037
Yes,R&B,loudness,3,0.0286198
Yes,R&B,acousticness,4,0.0266569
Yes,R&B,instrumentalness,5,0.0104363
Yes,R&B,liveness,6,0.00950912
Yes,R&B,time_signature=04/4,7,0.0083474
Yes,R&B,mode=Minor,8,0.00747964
Yes,R&B,time_signature=03/4,9,0.00669942
Yes,R&B,energy,10,0.00354797
