artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Freddie Gibbs,Triple Threat,12NwYmQT1Mm7gkrCjIuq0d,AltCluster6,134768,45,0.0252,0.85,178422,0.412,0.0697123,D,0.0948,-7.845,Major,0.236,130.99,04/4,0.663,Alternative
Solange,Don't You Wait,0AmkrjMDff4ICVNxQhppZA,Alt_Cluster1,88412,45,0.279,0.833,245907,0.579,0.692,C,0.0997,-6.568,Major,0.08,108.358,04/4,0.514,Alternative
empty_field,Livin Right,6KmnejQFYdWUVUJh6zwEce,AltCluster2,194415,46,0.00114,0.539,209760,0.915,0.0650684,C#,0.0675,-4.251,Minor,0.0601,88.051,04/4,0.435,Alternative
Mandisa,Unfinished,6bbgFuZu4zsvAfSDhBiH34,AltCluster2,45901,49,0.0152,0.63,217384,0.691,0.0678249,A,0.303,-4.334,Major,0.0312,93.014,04/4,0.261,Alternative
Masego,I DO EVERYTHING!,4Vs0lqUgQzO4vEcbgkUgJb,AltCluster6,22453,49,0.521,0.76,187404,0.393,0.000668,C#,0.796,-11.219,Minor,0.525,135.293,04/4,0.34,Alternative
empty_field,Roll Right,5mJ69hhibmTLd407KDDgQK,AltCluster7,52047,49,0.014,0.527,179575,0.789,0.0133,A,0.381,-8.049,Major,0.0694,86.137,04/4,0.452,Alternative
Florence + The Machine,My Best Dress - Demo,32VsrbbWKZAuUSsWkMKzZM,AltCluster3,114252,55,0.518,0.578,154587,0.272,6.59e-06,C,0.106,-7.944,Minor,0.0818,135.098,04/4,0.211,Alternative
empty_field,Guitarras Blancas,1uOgZkPPwGgya04nRoM1wy,AltCluster7,216960,58,0.0707,0.632,266827,0.754,4.62e-05,G#,0.14,-4.639,Major,0.0385,145.066,04/4,0.792,Alternative
Brent Faiyaz,So Far Gone / Fast Life Bluez,2x5Frs6ts14U4MSLrQQlXg,AltCluster3,49554,46,0.841,0.511,331018,0.439,3.12e-05,A,0.225,-11.79,Minor,0.218,159.815,04/4,0.124,Alternative
empty_field,Liar,67hMSEb3LyrmgEo9fPNrDU,AltCluster2,66163,48,0.266,0.537,311347,0.755,0.0901,C,0.262,-8.187,Major,0.0269,134.879,04/4,0.538,Alternative
PREP,Who's Got You Singing Again,090yW5nfZqCi8jVtf9WxvP,AltCluster3,189311,55,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,112.656,04/4,0.481,Alternative
Noah Slee,DGAF,6LPnHQr7o95lezO5Y6qJVE,AltCluster7,68463,57,0.227,0.804,196640,0.522,0.000171,A,0.077,-7.319,Minor,0.0485,134.168,04/4,0.243,Alternative
Amon Amarth,Raise Your Horns,0hvi6FQl4h3zVGC2DVpohG,Alt_Cluster1,150133,50,6.05e-05,0.458,263760,0.873,0.737,F,0.0664,-5.336,Major,0.0439,164.984,03/4,0.551,Alternative
The 1975,The Sound,1xYrVZWJLihIMTqdSA34TS,AltCluster4,123290,61,0.096,0.643,248880,0.945,7.71e-06,C,0.495,-4.66,Major,0.0779,120.723,04/4,0.526,Alternative
Marilyn Manson,This Is The New S**t,0Zr8z1TgQl27P3qYqQltG2,AltCluster5,216193,53,0.00106,0.573,259667,0.865,0.00469,D,0.116,-6.097,Major,0.104,178.115,04/4,0.616,Alternative
Aranda,Don't Wake Me,1ReFDhIzzlYecxK2vkkDz7,AltCluster2,119972,41,3.87e-05,0.511,250556,0.886,2.09e-05,F#,0.126,-4.993,Minor,0.0507,116.302,04/4,0.335,Alternative
Eve 6,Here's to the Night,6OGdCwMZiXxZYwTEN2wMTp,AltCluster2,23678,54,0.0405,0.583,249840,0.652,0.000378,G,0.0781,-6.255,Major,0.0244,119.303,04/4,0.352,Alternative
Bryce Fox,SAD!,61cvDWMweVzJWlaj6sWwSl,AltCluster3,213743,45,0.377,0.509,172027,0.501,0.00872063,G#,0.0936,-7.503,Major,0.0556,116.185,04/4,0.5,Alternative
