Selected,artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,Nicki Minaj,Bed (feat. Ariana Grande),5k0cYQMQ8YKxJVp34DN49L,Pop_Cluster6,173589,77.000,0.0348,0.757,189533.000,0.73,6.17e-05,G,0.136,-6.304,Major,0.187,90.013,04/4,0.451,Pop
No,Hailee Steinfeld,Hell Nos And Headphones,60NJCs5aW9t957nuVa3Aqc,Pop_Cluster5,99177,62.000,0.0131,0.706,212344.000,0.562,0.0120173,A#,0.0974,-6.867,Major,0.0547,102.987,04/4,0.492,Pop
No,A$AP Mob,Frat Rules,6dS5dbyAXpCStP3AU0J3dI,Pop_Cluster3,183071,62.000,0.181,0.635,218947.000,0.777,0.0394931,C#,0.357,-6.018,Major,0.231,128.09,04/4,0.177,Pop
No,empty_field,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",10HaEOFedMLFE2I7e9a2QY,Pop_Cluster6,144761,82.000,0.165,0.792,214394.000,0.895,0.0221184,C#,0.0501,-3.112,Minor,0.0589,94.968,04/4,0.794,Pop
No,Brothers Osborne,I Don't Remember Me (Before You),2As7I7LdFjWSupvAP8b1iX,Pop_Cluster5,200206,64.000,0.104,0.614,214034.000,0.614,3.59e-05,E,0.104,-7.497,Minor,0.0314,118.565,04/4,0.598,Pop
No,SZA,Garden (Say It Like Dat),0wsJLHodMH1rVpVcKaharX,Pop_Cluster1,97380,72.000,0.0705,0.727,209687.000,0.456,0.0120173,A,0.124,-7.26,Major,0.285,111.331,04/4,0.548,Pop
No,Saweetie,Up Now (feat. G-Eazy and Rich The Kid),5gW5dSy3vXJxgzma4rQuzH,Pop_Cluster5,111633,67.000,0.00294,0.956,198088.000,0.544,0.00635387,C#,0.104,-6.41,Major,0.0822,118.717,04/4,0.127,Pop
No,Good Charlotte,Girls & Boys,4o5006M93XpOX3u3gXpCtR,Pop_Cluster3,137661,62.000,0.00212,0.663,183493.000,0.72,0.00714132,D#,0.358,-5.497,Major,0.0331,135.342,04/4,0.608,Pop
No,Witt Lowry,Blood in the Water,45QAbhiq5ibQbFnWVS7TJH,Pop_Cluster1,41415,58.000,0.423,0.544,213333.000,0.793,3.82e-05,C,0.0904,-6.453,Minor,0.246,98.343,03/4,0.339,Pop
No,Dillon Francis,Say Less,3f9Vq2NkEErxgbToSAztFD,Pop_Cluster3,87973,64.000,0.101,0.681,204699.000,0.925,1.7e-05,G#,0.343,-5.436,Major,0.209,135.953,04/4,0.646,Pop
No,Alta Consigna,Te Deseo Lo Mejor,1NlWBpNYAnFT7gMGyC0Y1M,Pop_Cluster4,169498,63.000,0.755,0.726,155513.000,0.294,0.400039,A,0.157,-6.491,Major,0.0331,89.9,03/4,0.786,Pop
No,Chris Janson,Good Vibes,0ROpCHlrI1zAutGN7xQy5u,Pop_Cluster6,204390,60.000,0.022,0.582,165587.000,0.846,0.0140721,C,0.133,-2.771,Major,0.0451,92.004,04/4,0.736,Pop
No,The Weeknd,Angel,2JhRP7C1gNMRp7gC2YlTOq,Pop_Cluster5,153874,65.000,0.105,0.626,377347.000,0.583,0.00761893,A#,0.115,-7.574,Minor,0.0435,127.956,04/4,0.335,Pop
No,Futuristic,Sub Me In,5KsxQocMfAqYf2kIeyxn1D,Pop_Cluster3,142789,59.000,0.177,0.67,218445.000,0.868,0.00497783,A#,0.666,-6.738,Minor,0.202,140.236,04/4,0.679,Pop
No,empty_field,PMW (All I Really Need) (feat. ScHoolboy Q),0wokCRaKD0zPNhMRXAgVsr,Pop_Cluster2,212971,62.000,0.000361,0.705,203130.000,0.747,0.0122453,C#,0.311,-4.542,Major,0.0484,129.973,04/4,0.29,Pop
No,Beyoncé,I Was Here,0hEu09lOLIM9zsbjRzLbhc,Pop_Cluster5,69688,62.000,0.431,0.51,239213.000,0.627,0.0560864,G,0.0927,-6.59,Major,0.0336,110.992,03/4,0.234,Pop
No,Lil Uzi Vert,Dark Queen,4sNG6zQBmtq7M8aeeKJRMQ,Pop_Cluster1,76616,76.000,0.222,0.747,173419.000,0.606,0.0140721,E,0.281,-5.286,Major,0.172,155.055,04/4,0.2,Pop
No,Kodak Black,No Flockin,4PcjK73ksojX0Gnc22DtQq,Pop_Cluster6,73682,72.000,0.0673,0.943,165291.000,0.595,0.0140721,F,0.0839,-8.372,Minor,0.191,117.532,04/4,0.815,Pop
