artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
empty_field,La Familia,2LQwuRI1h4Q4qk4HzK9zE2,Hip-Hop_Cluster5,77331,49,0.099,0.823,159232,0.651,0.0271977,C#,0.121,-5.313,Major,0.483,179.98,04/4,0.123,Hip-Hop
UGK,Int'l Players Anthem (I Choose You),5e574bhjycX1eH2l4Auage,Hip-Hop_Cluster7,67639,61,0.0598,0.697,258987,0.681,0.00489568,E,0.301,-5.084,Minor,0.219,77.847,04/4,0.82,Hip-Hop
Rick Ross,Push It,0fTx5ET8US1Bh33OBFeugm,Hip-Hop_Cluster1,23717,60,0.246,0.665,208600,0.779,0.0179686,G,0.364,-7.085,Major,0.258,150.952,04/4,0.75,Hip-Hop
Hopsin,Sag My Pants,2gNfxysfBRfl9Lvi9T3v6R,Hip-Hop_Cluster5,56966,59,0.171,0.871,224285,0.567,0.00669366,D,0.0551,-9.264,Major,0.364,97.422,04/4,0.794,Hip-Hop
Wifisfuneral,Movin Slow,1p8wRophmB7ZjQgJHee04Y,Hip-Hop_Cluster7,109279,50,0.279,0.718,136000,0.86,0.0234238,F,0.159,-5.735,Minor,0.221,90.043,04/4,0.789,Hip-Hop
empty_field,Cake,0XDtKP1xoGUDvdccIHezsf,Hip-Hop_Cluster7,99916,65,0.372,0.775,211862,0.539,8.11e-06,F,0.225,-4.303,Major,0.0881,144.966,04/4,0.624,Hip-Hop
Rick Ross,Stay Schemin,6QgPBFvt3r9LeZDL5YsgJO,Hip-Hop_Cluster3,89451,64,0.0769,0.558,267720,0.733,0.0271977,G,0.18,-4.194,Minor,0.212,162.214,04/4,0.301,Hip-Hop
Nas,Cops Shot The Kid,2RqZFOLOnzVmHUX7ZMcaES,Hip-Hop_Cluster1,123848,58,0.0264,0.442,273726,0.71,0.0011715,G,0.618,-5.142,Major,0.684,205.116,04/4,0.508,Hip-Hop
Gucci Mane,St. Brick Intro,3SkGfmrjF6zMh46pwGZb6t,Hip-Hop_Cluster5,29020,53,0.338,0.796,145147,0.597,0.0179686,C,0.212,-6.907,Minor,0.387,149.94,04/4,0.416,Hip-Hop
Eazy-E,Ole School Shit,3AzQU9PUcGe9wLERQpDXQA,Hip-Hop_Cluster7,20282,56,0.00132,0.787,242107,0.671,0.00633329,C#,0.0783,-5.308,Minor,0.0906,81.897,04/4,0.637,Hip-Hop
Childish Gambino,Feels Like Summer,5qW6ZYct54PhKliCntyxRX,Hip-Hop_Cluster6,143012,76,0.162,0.554,297404,0.596,0.00482,G,0.0805,-8.214,Major,0.13,165.728,04/4,0.255,Hip-Hop
empty_field,HOTTIE,3VSuWxZM6x6V3ig5nYtikL,Hip-Hop_Cluster7,21528,62,0.163,0.856,197148,0.712,0.0312,C#,0.123,-6.355,Minor,0.0621,90.7043,04/4,0.774,Hip-Hop
The Game,Wouldn't Get Far,24Pi0KCtYWtnKxxzopkcPG,Hip-Hop_Cluster3,116800,57,0.152,0.439,251040,0.756,0.0234238,E,0.412,-5.341,Minor,0.289,94.188,04/4,0.686,Hip-Hop
A$AP Rocky,Bad Company (feat. BlocBoy JB),3kk1Zk2v1ParXC0dxfG0x7,Hip-Hop_Cluster5,207084,69,0.0679,0.901,183809,0.529,0.0179686,G#,0.536,-7.94,Major,0.413,144.941,04/4,0.343,Hip-Hop
REASON,Drive Slow / Taste Like Heaven,1r5JnD5hiJrViG0DUG02Jv,Hip-Hop_Cluster3,213813,54,0.146,0.576,281656,0.697,0.0171277,D,0.113,-7.921,Major,0.393,102.706,04/4,0.573,Hip-Hop
Robb Bank$,Bad Vibes Forever,786h4kDeZiX5nYvOwA3wtE,Hip-Hop_Cluster2,141544,51,0.655,0.78,219481,0.654,0.0169427,F,0.128,-7.104,Minor,0.154,128.048,04/4,0.528,Hip-Hop
Trey Songz,Foreign,03ThZweiBWFP8tOGsk6QMO,Hip-Hop_Cluster7,177011,56,0.0254,0.749,249000,0.643,0.0108921,F,0.101,-7.424,Minor,0.114,123.92,04/4,0.651,Hip-Hop
Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",0omH6Dbw21O4Hw46cTbMBF,Hip-Hop_Cluster7,172413,59,0.061,0.787,215037,0.743,0.0174378,C#,0.294,-4.206,Major,0.0642,122.614,04/4,0.454,Hip-Hop
Eminem,So Bad,3IpG4SvqxHmbZslvDSIIZP,Hip-Hop_Cluster7,72074,62,0.304,0.773,325347,0.811,0.00622436,C#,0.174,0.496,Major,0.0882,81.037,04/4,0.774,Hip-Hop
empty_field,Overdose,7dUdMZqfGSIt0ZkmTOgRLA,Hip-Hop_Cluster1,175440,65,0.0382,0.731,212775,0.706,2.41e-05,C#,0.636,-4.958,Major,0.417,153.074,04/4,0.384,Hip-Hop
empty_field,1999 WILDFIRE,0c4ThdRTb9wxMM2RmF4Bs9,Hip-Hop_Cluster7,214431,72,0.253,0.811,251250,0.57,0.00752491,F,0.148,-8.093,Major,0.129,128.066,04/4,0.814,Hip-Hop
empty_field,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",44ROJAxh2jBDQpxgMMIiCC,Hip-Hop_Cluster2,79365,57,0.405,0.512,217729,0.427,0.0837,A,0.0976,-7.338,Minor,0.0277,75.027,04/4,0.191,Hip-Hop
empty_field,The Enemy (feat. Fat Joe),0Dn7ypkeVKkHKAc56R6cqq,Hip-Hop_Cluster1,144191,51,0.115,0.6,168013,0.649,0.00019,B,0.824,-8.372,Major,0.393,124.8,04/4,0.877,Hip-Hop
Pav Dharia,Na Ja,1NjmSXMzvwoM3lHmDRcUfs,Hip-Hop_Cluster7,61146,57,0.0724,0.772,215871,0.649,0.0234238,D,0.0761,-6.411,Major,0.143,90.072,04/4,0.824,Hip-Hop
Futuristic,Fire,5cnfVkmhKwMuTys0glblGB,Hip-Hop_Cluster2,197374,47,0.447,0.523,163721,0.406,0.0170349,F#,0.184,-12.131,Major,0.4,104.179,04/4,0.539,Hip-Hop
Lecrae,8:28,7zEd2XKRtKi1nJgcajw7k7,Hip-Hop_Cluster3,187971,52,0.0996,0.609,189880,0.682,0.0160973,B,0.366,-6.611,Major,0.395,134.253,04/4,0.337,Hip-Hop
SZA,Normal Girl,6HGItOXLBf7TZDXj0Qh0S4,Hip-Hop_Cluster2,217297,66,0.269,0.622,253587,0.532,5.37e-05,C,0.158,-7.143,Major,0.128,76.459,04/4,0.364,Hip-Hop
Kendrick Lamar,Compton,4kwOQa2qMYWv5zmOfg8b75,Hip-Hop_Cluster3,200603,54,0.0815,0.342,248093,0.907,0.0271977,C#,0.383,-4.432,Minor,0.415,170.38,04/4,0.225,Hip-Hop
NF,Wake Up,7xVLFuuYdAvcTfcP3IG3dS,Hip-Hop_Cluster6,212460,63,0.0789,0.682,232960,0.799,7.1e-06,F#,0.107,-6.16,Major,0.0718,105.021,04/4,0.038,Hip-Hop
Lil Yachty,Next Up,6x4U13VRFIvBIdHdjWJVyh,Hip-Hop_Cluster6,144613,52,0.279,0.883,197531,0.73,0.00235,C,0.144,-5.296,Major,0.219,145.859,04/4,0.34,Hip-Hop
PnB Rock,Selfish,5o9VWgXFWtjPE4RWNVK0xO,Hip-Hop_Cluster6,88693,74,0.114,0.638,245604,0.6,0.0114647,C#,0.187,-5.84,Minor,0.0438,101.981,04/4,0.0399,Hip-Hop
empty_field,Bowser,47StfXJOnGLhYfMEWgoTiX,Hip-Hop_Cluster6,99852,66,0.309,0.8,187654,0.491,0.023237,A#,0.332,-8.293,Minor,0.0468,135.008,04/4,0.425,Hip-Hop
Smokepurpp,Glock In My Benz,1jpwxxZlmAE1jr3Kbo81aw,Hip-Hop_Cluster6,60983,63,0.00613,0.691,201721,0.715,0.0068611,G#,0.0368,-7.215,Major,0.0589,77.223,04/4,0.465,Hip-Hop
Isaiah Rashad,Ronnie Drake (feat. SZA),2dVmgM3Z1kzSjpb3pAJKiF,Hip-Hop_Cluster3,165294,55,0.356,0.482,269324,0.779,0.0179686,G#,0.173,-4.875,Minor,0.27,154.335,04/4,0.835,Hip-Hop
empty_field,Things Done Changed,4o6ZuLYr04LqFQNiSGVK4u,Hip-Hop_Cluster6,178685,54,0.0244,0.742,238107,0.63,2.77e-06,C#,0.0716,-6.95,Major,0.254,90.905,04/4,0.123,Hip-Hop
