artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Britney Spears,Boys,2mdo8oOTkAicfFOGl400dW,RB_Cluster4,213909,51,0.0245,0.9,206960,0.693,0.00278,B,0.04,-3.989,Minor,0.0751,107.021,04/4,0.864,R&B
Gallant,Cave Me In,6V89K6pllLbcRfjUGFIFhP,RB_Cluster4,157639,56,0.346,0.689,214159,0.512,2.07e-06,C#,0.106,-6.206,Major,0.0509,90.091,04/4,0.619,R&B
B2K,"Bump, Bump, Bump (feat. P. Diddy)",6tS9ZRbFnZXVztw11VCRZo,RB_Cluster4,179283,43,0.107,0.838,221784,0.661,0.0403497,C#,0.115,-6.387,Minor,0.196,95.493,04/4,0.887,R&B
Kirk Franklin,Melodies From Heaven,6TEiFwaiHERpdfG6WnGed1,RB_Cluster2,171085,43,0.028,0.29,274880,0.835,0.0483391,C,0.976,-7.134,Major,0.263,172.584,04/4,0.473,R&B
KAYTRANADA,LITE SPOTS,5PUr1HAQlDD7RlbILdu37Q,RB_Cluster7,132647,55,0.0342,0.884,230920,0.549,0.0724,C#,0.112,-11.683,Major,0.471,120.462,04/4,0.394,R&B
Kelly Clarkson,It's Quiet Uptown,5snjCnuaefsNK48q6yR1Hy,RB_Cluster1,207310,51,0.497,0.732,277880,0.456,0.0483391,A#,0.176,-8.849,Major,0.0404,127.959,04/4,0.338,R&B
offonoff,gold (Feat. Dean),6iKnzmeyi2Ki3UMrO1b2x8,RB_Cluster4,82158,56,0.57,0.883,221629,0.647,1.05e-06,A#,0.359,-8.2,Minor,0.0799,117.016,04/4,0.729,R&B
Demi Lovato,Old Ways,1iQ5E4z6CJ38dIzvMI9Wdo,RB_Cluster4,156119,51,0.211,0.629,223150,0.699,0.0392154,G,0.249,-6.474,Minor,0.0566,116.476,04/4,0.56,R&B
Zico,Boys And Girls,2LqYpghBcqTdcW2zi5CWWU,RB_Cluster4,209223,49,0.0399,0.815,200170,0.75,0.0339589,C#,0.0553,-3.029,Major,0.0581,103.037,04/4,0.614,R&B
Mariah Carey,Underneath the Stars,6nqAD8ch0ZUUFojMFf2xdT,RB_Cluster6,73170,50,0.59,0.607,239711,0.403,0.0397679,G,0.233,-11.464,Major,0.0514,79.093,04/4,0.485,R&B
Keri Hilson,Turnin Me On - Original Clean,0xmtSOofR05Lu0ggb5lZ7X,RB_Cluster1,74961,47,0.00329,0.67,247800,0.582,3.67e-06,C#,0.174,-4.767,Major,0.0672,126.644,04/4,0.0942,R&B
Fantasia,Lose to Win,30RQ21NOZGPBvue0cSX5De,RB_Cluster1,91620,44,0.0112,0.718,252173,0.7,0.0483391,G#,0.0716,-5.795,Major,0.0497,102.501,04/4,0.468,R&B
Trey Songz,1x1,1ntaQ5nSrrbJwEuwAAbHiY,RB_Cluster1,122742,60,0.0277,0.493,221784,0.584,0.0400199,A,0.191,-6.906,Minor,0.167,103.701,04/4,0.485,R&B
Tamar Braxton,My Forever,59myyLZ02e3U7nREwtSzNQ,RB_Cluster1,78284,41,0.38,0.55,242518,0.497,0.0407203,C#,0.071,-4.755,Major,0.0267,79.92,04/4,0.243,R&B
James Morrison,Cross The Line,1h1CvW9MnYcR70n6yE5ttO,RB_Cluster1,162819,36,0.403,0.489,179867,0.542,0.0273249,E,0.109,-6.914,Major,0.0649,82.235,04/4,0.35,R&B
Puma Blue,Bruise Cruise,1IJvO4FVyfi7SenbjCwJ26,RB_Cluster1,122844,47,0.165,0.639,224843,0.377,0.094,C#,0.105,-9.206,Minor,0.101,126.228,04/4,0.209,R&B
Jason Derulo,Pull-Up,7M0foCLKTGY2MMeFKDG3qb,RB_Cluster3,115283,55,0.00258,0.643,227045,0.759,2.63e-06,C#,0.0611,-4.693,Major,0.155,191.955,04/4,0.46,R&B
PARTYNEXTDOOR,Her Way,2GJ5631qcVmnbkYhUw1bBW,RB_Cluster1,87584,55,0.0544,0.545,216631,0.487,0.000885,C#,0.0872,-9.529,Major,0.0285,111.317,04/4,0.119,R&B
Jungle,Beat 54 - Krystal Klear Edit,3owqZpHBjXT1GKbztg0kad,RB_Cluster4,77040,47,0.0101,0.597,221629,0.758,0.0025,B,0.0409,-8.362,Minor,0.0355,115.019,04/4,0.819,R&B
empty_field,Meant To Be,6AEYJSl89zOrlcta65d5y5,RB_Cluster4,41140,48,0.0616,0.756,178193,0.513,0.000272,E,0.107,-4.865,Minor,0.122,109.986,04/4,0.439,R&B
Swizz Beatz,Echo,1XAzFYJR94m9T4AgshhO99,RB_Cluster4,146134,57,0.711,0.598,221433,0.785,0.0393627,A#,0.115,-3.488,Major,0.29,116.33,04/4,0.824,R&B
Kelly Rowland,Like This,0I6rPjtBatbnqWzqvQhvp4,RB_Cluster3,144707,59,0.00193,0.676,215853,0.73,0.0487848,C#,0.0627,-5.963,Major,0.267,178.117,04/4,0.489,R&B
Chris Brown,Blow It In The Wind,4A0oWrQgI2LwEcCJWqaoLC,RB_Cluster1,49116,50,0.0522,0.394,248573,0.594,0.0483391,G#,0.109,-7.651,Major,0.202,79.544,01/4,0.297,R&B
empty_field,Como Si Na,5MxNLUsfh7uzROypsoO5qe,RB_Cluster4,141157,52,0.232,0.705,170998,0.778,0.0234103,A,0.244,-4.101,Minor,0.177,160.099,04/4,0.709,R&B
SoMo,Play,7aOVFIT7QBGM2tAkW5se7u,RB_Cluster4,182820,52,0.0572,0.687,188573,0.644,0.0162575,D,0.119,-6.46,Minor,0.0463,115.074,04/4,0.444,R&B
Jay Prince,I Believe in You,58AI9A9gPNKKZniAfyX39q,RB_Cluster7,66142,46,0.61,0.771,286364,0.631,0.0483391,C,0.308,-5.58,Minor,0.311,88.002,04/4,0.882,R&B
Mick Jenkins,Healer,4D61qXYCY7mVzo0QQm5ehd,RB_Cluster6,159533,49,0.371,0.536,237525,0.406,0.0404663,A,0.113,-11.596,Major,0.129,119.923,04/4,0.0887,R&B
Sade,The Sweetest Taboo,1dlCquFJLbIftz0BIUJkh2,RB_Cluster4,29806,60,0.128,0.752,277153,0.824,0.0103,A#,0.306,-9.455,Minor,0.0447,91.563,04/4,0.961,R&B
empty_field,One Man Can Change The World,3R9RSIkgkZXrIgmBHGemlV,RB_Cluster3,31751,63,0.773,0.677,254627,0.579,0.0483391,G#,0.11,-6.665,Minor,0.16,157.967,04/4,0.312,R&B
Changing Faces,Stroke You Up,7v9qEzfnEuJDjBg8B7GppL,RB_Cluster4,62422,48,0.278,0.73,216546,0.731,0.0487848,D#,0.258,-3.438,Minor,0.0279,131.396,04/4,0.649,R&B
Noname,Yesterday,5Rde8eWptlJrh6hL2jIrfD,RB_Cluster7,208340,56,0.488,0.464,189510,0.539,0.00022,F,0.063,-8.701,Major,0.394,173.661,04/4,0.473,R&B
VanJess,Control Me,05l7cyJvL9OTmwnRTFjYQ9,RB_Cluster1,103780,49,0.00294,0.737,213324,0.521,9.14e-06,C#,0.0897,-7.365,Minor,0.0857,100.043,04/4,0.316,R&B
Alina Baraz,Electric (Marian Hill Remix),4bMIRaesSZwIldFWCGs96S,RB_Cluster6,207441,54,0.652,0.682,248649,0.406,0.00814,C#,0.0863,-9.442,Major,0.0663,110.998,04/4,0.156,R&B
Chris Brown,Lost & Found,5Qxd50grOVVHgoEWqHeCor,RB_Cluster6,200294,51,0.652,0.483,241778,0.532,0.0358318,F#,0.123,-8.012,Minor,0.078,134.799,04/4,0.668,R&B
empty_field,Who's Got You Singing Again,161pnfRpiTTMZC1NWmjwh4,RB_Cluster1,105459,62,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,117.999,04/4,0.481,R&B
Zara Larsson,Don't Let Me Be Yours,4cVaChIHbLyKY9WnCeOjN2,RB_Cluster1,180800,57,0.198,0.792,199053,0.428,0.0339589,E,0.15,-6.931,Major,0.0671,112.744,04/4,0.499,R&B
FKA twigs,Give Up,1Rm9HY2oV8hRECzb8FypF0,RB_Cluster1,83264,40,0.032,0.665,257560,0.55,0.00183,A,0.185,-9.321,Minor,0.0498,110.024,04/4,0.471,R&B
Kehlani,Be Alright,2XTkpF9T2PKvcLgamGJGx1,RB_Cluster1,26988,51,0.489,0.546,174618,0.669,0.053256,A,0.11,-6.004,Major,0.0584,100.037,04/4,0.4,R&B
The Weeknd,Valerie,23uNWyl5lh5PxWJpWNikHR,RB_Cluster3,153445,62,0.346,0.641,286680,0.539,7.04e-06,F,0.0837,-6.351,Minor,0.0463,148.004,04/4,0.436,R&B
Kehlani,24-Jul,6FsyFlkeDUXDAGn3QPhIkW,RB_Cluster1,181852,52,0.261,0.662,182257,0.532,0.0493887,F,0.0741,-7.407,Major,0.0534,92.048,04/4,0.397,R&B
Tweet,Oops (Oh My) (feat. Missy Elliott),2lyJ2UmdPlPr6KandG2Y0s,RB_Cluster7,67064,60,0.233,0.66,223180,0.536,0.00669,A#,0.111,-8.786,Minor,0.29,112.128,04/4,0.775,R&B
empty_field,Sink or Swim,3I0DgKmo6ZFBf49gXBhGWD,RB_Cluster4,60931,45,0.473,0.743,218947,0.856,0.000279,F,0.0986,-7.352,Major,0.153,113.987,04/4,0.496,R&B
Miguel,Remember Me (Dúo),1zuGHW5axtzu3NNrEr4vvY,RB_Cluster2,188375,66,0.426,0.612,164453,0.548,0.0645876,C,0.502,-6.71,Major,0.0351,84.991,04/4,0.617,R&B
Blu Cantrell,Breathe - Rap Version,6NK6BSGwtmJ1HTOCYRWslQ,RB_Cluster4,201174,47,0.048,0.8,202798,0.663,0.0403408,D,0.252,-3.832,Major,0.0324,91.934,04/4,0.472,R&B
702,I Still Love You,31ld5ZzpjCvSyaUMSCMUWX,RB_Cluster1,190269,43,0.0781,0.648,287013,0.752,3.24e-05,C,0.253,-5.685,Major,0.0514,87.004,04/4,0.488,R&B
Maribou State,Glasshouses,5Bgs0KR8B2sujxNhj2yKxE,RB_Cluster5,190001,56,0.637,0.617,224881,0.483,0.763,A,0.0626,-9.54,Major,0.0454,111.692,04/4,0.177,R&B
empty_field,Water Runs Dry,09ZzQ0L2JGm1PHMCcUL9es,RB_Cluster6,35863,52,0.419,0.573,226076,0.377,0.0411004,C,0.142,-12.9,Major,0.0278,111.539,04/4,0.565,R&B
Tyrese,What Am I Gonna Do,6rKFex6HJvVukLa9Ys9hM7,RB_Cluster3,82958,48,0.275,0.69,280000,0.475,0.0483391,A#,0.0951,-4.702,Minor,0.052,145.597,04/4,0.536,R&B
Devvon Terrell,She A Dub,73YofZuIMmCeWVpfhetgCO,RB_Cluster3,199966,54,0.0403,0.618,181463,0.913,0.0493887,C#,0.176,-3.019,Major,0.0338,150.698,04/4,0.437,R&B
T-Pain,Getcha Roll On (feat. Tory Lanez),4jKBjyOdVKfmyauxwW8QUs,RB_Cluster3,130209,44,0.0379,0.717,232079,0.669,0.0487848,A,0.255,-5.605,Minor,0.352,171.105,04/4,0.652,R&B
K. Michelle,A Mother's Prayer,3fVbSiUJ74bkkViuYinWMQ,RB_Cluster6,215372,40,0.695,0.434,237840,0.31,0.0358318,B,0.115,-8.787,Major,0.0327,130.7,04/4,0.332,R&B
Jhene Aiko,Overstimulated,53c1K8iOYxgk9AFtiMvPqJ,RB_Cluster2,147206,52,0.402,0.425,319533,0.506,0.00419,C,0.669,-7.652,Minor,0.0338,89.4111,04/4,0.0807,R&B
empty_field,"Figures, a Reprise",6I98880JN01IPhPQg4Mxsu,RB_Cluster3,68935,65,0.669,0.505,192827,0.408,0.0214083,G,0.0983,-5.572,Major,0.168,171.66,03/4,0.192,R&B
Jonathan McReynolds,Excited,1ry9AyQVzzK2iDt6vMY2ku,RB_Cluster6,137839,44,0.595,0.331,200545,0.359,0.0339589,C#,0.0521,-7.404,Major,0.0307,86.081,04/4,0.381,R&B
Miguel,Come Through and Chill,6QyBDKOK3B7VWddZKs8ehd,RB_Cluster7,53649,73,0.158,0.461,322000,0.653,0.0483391,F#,0.197,-8.617,Major,0.327,100.723,01/4,0.588,R&B
empty_field,Without You,2q95XoeFGixx8b5LNF6Ey1,RB_Cluster6,104344,44,0.91,0.508,326773,0.213,0.000929,C#,0.106,-11.422,Major,0.0502,175.929,04/4,0.0615,R&B
Gwen Stefani,Saw Red,5UJshy5HDHdNEVqlJwzsQB,RB_Cluster4,199870,45,0.00422,0.527,118693,0.825,0.166,F,0.118,-6.533,Major,0.113,108.859,04/4,0.869,R&B
Miguel,Kaleidoscope Dream,0ikbufjXAgnd0OdhCjEBB3,RB_Cluster1,169427,45,0.00715,0.645,210098,0.481,1.16e-05,C,0.0978,-10.442,Minor,0.0579,84.967,04/4,0.519,R&B
