artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster
Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K. 384, Act II: Durch Zärtlichkeit und Schmeicheln",4uYqe6JOHty9Eu50ukMV3G,201462,17,0.966,0.378,162173,0.0385,0.569038,A,0.406,-27.698,Major,0.0564,121.058,04-Apr,0.324,Classical,Class2
Johann Strauss II,"On the Beautiful Blue Danube, Op. 314",1TVd8FHpeg1Afa92kaO0kR,116499,32,0.974,0.311,351107,0.184,0.79,D,0.0669,-14.405,Major,0.0307,96.141,04-Apr,0.26,Classical,Class6
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. I, Scène II & III - Ronde de paysans. ""Les bergers laissent ... Mais d'un éclat guerrier""",24IWuJjweYxZHNcIqig2ri,209360,36.4435,0.98,0.277,264013,0.154,0.0287,D,0.719,-26.829,Major,0.0631,82.149,03-Apr,0.324,Classical,Class2
Johann Sebastian Bach,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",3PhgLgizo2xXv288dD41RH,76105,35,0.961,0.612,344840,0.372,0.702,G,0.107,-14.594,Major,0.052,97.573,04-Apr,0.804,Classical,Class7
Niccolò Paganini,Cantabile,6mImezl7AV8V7JtkY59veA,98659,43,0.911,0.185,314247,0.0337,0.00226,A,0.096,-29.674,Major,0.0431,91.333,03-Apr,0.0463,Classical,Class3
Bedřich Smetana,"The Bartered Bride, JB 1:100, B. 131: Act I Scene 5: Introduction: Polka - Take your partners for the polka (Chorus)",4WItPkM5wybsLwmhyFvJiJ,66849,33,0.865,0.421,280080,0.26,0.0303,C,0.0919,-17.909,Major,0.0354,103.026,04-Apr,0.479,Classical,Class7
Jonny Greenwood,For the Hungry Boy,2q95XoeFGixx8b5LNF6Ey1,128994,40,0.839,0.165,369482,0.149,0.87,C,0.113,-16.404,Major,0.0389,86.081,04-Apr,0.053,Classical,Class6
Daníel Bjarnason,Over Light Earth I. Over Light Earth,4dPTHF7N8S9jM1xIHyF2W8,215249,30,0.614,0.1,366730,0.183,0.629,G,0.105,-18.615,Major,0.0409,73.549,03-Apr,0.0334,Classical,Class1
empty_field,A Knife in the Dark,71rcvcZWR31Msh0l4Gnr8W,103681,51,0.9,0.119,193887,0.369,0.784,A#,0.14,-15.537,Major,0.0529,75.039,05-Apr,0.0431,Classical,Class1
Ludwig van Beethoven,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato (Live)",2YAOVD6TLVaHmCGATiZvhn,120856,21,0.975,0.0606,369482,0.0322,0.827,A#,0.0953,-29.047,Major,0.0379,64.428,04-Apr,0.064,Classical,Class1
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène VI - Chanson de Méphistophélès. ""Une puce gentille""",4njERPXVhrBb3OQyW1dIYZ,196948,32.599,0.952,0.449,90453,0.186,0.55735,F,0.664,-22.082,Major,0.161,163.636,03-Apr,0.629,Classical,Class2
empty_field,"Má vlast (My Country): No. 1, Vyšehrad",5XOstrokznSLNZtDomATss,184293,29,0.929,0.176,749225,0.0325,0.895,D#,0.132,-22.866,Major,0.0387,103.136,03-Apr,0.039,Classical,Class6
Michael Haydn,"Missa Tempore Quadragesimae, MH 553: Agnus Dei",1nMNUr0WZiqTzqfP57k2SK,207632,32,0.988,0.225,203133,0.0863,0.0654,F#,0.108,-19.298,Minor,0.0465,108.564,04-Apr,0.0393,Classical,Class3
