artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
empty_field,La Familia,2LQwuRI1h4Q4qk4HzK9zE2,77331,49,0.099,0.823,159232,0.651,0.0318604,C#,0.121,-5.313,Major,0.483,179.98,04/4,0.123,Hip-Hop,A1,-4.07877,-28.2139,1
UGK,Int'l Players Anthem (I Choose You),5e574bhjycX1eH2l4Auage,67639,61,0.0598,0.697,258987,0.681,0.0318604,E,0.301,-5.084,Minor,0.219,77.847,04/4,0.82,Hip-Hop,A2,-33.3177,53.0295,1
Rick Ross,Push It,0fTx5ET8US1Bh33OBFeugm,23717,60,0.246,0.665,208600,0.779,0.0318604,G,0.364,-7.085,Major,0.258,150.952,04/4,0.75,Hip-Hop,A1,-41.9368,-15.5396,1
Hopsin,Sag My Pants,2gNfxysfBRfl9Lvi9T3v6R,56966,59,0.171,0.871,221062,0.567,0.0318604,D,0.0551,-9.264,Major,0.364,97.422,04/4,0.794,Hip-Hop,A1,9.47357,-69.6874,1
Pitbull,Messin' Around,3J3ZYcVPvgoaJanat6bU9P,143884,56,0.0157,0.576,223265,0.807,0.0318604,D,0.0338,-4.602,Major,0.0454,120.39,04/4,0.765,Hip-Hop,A1,14.6813,-69.7649,1
Wifisfuneral,Movin Slow,1p8wRophmB7ZjQgJHee04Y,109279,50,0.279,0.718,136000,0.86,0.0318604,F,0.159,-5.735,Minor,0.221,90.043,04/4,0.789,Hip-Hop,A1,26.6207,62.8961,1
empty_field,Cake,0XDtKP1xoGUDvdccIHezsf,99916,65,0.372,0.775,211862,0.539,8.11e-06,F,0.225,-4.303,Major,0.0881,144.966,04/4,0.624,Hip-Hop,A1,16.852,50.8012,1
Rick Ross,Stay Schemin,6QgPBFvt3r9LeZDL5YsgJO,89451,64,0.0769,0.558,267720,0.733,0.0318604,G,0.18,-4.194,Minor,0.212,162.214,04/4,0.301,Hip-Hop,A1,-60.8921,-24.1202,1
Nas,Cops Shot The Kid,2RqZFOLOnzVmHUX7ZMcaES,123848,58,0.0264,0.442,221062,0.71,0.0318604,G,0.618,-5.142,Major,0.684,205.116,04/4,0.508,Hip-Hop,A1,-40.1512,-16.8362,1
Gucci Mane,St. Brick Intro,3SkGfmrjF6zMh46pwGZb6t,29020,53,0.338,0.796,145147,0.597,0.0318604,C,0.212,-6.907,Minor,0.387,149.94,04/4,0.416,Hip-Hop,A1,59.4952,-23.9699,1
Eazy-E,Ole School Shit,3AzQU9PUcGe9wLERQpDXQA,20282,56,0.00132,0.787,242107,0.671,0.0318604,C#,0.0783,-5.308,Minor,0.0906,81.897,04/4,0.637,Hip-Hop,A1,-34.0107,-46.6365,1
Childish Gambino,Feels Like Summer,5qW6ZYct54PhKliCntyxRX,143012,76,0.162,0.554,297404,0.596,0.00482,G,0.0805,-8.214,Major,0.13,165.728,04/4,0.255,Hip-Hop,A1,-44.5111,-18.7947,1
empty_field,HOTTIE,3VSuWxZM6x6V3ig5nYtikL,21528,62,0.163,0.856,197148,0.712,0.0312,C#,0.123,-6.355,Minor,0.0621,120.39,04/4,0.774,Hip-Hop,A1,-34.6464,-47.2224,1
The Game,Wouldn't Get Far,24Pi0KCtYWtnKxxzopkcPG,116800,57,0.152,0.439,251040,0.756,0.0318604,E,0.412,-5.341,Minor,0.289,94.188,04/4,0.686,Hip-Hop,A2,-32.9199,54.817,1
A$AP Rocky,Bad Company (feat. BlocBoy JB),3kk1Zk2v1ParXC0dxfG0x7,207084,69,0.0679,0.901,183809,0.529,0.0318604,G#,0.536,-7.94,Major,0.413,144.941,04/4,0.343,Hip-Hop,A1,26.8993,-3.10941,1
REASON,Drive Slow / Taste Like Heaven,1r5JnD5hiJrViG0DUG02Jv,213813,54,0.146,0.576,281656,0.697,0.0318604,D,0.113,-7.921,Major,0.393,120.39,04/4,0.573,Hip-Hop,A1,10.6731,-73.2495,1
Robb Bank$,Bad Vibes Forever,786h4kDeZiX5nYvOwA3wtE,141544,51,0.655,0.78,219481,0.654,0.0318604,F,0.128,-7.104,Minor,0.154,120.39,04/4,0.528,Hip-Hop,A1,19.5752,61.9496,1
Trey Songz,Foreign,03ThZweiBWFP8tOGsk6QMO,177011,56,0.0254,0.749,249000,0.643,0.0318604,F,0.101,-7.424,Minor,0.114,123.92,04/4,0.651,Hip-Hop,A1,23.2371,63.4896,1
Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",0omH6Dbw21O4Hw46cTbMBF,172413,59,0.061,0.787,221062,0.743,0.0318604,C#,0.294,-4.206,Major,0.0642,120.39,04/4,0.454,Hip-Hop,A1,-6.14229,-38.3193,1
Eminem,So Bad,3IpG4SvqxHmbZslvDSIIZP,72074,62,0.304,0.773,325347,0.811,0.0318604,C#,0.174,0.496,Major,0.0882,81.037,04/4,0.774,Hip-Hop,A1,-10.8867,-41.3317,1
empty_field,Overdose,7dUdMZqfGSIt0ZkmTOgRLA,175440,65,0.0382,0.731,221062,0.706,2.41e-05,C#,0.636,-4.958,Major,0.417,153.074,04/4,0.384,Hip-Hop,A1,-16.2295,-44.1544,1
empty_field,1999 WILDFIRE,0c4ThdRTb9wxMM2RmF4Bs9,214431,72,0.253,0.811,251250,0.57,0.0318604,F,0.148,-8.093,Major,0.129,128.066,04/4,0.814,Hip-Hop,A1,15.4613,52.0449,1
empty_field,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",44ROJAxh2jBDQpxgMMIiCC,79365,57,0.405,0.512,221062,0.427,0.0837,A,0.0976,-7.338,Minor,0.0277,75.027,04/4,0.191,Hip-Hop,A1,-9.0613,5.77565,1
empty_field,The Enemy (feat. Fat Joe),0Dn7ypkeVKkHKAc56R6cqq,144191,51,0.115,0.6,168013,0.649,0.00019,B,0.824,-8.372,Major,0.393,120.39,04/4,0.877,Hip-Hop,A1,18.8261,24.8452,1
Pav Dharia,Na Ja,1NjmSXMzvwoM3lHmDRcUfs,61146,57,0.0724,0.772,221062,0.649,0.0318604,D,0.0761,-6.411,Major,0.143,90.072,04/4,0.824,Hip-Hop,A1,10.9334,-68.5334,1
Futuristic,Fire,5cnfVkmhKwMuTys0glblGB,197374,47,0.447,0.523,163721,0.406,0.0318604,F#,0.184,-12.131,Major,0.4,120.39,04/4,0.539,Hip-Hop,A1,-56.1059,10.9737,1
Lecrae,8:28,7zEd2XKRtKi1nJgcajw7k7,187971,52,0.0996,0.609,189880,0.682,0.0318604,B,0.366,-6.611,Major,0.395,134.253,04/4,0.337,Hip-Hop,A1,14.4657,24.6149,1
SZA,Normal Girl,6HGItOXLBf7TZDXj0Qh0S4,217297,66,0.269,0.622,253587,0.532,5.37e-05,C,0.158,-7.143,Major,0.128,76.459,04/4,0.364,Hip-Hop,A1,42.1051,-32.2101,1
Kendrick Lamar,Compton,4kwOQa2qMYWv5zmOfg8b75,200603,54,0.0815,0.342,248093,0.907,0.0318604,C#,0.383,-4.432,Minor,0.415,170.38,04/4,0.225,Hip-Hop,A1,-28.0553,-43.1099,1
NF,Wake Up,7xVLFuuYdAvcTfcP3IG3dS,212460,63,0.0789,0.682,232960,0.799,7.1e-06,F#,0.107,-6.16,Major,0.0718,105.021,04/4,0.038,Hip-Hop,A1,-61.0389,8.58301,1
Lil Yachty,Next Up,6x4U13VRFIvBIdHdjWJVyh,144613,52,0.279,0.883,197531,0.73,0.00235,C,0.144,-5.296,Major,0.219,145.859,04/4,0.34,Hip-Hop,A1,40.0139,-34.7832,1
PnB Rock,Selfish,5o9VWgXFWtjPE4RWNVK0xO,88693,74,0.114,0.638,245604,0.6,0.0318604,C#,0.187,-5.84,Minor,0.0438,101.981,04/4,0.0399,Hip-Hop,A1,-32.0484,-49.7706,1
empty_field,Bowser,47StfXJOnGLhYfMEWgoTiX,99852,66,0.309,0.8,187654,0.491,0.0318604,A#,0.332,-8.293,Minor,0.0468,135.008,04/4,0.425,Hip-Hop,A1,-5.03948,39.8044,1
Smokepurpp,Glock In My Benz,1jpwxxZlmAE1jr3Kbo81aw,60983,63,0.00613,0.691,201721,0.715,0.0318604,G#,0.0368,-7.215,Major,0.0589,77.223,04/4,0.465,Hip-Hop,A1,33.3726,0.761711,1
Isaiah Rashad,Ronnie Drake (feat. SZA),2dVmgM3Z1kzSjpb3pAJKiF,165294,55,0.356,0.482,221062,0.779,0.0318604,G#,0.173,-4.875,Minor,0.27,154.335,04/4,0.835,Hip-Hop,A1,9.72894,-7.29027,1
empty_field,Things Done Changed,4o6ZuLYr04LqFQNiSGVK4u,178685,54,0.0244,0.742,238107,0.63,2.77e-06,C#,0.0716,-6.95,Major,0.254,90.905,04/4,0.123,Hip-Hop,A1,-9.81838,-23.9346,1
Wifisfuneral,EA,7D180Q77XAEP7atBLmMTgK,128226,64,0.108,0.527,160000,0.902,0.0318604,F,0.121,-4.423,Minor,0.443,179.928,04/4,0.658,Hip-Hop,A1,27.1536,66.0702,1
Kendrick Lamar,Blow My High (Members Only),5mIZrUsdXWHurOtySefSPf,191739,59,0.316,0.959,215792,0.524,0.0318604,A,0.274,-8.145,Minor,0.274,119.933,04/4,0.84,Hip-Hop,A1,-13.2676,7.16802,1
J. Cole,Rise and Shine,5gAtIDcgLUCQFvulRytLy3,87610,58,0.0551,0.425,274960,0.768,0.0318604,A,0.19,-5.969,Major,0.272,81.337,04/4,0.274,Hip-Hop,A1,-21.8589,13.909,1
Kendrick Lamar,For Free? - Interlude,3WGgTxKaFTNelBxaqhqgid,66615,57,0.588,0.526,130893,0.896,0.0318604,G#,0.37,-4.708,Major,0.197,120.39,01/4,0.745,Hip-Hop,,20.3112,-28.8131,0
Roy Woods,Russian Cream,4BKJwTrdzJNpyEl3njcWki,109813,59,0.0676,0.673,156563,0.514,0.000182,C#,0.0866,-10.078,Major,0.287,184.064,04/4,0.38,Hip-Hop,A1,-6.14941,-29.5254,1
Trina,Here We Go (feat. Kelly Rowland),50lNhPQ15g5L8pCobmZU1o,63877,52,0.624,0.814,230973,0.494,0.0318604,G#,0.0888,-7.167,Major,0.0846,120.39,04/4,0.607,Hip-Hop,A1,37.8158,-5.95744,1
Kid Cudi,Releaser,5tQHlrTLQcn0KmN2uttWNC,199303,50,0.125,0.594,221062,0.434,0.672,D,0.113,-11.097,Minor,0.0294,82.001,04/4,0.141,Hip-Hop,A1,-2.19,-7.21376,0
A$AP Ferg,Dump Dump,1kfrnPViuzKdNwmH21ehLg,95980,55,0.207,0.65,214827,0.638,0.0318604,G#,0.266,-5.94,Major,0.127,134.044,04/4,0.418,Hip-Hop,A1,32.2786,1.4044,1
Smokepurpp,Krispy Kreme,5BM4OgN8Giv7Wi5K8TN02M,168150,55,0.00401,0.799,155704,0.612,0.0318604,C#,0.104,-7.652,Minor,0.245,77.48,04/4,0.68,Hip-Hop,A1,-37.3567,-48.0759,1
