artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Britney Spears,Boys,2mdo8oOTkAicfFOGl400dW,213909,51,0.0245,0.9,206960,0.693,0.00278,B,0.04,-3.989,Minor,0.0751,107.021,04/4,0.864,R&B,R1,31.1212,-53.9878,1
Gallant,Cave Me In,6V89K6pllLbcRfjUGFIFhP,157639,56,0.346,0.689,214159,0.512,2.07e-06,C#,0.106,-6.206,Major,0.0509,90.091,04/4,0.619,R&B,R1,-52.117,-27.2462,1
Musiq Soulchild,Forthenight,4lcNHlZZWpTV5rioov5t8t,77273,39,0.295,0.7,229467,0.673,0.052974,D#,0.204,-7.204,Minor,0.245,101.138,04/4,0.76,R&B,R2,28.195,65.9743,1
B2K,"Bump, Bump, Bump (feat. P. Diddy)",6tS9ZRbFnZXVztw11VCRZo,179283,43,0.107,0.838,224577,0.661,0.052974,C#,0.115,-6.387,Minor,0.196,95.493,04/4,0.887,R&B,R1,-39.0951,-55.5696,1
Kirk Franklin,Melodies From Heaven,6TEiFwaiHERpdfG6WnGed1,171085,43,0.028,0.29,274880,0.835,0.052974,C,0.976,-7.134,Major,0.263,172.584,04/4,0.473,R&B,R1,-55.5353,17.015,1
KAYTRANADA,LITE SPOTS,5PUr1HAQlDD7RlbILdu37Q,132647,55,0.0342,0.884,230920,0.549,0.0724,C#,0.112,-11.683,Major,0.471,120.462,04/4,0.394,R&B,R1,-55.3209,-33.6956,1
Kelly Clarkson,It's Quiet Uptown,5snjCnuaefsNK48q6yR1Hy,207310,51,0.497,0.732,277880,0.456,0.052974,A#,0.176,-8.849,Major,0.0404,127.959,04/4,0.338,R&B,R1,66.3284,-26.4613,1
offonoff,gold (Feat. Dean),6iKnzmeyi2Ki3UMrO1b2x8,82158,56,0.57,0.883,224577,0.647,1.05e-06,A#,0.359,-8.2,Minor,0.0799,117.016,04/4,0.729,R&B,R1,46.7015,-25.3004,1
empty_field,Good side in,1EIdwrjUNFB2qoKj033ABC,110362,44,0.772,0.485,229947,0.509,0.000788,A,0.123,-9.248,Major,0.0356,109.385,04/4,0.395,R&B,R1,0.571548,19.2987,1
empty_field,Tapestry,6yphoCpAnlICXucq8kXnki,88914,48,0.703,0.429,229021,0.353,0.000253,G#,0.106,-9.038,Major,0.0758,111.696,04/4,0.165,R&B,R1,-6.9819,-36.254,1
empty_field,Rap Shit,05mLfhGm0m7KIxtM7KfkhZ,33103,43,0.0296,0.784,151187,0.641,0.052974,G,0.0653,-6.176,Major,0.236,116.179,04/4,0.396,R&B,R1,-18.8714,2.12156,1
Demi Lovato,Old Ways,1iQ5E4z6CJ38dIzvMI9Wdo,156119,51,0.211,0.629,224577,0.699,0.052974,G,0.249,-6.474,Minor,0.0566,116.179,04/4,0.56,R&B,R1,-23.8611,20.5827,1
Zico,Boys And Girls,2LqYpghBcqTdcW2zi5CWWU,209223,49,0.0399,0.815,200170,0.75,0.052974,C#,0.0553,-3.029,Major,0.0581,103.037,04/4,0.614,R&B,R1,-57.3228,-20.2718,1
Mariah Carey,Underneath the Stars,6nqAD8ch0ZUUFojMFf2xdT,73170,50,0.59,0.607,224577,0.403,0.052974,G,0.233,-11.464,Major,0.0514,79.093,04/4,0.485,R&B,R1,-11.6128,6.86643,1
Keri Hilson,Turnin Me On - Original Clean,0xmtSOofR05Lu0ggb5lZ7X,74961,47,0.00329,0.67,247800,0.582,3.67e-06,C#,0.174,-4.767,Major,0.0672,116.179,04/4,0.0942,R&B,R1,-51.2364,-23.0454,1
NIKI,Chilly,5YOoPykalMFlw8ye3qybvX,43229,61,0.617,0.734,230000,0.271,5.27e-06,G,0.101,-11.932,Major,0.382,103.241,03/4,0.237,R&B,R3,4.42103,41.4095,1
Fantasia,Lose to Win,30RQ21NOZGPBvue0cSX5De,91620,44,0.0112,0.718,252173,0.7,0.052974,G#,0.0716,-5.795,Major,0.0497,102.501,04/4,0.468,R&B,R1,-14.4233,-31.8861,1
Trey Songz,1x1,1ntaQ5nSrrbJwEuwAAbHiY,122742,60,0.0277,0.493,224577,0.584,0.052974,A,0.191,-6.906,Minor,0.167,103.701,04/4,0.485,R&B,R1,19.4872,15.879,1
Tamar Braxton,My Forever,59myyLZ02e3U7nREwtSzNQ,78284,41,0.38,0.55,224577,0.497,0.052974,C#,0.071,-4.755,Major,0.0267,79.92,04/4,0.243,R&B,R1,-48.8926,-26.3794,1
James Morrison,Cross The Line,1h1CvW9MnYcR70n6yE5ttO,162819,36,0.403,0.489,179867,0.542,0.052974,E,0.109,-6.914,Major,0.0649,82.235,04/4,0.35,R&B,R1,37.7862,32.6952,1
Puma Blue,Bruise Cruise,1IJvO4FVyfi7SenbjCwJ26,122844,47,0.165,0.639,224577,0.377,0.094,C#,0.105,-9.206,Minor,0.101,126.228,04/4,0.209,R&B,R1,-40.9273,-47.0232,1
Jason Derulo,Pull-Up,7M0foCLKTGY2MMeFKDG3qb,115283,55,0.00258,0.643,224577,0.759,2.63e-06,C#,0.0611,-4.693,Major,0.155,191.955,04/4,0.46,R&B,R1,-61.1871,-23.7774,1
PARTYNEXTDOOR,Her Way,2GJ5631qcVmnbkYhUw1bBW,87584,55,0.0544,0.545,216631,0.487,0.000885,C#,0.0872,-9.529,Major,0.0285,111.317,04/4,0.119,R&B,R1,-47.1357,-26.7777,1
Jungle,Beat 54 - Krystal Klear Edit,3owqZpHBjXT1GKbztg0kad,77040,47,0.0101,0.597,224577,0.758,0.0025,B,0.0409,-8.362,Minor,0.0355,115.019,04/4,0.819,R&B,R1,31.6717,-51.4752,1
empty_field,Meant To Be,6AEYJSl89zOrlcta65d5y5,41140,48,0.0616,0.756,178193,0.513,0.000272,E,0.107,-4.865,Minor,0.122,109.986,04/4,0.439,R&B,R1,50.1112,41.4016,1
Swizz Beatz,Echo,1XAzFYJR94m9T4AgshhO99,146134,57,0.711,0.598,224577,0.785,0.052974,A#,0.115,-3.488,Major,0.29,116.179,04/4,0.824,R&B,R1,65.1083,-23.1966,1
Kelly Rowland,Like This,0I6rPjtBatbnqWzqvQhvp4,144707,59,0.00193,0.676,215853,0.73,0.052974,C#,0.0627,-5.963,Major,0.267,178.117,04/4,0.489,R&B,R1,-61.1856,-24.0416,1
Chris Brown,Blow It In The Wind,4A0oWrQgI2LwEcCJWqaoLC,49116,50,0.0522,0.394,248573,0.594,0.052974,G#,0.109,-7.651,Major,0.202,79.544,01/4,0.297,R&B,R7,-10.3366,32.7354,0
empty_field,Como Si Na,5MxNLUsfh7uzROypsoO5qe,141157,52,0.232,0.705,170998,0.778,0.052974,A,0.244,-4.101,Minor,0.177,160.099,04/4,0.709,R&B,R1,15.5451,16.3093,1
Emily King,Forgiveness,1gyee1JuFFiP476LQpRMYU,209105,41,0.449,0.715,227827,0.367,0.0138,C,0.11,-10.888,Major,0.0444,139.998,04/4,0.492,R&B,R1,-46.2578,9.82794,1
SoMo,Play,7aOVFIT7QBGM2tAkW5se7u,182820,52,0.0572,0.687,188573,0.644,0.052974,D,0.119,-6.46,Minor,0.0463,116.179,04/4,0.444,R&B,R1,-20.9313,44.5425,1
Jay Prince,I Believe in You,58AI9A9gPNKKZniAfyX39q,66142,46,0.61,0.771,286364,0.631,0.052974,C,0.308,-5.58,Minor,0.311,88.002,04/4,0.882,R&B,R1,-57.541,33.1506,1
Mick Jenkins,Healer,4D61qXYCY7mVzo0QQm5ehd,159533,49,0.371,0.536,224577,0.406,0.052974,A,0.113,-11.596,Major,0.129,119.923,04/4,0.0887,R&B,R1,2.28947,20.2552,1
Sade,The Sweetest Taboo,1dlCquFJLbIftz0BIUJkh2,29806,60,0.128,0.752,277153,0.824,0.0103,A#,0.306,-9.455,Minor,0.0447,91.563,04/4,0.961,R&B,R1,47.1672,-27.226,1
empty_field,One Man Can Change The World,3R9RSIkgkZXrIgmBHGemlV,31751,63,0.773,0.677,254627,0.579,0.052974,G#,0.11,-6.665,Minor,0.16,157.967,04/4,0.312,R&B,R1,-4.74837,-49.6295,1
Changing Faces,Stroke You Up,7v9qEzfnEuJDjBg8B7GppL,62422,48,0.278,0.73,216546,0.731,0.052974,D#,0.258,-3.438,Minor,0.0279,131.396,04/4,0.649,R&B,R2,27.9557,65.3028,1
Noname,Yesterday,5Rde8eWptlJrh6hL2jIrfD,208340,56,0.488,0.464,189510,0.539,0.00022,F,0.063,-8.701,Major,0.394,173.661,04/4,0.473,R&B,R1,40.6799,-3.58028,1
VanJess,Control Me,05l7cyJvL9OTmwnRTFjYQ9,103780,49,0.00294,0.737,213324,0.521,9.14e-06,C#,0.0897,-7.365,Minor,0.0857,100.043,04/4,0.316,R&B,R1,-39.5851,-51.0128,1
Alina Baraz,Electric (Marian Hill Remix),4bMIRaesSZwIldFWCGs96S,207441,54,0.652,0.682,248649,0.406,0.00814,C#,0.0863,-9.442,Major,0.0663,110.998,04/4,0.156,R&B,R1,-49.4422,-29.9467,1
Chris Brown,Lost & Found,5Qxd50grOVVHgoEWqHeCor,200294,51,0.652,0.483,241778,0.532,0.052974,F#,0.123,-8.012,Minor,0.078,134.799,04/4,0.668,R&B,R1,8.60248,-13.4949,1
empty_field,Who's Got You Singing Again,161pnfRpiTTMZC1NWmjwh4,105459,62,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,117.999,04/4,0.481,R&B,R1,-49.6379,8.25733,1
Zara Larsson,Don't Let Me Be Yours,4cVaChIHbLyKY9WnCeOjN2,180800,57,0.198,0.792,199053,0.428,0.052974,E,0.15,-6.931,Major,0.0671,116.179,04/4,0.499,R&B,R1,39.7045,31.3019,1
Frank Ocean,Fertilizer,2ZN1EnypRwsD38EoFRwmu9,105215,56,0.851,0.71,39640,0.592,0.0133,B,0.276,-7.252,Major,0.0897,115.909,04/4,0.963,R&B,R1,18.1096,-59.2524,1
FKA twigs,Give Up,1Rm9HY2oV8hRECzb8FypF0,83264,40,0.032,0.665,257560,0.55,0.00183,A,0.185,-9.321,Minor,0.0498,110.024,04/4,0.471,R&B,R1,18.7908,13.4446,1
Kehlani,Be Alright,2XTkpF9T2PKvcLgamGJGx1,26988,51,0.489,0.546,174618,0.669,0.052974,A,0.11,-6.004,Major,0.0584,100.037,04/4,0.4,R&B,R1,1.31552,21.3098,1
The Weeknd,Valerie,23uNWyl5lh5PxWJpWNikHR,153445,62,0.346,0.641,286680,0.539,7.04e-06,F,0.0837,-6.351,Minor,0.0463,148.004,04/4,0.436,R&B,R1,52.1605,9.52968,1
Kehlani,24-Jul,6FsyFlkeDUXDAGn3QPhIkW,181852,52,0.261,0.662,182257,0.532,0.052974,F,0.0741,-7.407,Major,0.0534,92.048,04/4,0.397,R&B,R1,35.7371,-3.43579,1
Tweet,Oops (Oh My) (feat. Missy Elliott),2lyJ2UmdPlPr6KandG2Y0s,67064,60,0.233,0.66,224577,0.536,0.00669,A#,0.111,-8.786,Minor,0.29,116.179,04/4,0.775,R&B,R1,54.1773,-21.4839,1
empty_field,Sink or Swim,3I0DgKmo6ZFBf49gXBhGWD,60931,45,0.473,0.743,218947,0.856,0.000279,F,0.0986,-7.352,Major,0.153,113.987,04/4,0.496,R&B,R1,32.2239,-4.45014,1
Miguel,Remember Me (Dúo),1zuGHW5axtzu3NNrEr4vvY,188375,66,0.426,0.612,164453,0.548,0.052974,C,0.502,-6.71,Major,0.0351,84.991,04/4,0.617,R&B,R1,-56.3957,13.0965,1
Blu Cantrell,Breathe - Rap Version,6NK6BSGwtmJ1HTOCYRWslQ,201174,47,0.048,0.8,224577,0.663,0.052974,D,0.252,-3.832,Major,0.0324,91.934,04/4,0.472,R&B,R1,-32.95,53.7768,1
Iggy Azalea,Change Your Life,4gEINEqiPHRCXSgZ9HHh7b,29208,45,0.0182,0.682,220749,0.77,0.052974,D,0.117,-5.567,Major,0.204,132.015,04/4,0.706,R&B,R1,-38.3212,53.7271,1
702,I Still Love You,31ld5ZzpjCvSyaUMSCMUWX,190269,43,0.0781,0.648,287013,0.752,3.24e-05,C,0.253,-5.685,Major,0.0514,87.004,04/4,0.488,R&B,R1,-51.9269,13.0817,1
Maribou State,Glasshouses,5Bgs0KR8B2sujxNhj2yKxE,190001,56,0.637,0.617,224577,0.483,0.763,A,0.0626,-9.54,Major,0.0454,116.179,04/4,0.177,R&B,R1,14.4769,5.46997,1
empty_field,Water Runs Dry,09ZzQ0L2JGm1PHMCcUL9es,35863,52,0.419,0.573,224577,0.377,0.052974,C,0.142,-12.9,Major,0.0278,116.179,04/4,0.565,R&B,R1,-44.5937,4.49238,1
Tyrese,What Am I Gonna Do,6rKFex6HJvVukLa9Ys9hM7,82958,48,0.275,0.69,280000,0.475,0.052974,A#,0.0951,-4.702,Minor,0.052,145.597,04/4,0.536,R&B,R1,52.8514,-24.6921,1
Devvon Terrell,She A Dub,73YofZuIMmCeWVpfhetgCO,199966,54,0.0403,0.618,181463,0.913,0.052974,C#,0.176,-3.019,Major,0.0338,116.179,04/4,0.437,R&B,R1,-58.6858,-22.3282,1
T-Pain,Getcha Roll On (feat. Tory Lanez),4jKBjyOdVKfmyauxwW8QUs,130209,44,0.0379,0.717,232079,0.669,0.052974,A,0.255,-5.605,Minor,0.352,171.105,04/4,0.652,R&B,R1,16.411,17.0131,1
K. Michelle,A Mother's Prayer,3fVbSiUJ74bkkViuYinWMQ,215372,40,0.695,0.434,237840,0.31,0.052974,B,0.115,-8.787,Major,0.0327,130.7,04/4,0.332,R&B,R1,15.1329,-57.0831,1
Jhene Aiko,Overstimulated,53c1K8iOYxgk9AFtiMvPqJ,147206,52,0.402,0.425,319533,0.506,0.00419,C,0.669,-7.652,Minor,0.0338,116.179,04/4,0.0807,R&B,R1,-55.8028,22.0402,1
empty_field,"Figures, a Reprise",6I98880JN01IPhPQg4Mxsu,68935,65,0.669,0.505,192827,0.408,0.052974,G,0.0983,-5.572,Major,0.168,171.66,03/4,0.192,R&B,R3,3.49447,42.3461,1
Jonathan McReynolds,Excited,1ry9AyQVzzK2iDt6vMY2ku,137839,44,0.595,0.331,200545,0.359,0.052974,C#,0.0521,-7.404,Major,0.0307,86.081,04/4,0.381,R&B,R1,-48.8961,-27.0328,1
Miguel,Come Through and Chill,6QyBDKOK3B7VWddZKs8ehd,53649,73,0.158,0.461,322000,0.653,0.052974,F#,0.197,-8.617,Major,0.327,116.179,01/4,0.588,R&B,R8,-9.44224,32.4359,0
empty_field,Without You,2q95XoeFGixx8b5LNF6Ey1,104344,44,0.91,0.508,326773,0.213,0.000929,C#,0.106,-11.422,Major,0.0502,175.929,04/4,0.0615,R&B,R1,-45.1195,-30.1464,1
Gwen Stefani,Saw Red,5UJshy5HDHdNEVqlJwzsQB,199870,45,0.00422,0.527,118693,0.825,0.166,F,0.118,-6.533,Major,0.113,108.859,04/4,0.869,R&B,R1,34.2267,-6.83703,1
Miguel,Kaleidoscope Dream,0ikbufjXAgnd0OdhCjEBB3,169427,45,0.00715,0.645,224577,0.481,1.16e-05,C,0.0978,-10.442,Minor,0.0579,84.967,04/4,0.519,R&B,R1,-54.1022,26.1968,1
Miguel,Coffee (F***ing),2AGottAzfC8bHzF7kEJ3Wa,142292,58,0.0165,0.543,314053,0.667,2.69e-05,G#,0.15,-7.333,Major,0.0633,162.067,04/4,0.196,R&B,R1,-13.6711,-36.2215,1
Bryson Tiller,Right My Wrongs,3Z4iGuucaLiucT6b0Yn9wJ,160687,73,0.344,0.538,249320,0.449,0.052974,C#,0.157,-8.078,Major,0.0463,116.179,04/4,0.27,R&B,R1,-54.573,-27.7011,1
DJ Khaled,How Many Times,6SgkilvKX94WfXRbhr3RCu,115165,54,0.0937,0.798,263980,0.704,0.052974,A#,0.308,-4.317,Minor,0.199,116.179,04/4,0.867,R&B,R1,47.6007,-23.3994,1
Sevdaliza,Hubris,0kezYcDoAWz4k8PHv2HyLp,81045,48,0.556,0.633,245196,0.411,0.0558,C#,0.153,-8.727,Major,0.0325,145.896,04/4,0.113,R&B,R1,-45.9359,-27.3129,1
Nao,So Good,3xNWooYGrMAvbE7ahOKwdh,68425,45,0.318,0.593,180680,0.211,0.052974,E,0.101,-8.249,Minor,0.273,96.024,05/4,0.834,R&B,R4,-1.55606,74.2396,1
