artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Freddie Gibbs,Triple Threat,12NwYmQT1Mm7gkrCjIuq0d,134768,45,0.0252,0.85,178422,0.412,0.0863508,D,0.0948,-7.845,Major,0.236,130.99,04/4,0.663,Alternative,A1,38.8202,-39.6454,1
Three Days Grace,No More,4yDs61mzPcTod9qrBUE3H9,97297,45,0.00261,0.271,225493,0.916,0.0863508,F#,0.156,-3.141,Minor,0.0581,197.817,04/4,0.286,Alternative,A1,-25.6027,-26.774,1
Solange,Don't You Wait,0AmkrjMDff4ICVNxQhppZA,88412,45,0.279,0.833,245907,0.579,0.692,C,0.0997,-6.568,Major,0.08,122.457,04/4,0.514,Alternative,A1,57.6326,9.46527,1
Amy Grant,"Baby, Baby",25AmLrQC1b3Hz9FUGZXF1S,172572,58,0.426,0.702,236973,0.901,0.00153,C#,0.0368,-4.45,Major,0.0264,97.862,04/4,0.919,Alternative,A1,-9.54139,-19.9838,1
empty_field,Livin Right,6KmnejQFYdWUVUJh6zwEce,194415,46,0.00114,0.539,209760,0.915,0.0863508,C#,0.0675,-4.251,Minor,0.0601,88.051,04/4,0.435,Alternative,A1,-1.6893,2.35646,1
Mandisa,Unfinished,6bbgFuZu4zsvAfSDhBiH34,45901,49,0.0152,0.63,232940,0.691,0.0863508,A,0.303,-4.334,Major,0.0312,93.014,04/4,0.261,Alternative,A1,-4.68284,21.6692,1
Masego,I DO EVERYTHING!,4Vs0lqUgQzO4vEcbgkUgJb,22453,49,0.521,0.76,232940,0.393,0.000668,C#,0.796,-11.219,Minor,0.525,135.293,04/4,0.34,Alternative,A1,-14.0824,-10.9197,1
empty_field,Roll Right,5mJ69hhibmTLd407KDDgQK,52047,49,0.014,0.527,232940,0.789,0.0133,A,0.381,-8.049,Major,0.0694,86.137,04/4,0.452,Alternative,A1,-4.72953,21.693,1
Florence + The Machine,My Best Dress - Demo,32VsrbbWKZAuUSsWkMKzZM,114252,55,0.518,0.578,154587,0.272,6.59e-06,C,0.106,-7.944,Minor,0.0818,135.098,04/4,0.211,Alternative,A1,60.0527,22.7576,1
empty_field,Guitarras Blancas,1uOgZkPPwGgya04nRoM1wy,216960,58,0.0707,0.632,266827,0.754,4.62e-05,G#,0.14,-4.639,Major,0.0385,145.066,04/4,0.792,Alternative,A1,1.69818,-65.8129,1
Brent Faiyaz,So Far Gone / Fast Life Bluez,2x5Frs6ts14U4MSLrQQlXg,49554,46,0.841,0.511,331018,0.439,3.12e-05,A,0.225,-11.79,Minor,0.218,159.815,04/4,0.124,Alternative,A1,0.38342,36.6193,1
empty_field,Liar,67hMSEb3LyrmgEo9fPNrDU,66163,48,0.266,0.537,311347,0.755,0.0901,C,0.262,-8.187,Major,0.0269,134.879,04/4,0.538,Alternative,A1,59.5027,7.25893,1
PREP,Who's Got You Singing Again,090yW5nfZqCi8jVtf9WxvP,189311,55,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,122.457,04/4,0.481,Alternative,A1,68.0613,9.48352,1
Noah Slee,DGAF,6LPnHQr7o95lezO5Y6qJVE,68463,57,0.227,0.804,196640,0.522,0.000171,A,0.077,-7.319,Minor,0.0485,134.168,04/4,0.243,Alternative,A1,-1.83488,39.4463,1
Amon Amarth,Raise Your Horns,0hvi6FQl4h3zVGC2DVpohG,150133,50,6.05e-05,0.458,263760,0.873,0.737,F,0.0664,-5.336,Major,0.0439,164.984,03/4,0.551,Alternative,A2,23.5379,48.2621,1
