artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K. 384, Act II: Durch Zärtlichkeit und Schmeicheln",4uYqe6JOHty9Eu50ukMV3G,201462,17,0.966,0.378,162173,0.0385,0.62427,A,0.406,-27.698,Major,0.0564,121.058,04-Apr,0.324,Classical,CL1,-48.0671,13.6221,1
Johann Strauss II,"On the Beautiful Blue Danube, Op. 314",1TVd8FHpeg1Afa92kaO0kR,116499,32,0.974,0.311,351107,0.184,0.79,D,0.0669,-14.405,Major,0.0307,96.141,04-Apr,0.26,Classical,CL1,12.4856,3.81072,1
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. I, Scène II & III - Ronde de paysans. ""Les bergers laissent ... Mais d'un éclat guerrier""",24IWuJjweYxZHNcIqig2ri,209360,32.7529,0.98,0.277,264013,0.154,0.0287,D,0.719,-26.829,Major,0.0631,82.149,03-Apr,0.324,Classical,CL1,-4.12385,7.86708,1
Johann Sebastian Bach,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",3PhgLgizo2xXv288dD41RH,76105,35,0.961,0.612,344840,0.372,0.702,G,0.107,-14.594,Major,0.052,97.573,04-Apr,0.804,Classical,CL1,38.0385,33.3008,1
Niccolò Paganini,Cantabile,6mImezl7AV8V7JtkY59veA,98659,43,0.911,0.185,307601,0.0337,0.00226,A,0.096,-29.674,Major,0.0431,91.333,03-Apr,0.0463,Classical,CL1,-63.184,28.7611,1
Bedřich Smetana,"The Bartered Bride, JB 1:100, B. 131: Act I Scene 5: Introduction: Polka - Take your partners for the polka (Chorus)",4WItPkM5wybsLwmhyFvJiJ,66849,33,0.865,0.421,280080,0.26,0.0303,C,0.0919,-17.909,Major,0.0354,103.026,04-Apr,0.479,Classical,CL1,4.5382,38.7665,1
Jonny Greenwood,For the Hungry Boy,2q95XoeFGixx8b5LNF6Ey1,128994,40,0.839,0.165,307601,0.149,0.87,C,0.113,-16.404,Major,0.0389,86.081,04-Apr,0.053,Classical,CL1,-3.94304,34.5785,1
Daníel Bjarnason,Over Light Earth I. Over Light Earth,4dPTHF7N8S9jM1xIHyF2W8,215249,30,0.614,0.1,366730,0.183,0.629,G,0.105,-18.615,Major,0.0409,73.549,03-Apr,0.0334,Classical,CL1,54.1617,24.1801,1
empty_field,A Knife in the Dark,71rcvcZWR31Msh0l4Gnr8W,103681,51,0.9,0.119,307601,0.369,0.784,A#,0.14,-15.537,Major,0.0529,75.039,05-Apr,0.0431,Classical,CL2,21.1275,-19.2228,1
Ludwig van Beethoven,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato (Live)",2YAOVD6TLVaHmCGATiZvhn,120856,21,0.975,0.0606,307601,0.0322,0.827,A#,0.0953,-29.047,Major,0.0379,64.428,04-Apr,0.064,Classical,CL1,41.2028,-12.3638,1
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène VI - Chanson de Méphistophélès. ""Une puce gentille""",4njERPXVhrBb3OQyW1dIYZ,196948,32.7529,0.952,0.449,90453,0.186,0.62427,F,0.664,-22.082,Major,0.161,163.636,03-Apr,0.629,Classical,CL1,17.8718,-64.5597,1
empty_field,"Má vlast (My Country): No. 1, Vyšehrad",5XOstrokznSLNZtDomATss,184293,29,0.929,0.176,307601,0.0325,0.895,D#,0.132,-22.866,Major,0.0387,103.136,03-Apr,0.039,Classical,CL1,51.243,-44.0701,1
Robert Schumann,"Symphony No. 2 in C Major, Op. 61: III. Adagio espressivo",2gdtLnVGGg80Kj9GiqP0vH,38812,29,0.939,0.156,623369,0.0335,0.789,C,0.124,-25.684,Minor,0.0411,67.197,04-Apr,0.0359,Classical,CL1,-7.96907,64.2339,1
Michael Haydn,"Missa Tempore Quadragesimae, MH 553: Agnus Dei",1nMNUr0WZiqTzqfP57k2SK,207632,32,0.988,0.225,203133,0.0863,0.0654,F#,0.108,-19.298,Minor,0.0465,104.518,04-Apr,0.0393,Classical,CL3,-28.8641,-23.5454,1
Andrea Bocelli,Fall On Me - English Version,4aF0PPxFBKdK6AG72CP0qZ,58879,47,0.677,0.361,258816,0.155,0.62427,F#,0.11,-11.435,Major,0.0341,84.292,03-Apr,0.219,Classical,CL3,-38.8465,-21.0687,1
Erik Satie,Gymnopédie No. 2,7AyebpN2kre7LbB2aV3oRh,177985,27,0.992,0.489,194893,0.00243,0.963,D,0.0804,-35.804,Minor,0.0896,67.452,03-Apr,0.35,Classical,CL1,-10.5003,-3.38999,1
Ludwig van Beethoven,"Sonata No. 14 in C-Sharp Minor for Piano, Op. 27:2, ""Moonlight Sonata"": Adagio sostenuto",3uqWy9F8MvIKLcff60aF4P,82822,30,0.996,0.332,406227,0.008,0.902,C#,0.108,-37.226,Minor,0.055,130.707,03-Apr,0.177,Classical,CL1,-35.3786,-65.8284,1
Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto",1npaDLPr19R0gwlxJXXWbb,140605,49,0.973,0.138,625680,0.0967,0.919,E,0.0605,-22.356,Major,0.0386,65.605,04-Apr,0.0384,Classical,CL1,-59.2912,-27.2348,1
Sergei Prokofiev,"Peter and the Wolf, Op. 67: The Wolf",2QRh45dg75Yyz5P9uGeTcC,157474,26,0.886,0.351,122000,0.202,0.0771,D,0.239,-19.204,Minor,0.0789,85.443,04-Apr,0.197,Classical,CL1,-11.0006,-12.4229,1
empty_field,"Lieder ohne Worte, Op.62 - Arr. Fritz Kreisler: 6. Frühlingslied",2iK2ndZOt0IBdKb7aJFZau,217808,30,0.976,0.209,140160,0.0763,0.44,A,0.0841,-24.067,Major,0.0683,173.973,04-Apr,0.303,Classical,CL1,-50.2362,14.5994,1
Sergei Rachmaninoff,"Vocalise, Op.34, No.14",5qAfDOvkgl0hxfBi7ygLDQ,145137,40,0.943,0.152,327600,0.0749,0.846,E,0.293,-25.909,Minor,0.0382,87.731,04-Apr,0.0378,Classical,CL1,-69.294,-0.484558,1
Eric Whitacre,Water Night,5fJszr03uVM8V6P3Ek3gce,106390,30,0.993,0.152,316427,0.0439,0.691,A#,0.157,-22.915,Minor,0.0371,135.59,01-Apr,0.0309,Classical,CL4,-2.88181,-39.3602,1
