artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Pat Coil,You're The Cream In My Coffee,0pMHlvgPK2juACBADtKRvm,27324,38,0.891,0.701,196960,0.295,0.765,A#,0.0815,-14.493,Major,0.0354,112.158,04-Apr,0.609,Jazz,J1,19.813,-24.1264,1
The Manhattan Transfer,Tuxedo Junction,2bVzfgrlscQu6yVpbYVnvF,74522,43,0.684,0.716,266348,0.31,4.82e-06,C#,0.0586,-11.676,Minor,0.04,111.458,04-Apr,0.482,Jazz,J1,-41.2062,-52.3209,1
Al Hirt,Java,6bxtai04eVsvV7IZGqOXMy,171224,37,0.803,0.679,266348,0.721,0.893,C#,0.088,-10.36,Major,0.0535,92.43,04-Apr,0.963,Jazz,J1,-51.3855,-38.1789,1
Chick Corea,My One And Only Love,2FiZEXOKoTbgxD9TRo6hQK,101707,47,0.819,0.351,216707,0.209,0.914,A#,0.102,-23.533,Minor,0.0361,159.504,04-Apr,0.448,Jazz,J1,4.3004,-28.4274,1
empty_field,Inner Flight,3m2214xkiV8xEI8JGPFSHQ,132211,33,0.474,0.335,182947,0.668,0.869,E,0.117,-14.831,Minor,0.0486,112.158,04-Apr,0.581,Jazz,J2,64.6814,-19.9114,1
goosetaf,Peach Rings,4IL5B1c7iUHMA5Rr1ucNo6,172186,42,0.673,0.622,111000,0.36,0.0867,D#,0.0719,-17.632,Major,0.274,80.015,04-Apr,0.0411,Jazz,J3,-15.7914,69.0967,1
Chet Baker,My Buddy - Vocal Version,2prHMFvkekTqqFdB5r6QJJ,212527,44,0.635,0.728,266348,0.0736,3.5e-05,A,0.0922,-19.606,Minor,0.0418,134.88,04-Apr,0.468,Jazz,J1,52.3431,15.5277,1
Norah Jones,Cold Cold Heart,6TWkDy3QEKCWcgL39TNWlQ,168867,53,0.909,0.603,218627,0.0903,0.000785,D,0.0866,-14.499,Major,0.0397,114.133,04-Apr,0.377,Jazz,J1,17.916,21.6792,1
Earl Klugh,Midnight In San Juan,5udLPy81045BWwR07QD3Fl,149203,31,0.658,0.744,352773,0.57,0.869,G,0.11,-11.233,Minor,0.0293,119.966,04-Apr,0.914,Jazz,J1,-19.2175,-26.224,1
Stacey Kent,Landslide,0lqcnnclUdVbPPboOldEPp,203024,45,0.957,0.528,228240,0.258,0.00259,C,0.102,-11.567,Major,0.0331,139.254,04-Apr,0.342,Jazz,J1,-32.8701,27.5751,1
Federico Aubele,Postales,5BBIXjMqYtLY9hdw7fJRLW,89408,34,0.145,0.723,247040,0.558,0.000574,G,0.294,-7.485,Major,0.0529,94.512,04-Apr,0.716,Jazz,J1,-34.4431,-7.38174,1
Jamiroquai,Cosmic Girl,43gZ3o30uy5c2joM7w5qO0,83480,65,0.0261,0.633,244147,0.921,0.00102,B,0.309,-7.719,Minor,0.0495,119.865,04-Apr,0.925,Jazz,J4,29.8152,-49.6889,1
Herbie Hancock,I Have A Dream - Remastered 2000/Rudy Van Gelder Edition,0ey9VL7lFerteaCVvahKYV,164767,39,0.827,0.445,658293,0.507,0.838,D,0.103,-11.78,Minor,0.028,124.169,04-Apr,0.352,Jazz,J1,9.19592,24.4942,1
Bonobo,No Reason,6HicBL9RxtWwNK7sS2AHHU,66697,56,0.321,0.656,266348,0.589,0.532,F,0.104,-12.332,Minor,0.0493,121.003,04-Apr,0.155,Jazz,J1,40.4242,45.1333,1
B-Side,Sky,4fpOXKIU9yRBoYkMhgJ24k,70152,36,0.26,0.461,266348,0.231,0.872,A,0.218,-8.386,Major,0.289,239.848,03-Apr,0.332,Jazz,,31.8059,-3.68658,0
empty_field,My Melancholy Baby (2016) - Mono Remaster,7Es46F1Ewwxp6w4PrgIfd6,41276,41,0.872,0.71,262848,0.244,0.325,F,0.0899,-13.799,Minor,0.0443,125.804,04-Apr,0.672,Jazz,J1,41.7611,49.6445,1
Grant Green,"Jan Jan - Live At The Club Mozambique, Detroit/1971/Digitally Remastered 2006",1NCBOqUQ3vQi11vCwwViTr,177085,33,0.32,0.672,570853,0.63,0.7,A#,0.139,-9.152,Minor,0.0457,139.601,04-Apr,0.846,Jazz,J1,1.0938,-38.1882,1
empty_field,So Tender,6StOJ1kNRZIohusDxc9gIM,89480,59,0.818,0.373,266348,0.302,0.835,C#,0.171,-20.358,Minor,0.0376,86.925,04-Apr,0.35,Jazz,J1,-39.5537,-48.5823,1
The Andrews Sisters,I Didn't Know The Gun Was Loaded - Single Version,4ZfQwNx3FlCN07cnUvekh3,37083,35,0.674,0.788,169160,0.324,0.403158,A#,0.339,-11.588,Major,0.0601,114.506,04-Apr,0.963,Jazz,J1,22.9369,-23.8083,1
Billie Holiday,"Baby, I Don't Cry Over You",6eOoo1vO6jE1FiH3tVXu0o,93757,43,0.959,0.52,193053,0.113,2.55e-05,D#,0.152,-19.162,Major,0.051,112.158,05-Apr,0.51,Jazz,J5,4.101,76.1293,1
Benny Goodman,Where Or When,4gAV3sMEZn4lrfKPGARCqA,200533,40,0.991,0.467,200600,0.00861,0.141,A,0.104,-28.227,Minor,0.0343,112.158,04-Apr,0.104,Jazz,J1,49.7277,16.3955,1
Con Funk Shun,Straight From The Heart,3x2n70GMYuJsSb6kb1nObc,140913,34,0.653,0.507,277560,0.332,0.403158,D,0.156,-9.975,Major,0.0254,140.592,04-Apr,0.541,Jazz,J1,19.8996,21.1839,1
ØDYSSEE,MILANO,4CtA9FOOXtoiwV4KhVYbPl,62721,46,0.578,0.7,117290,0.452,0.768,F#,0.119,-5.969,Minor,0.0529,81.9,04-Apr,0.563,Jazz,J6,-5.88985,-67.5899,1
Guru Griff,Cloudy,4mAnqyyXCauUnBkFRBke5f,75107,58,0.84,0.689,117209,0.226,0.965,C,0.11,-15.211,Major,0.0578,171.979,04-Apr,0.362,Jazz,J1,-31.4928,18.4412,1
Bob James,Just One Thing,6khDguAo8XXW1h0u7xofYk,109388,27,0.161,0.777,266348,0.554,0.321,C,0.111,-10.372,Minor,0.0336,139.967,04-Apr,0.683,Jazz,J1,-12.9255,33.4486,1
John Coltrane,Aisha,2tWuxvvRcWktviEt3IQOVv,216188,42,0.823,0.393,266348,0.183,0.117,E,0.106,-15.203,Minor,0.035,168.035,03-Apr,0.139,Jazz,J2,45.9437,-19.692,1
George Benson,This Masquerade - Remastered Version,2oHxuNlj8cdpqxpum3DWkj,89319,36,0.5,0.625,483133,0.373,0.000524,F,0.132,-12.549,Minor,0.0383,88.543,04-Apr,0.43,Jazz,J1,35.8207,46.7546,1
Thievery Corporation,(The Forgotten People),0H6QzeRNVVpwON9iNCD73e,107668,44,0.0164,0.712,190907,0.814,0.853,G,0.0508,-6.1,Major,0.0718,97.538,04-Apr,0.645,Jazz,J1,-36.388,-14.2202,1
BluntOne,Stam Slap,1PBnKi584cMNsBws5X9u2y,207920,35,0.151,0.817,88448,0.623,0.847,C,0.136,-6.911,Major,0.0521,87.261,04-Apr,0.688,Jazz,J1,-43.7048,36.7533,1
empty_field,K.I.S.S.E.S,44RTgZYpBm19mGoMdyhM9L,101631,61,0.00556,0.625,315347,0.8,0.386,C#,0.0751,-8.161,Major,0.0458,107.258,04-Apr,0.467,Jazz,J1,-48.4344,-37.9403,1
empty_field,Say Something Sweet to Your Sweetheart,4Tcr45Q15hwPGrLBp632Ks,52501,39,0.986,0.375,266348,0.121,0.00394,G#,0.107,-15.591,Major,0.0423,90.815,04-Apr,0.257,Jazz,J1,-59.336,8.87622,1
empty_field,Alaska,4esOae7i4rqTbAu9o5Pxco,213704,35,1.65e-05,0.264,237693,0.953,0.457,C#,0.169,-4.321,Major,0.101,97.75,03-Apr,0.213,Jazz,J1,-27.6916,-39.8722,1
Caravan Palace,Tattoos,67onFaW8i95edbn90nRo8d,42005,41,0.186,0.828,207293,0.951,3.9e-05,C,0.115,-5.578,Major,0.215,112.158,04-Apr,0.655,Jazz,J1,-35.5651,38.7224,1
Kamasi Washington,The Space Travelers Lullaby,5L0SO51PDyeysJUiDremIF,150843,30,0.713,0.15,631659,0.37,0.859,C,0.0671,-9.794,Minor,0.0317,84.549,03-Apr,0.116,Jazz,J1,-9.06538,8.53707,1
