artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Gaetano Donizetti,"La fille du régiment / Act 1: ""Sacré nom d'une pipe!""",0Zce24eeoF7cTpbgOFRq6T,115156,16,0.96,0.417,130533,0.182,7.71e-06,G,0.262,-19.608,Major,0.224,101.874,04-Apr,0.108,Opera,O1,12.5252,56.5546,1
Giacomo Puccini,La Bohème: Che gelida manina! (Rodolfo) (1997 Digital Remaster),1EfjY8x3K9JbMwm8EhicpI,140883,25,0.987,0.171,301600,0.113,0.000291,G#,0.208,-16.151,Major,0.0398,85.874,03-Apr,0.0706,Opera,O1,-66.4834,25.6155,1
Giuseppe Verdi,Aida (1997 Digital Remaster): Chi mai fra gl'inni e i plausi,5ZEYrrqlqL5Z5BWpakBb1S,62600,8,0.993,0.277,259640,0.0726,0.0896,G,0.159,-25.541,Minor,0.0484,96.05,04-Apr,0.0464,Opera,O1,16.8195,35.5949,1
Philharmonia Orchestra,"Rigoletto (1996 Digital Remaster), Act 3: La donna è mobile",68wibJU4yMiqNX79IaLAsN,156965,4,0.995,0.454,119760,0.00331,0.951,A,0.121,-36.652,Major,0.0466,81.87,04-Apr,0.659,Opera,O1,52.9472,34.3494,1
Friedrich von Flotow,Martha oder Der Markt zu Richmond: M'appari tut amor,0ykOwUlNIOejwOOSylGlQs,93128,4,0.993,0.263,211773,0.234,9.42e-06,C,0.138,-10.664,Major,0.038,101.874,04-Apr,0.125,Opera,O1,-29.9586,52.2259,1
Giacomo Puccini,"Puccini: La rondine, Act 2: ""Nella trepida luce d’un mattin"" (Una voce interno, Un uoma che fischia)",1zkXUXNHpYQTcXZAaZbeEp,99269,6,0.852,0.173,83733,0.00306,5.85e-06,C#,0.093,-45.539,Major,0.0399,61.05,03-Apr,0.0701,Opera,O1,-71.5223,-24.395,1
Renata Tebaldi,Addio del passato - La traviata Atto III,0QrSTdUHiYrNZDDh8nYyqT,51373,15,0.962,0.237,287560,0.111,0.000102,E,0.21,-19.58,Minor,0.0582,79.817,05-Apr,0.0426,Opera,O1,36.1889,-32.1228,1
Richard Wagner,"Flying Dutchman, Overture",4WIuXVJJxyvBWmpxLqE1Mo,183279,2,0.921,0.145,630720,0.151,0.897,G,0.255,-18.008,Major,0.0433,170.861,04-Apr,0.0366,Opera,O1,22.5105,63.8954,1
Francesco Cavalli,"La Calisto: Atto I, scena 14. Calisto: ""Piante ombrose""",4Kdu9AlfQyu0o6r2ozCMTc,52507,11,0.914,0.185,147733,0.0474,0.243824,C,0.575,-20.091,Major,0.0494,178.118,05-Apr,0.0779,Opera,O1,-6.67609,33.1218,1
Gaetano Donizetti,"Donizetti: La fille du Regiment: Qu'ai-je vu? Un soldat ici! - Marquise, Sulpice, Tonio - Act Two",3UXQEfdcI6MWoNFUQ2uXYg,76032,4,0.951,0.42,259640,0.0965,0.243824,C,0.703,-28.409,Major,0.258,101.874,03-Apr,0.148,Opera,O1,-12.1342,59.9996,1
Alfredo Kraus,Quiéreme Mucho,3bpV86Ui1ND9aRU5uhQRRX,98350,20,0.978,0.221,246440,0.272,0.000114,G,0.273,-8.645,Minor,0.0336,89.545,03-Apr,0.19,Opera,O1,23.1828,38.0886,1
Thomas Quasthoff,Nice 'N' Easy,3SXqsPn8xcF3v1pnO1Yrxn,41689,29,0.713,0.547,259640,0.354,3.88e-05,D,0.0939,-10.591,Minor,0.0419,119.224,04-Apr,0.432,Opera,O1,26.9733,2.69437,1
empty_field,"La Gioconda / Act 2: ""Cielo e mar"" - Remastered",3dLiBBKbeUIhzGNeuo5JGS,60985,11,0.958,0.196,276000,0.185,0.243824,D#,0.109,-16.011,Major,0.0427,177.712,03-Apr,0.181,Opera,O1,-42.2449,-61.0075,1
Giacomo Puccini,Gianni Schicchi: Ecco la cappellina!,0vDBNWI0uXf7dNkiiX2P5z,138802,12,0.971,0.338,203175,0.0851,4.38e-05,F,0.303,-25.84,Major,0.0729,86.552,03-Apr,0.0894,Opera,O1,8.38947,-46.9167,1
empty_field,O Salutaris Hostia,4On5fc0VFSsmXGe9x7BftT,41755,11,0.992,0.171,259640,0.104,0.0523,F#,0.118,-26.282,Minor,0.0469,142.894,05-Apr,0.0384,Opera,O2,61.4793,0.0495919,1
Adolphe Adam,No. 8 Pas de Deux (Giselle & Albrecht),4XUDJDLrfHt0KlPWJa27OS,56033,15,0.979,0.431,125706,0.00585,0.0123,G#,0.0969,-28.477,Major,0.0372,129.751,04-Apr,0.196,Opera,O1,-66.4805,8.25865,1
Gioachino Rossini,Il barbiere di Siviglia: All'idea di quel metallo (Live),5kTBiVnjq9xKmZL9dNs8zL,65863,11,0.941,0.441,496787,0.169,1.48e-06,G,0.676,-21.429,Major,0.108,136.491,04-Apr,0.302,Opera,O1,12.0448,53.5641,1
Giacomo Puccini,"La Bohème, Act I: Ho ghiacciate le dita (Marcello, Rodolfo, Colline)",4sqZAKBTC4a2x1Ivil7h36,86624,15,0.98,0.334,229200,0.221,0.00399,B,0.122,-17.479,Major,0.0963,101.874,04-Apr,0.244,Opera,O3,31.6325,-57.3792,1
empty_field,"Massenet: La Vierge, Part 4: Le dernier sommeil de la Vierge (Last Sleep of the Virgin)",2CpIDL31uBctF5kSh1DvNe,39668,10,0.977,0.153,259640,0.059,0.78,G,0.0848,-27.427,Major,0.0424,94.67,03-Apr,0.069,Opera,O1,33.0168,54.3995,1
