artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster,t-SNE-y,t-SNE-x,DBSCAN Core
Nicki Minaj,Bed (feat. Ariana Grande),5k0cYQMQ8YKxJVp34DN49L,173589,77,0.0348,0.757,189533,0.73,6.17e-05,G,0.136,-6.304,Major,0.187,90.013,04/4,0.451,Pop,P1,-13.2387,16.6657,1
Hailee Steinfeld,Hell Nos And Headphones,60NJCs5aW9t957nuVa3Aqc,99177,62,0.0131,0.706,220494,0.562,0.0361772,A#,0.0974,-6.867,Major,0.0547,102.987,04/4,0.492,Pop,P1,71.0873,2.06118,1
A$AP Mob,Frat Rules,6dS5dbyAXpCStP3AU0J3dI,183071,62,0.181,0.635,218947,0.777,0.0361772,C#,0.357,-6.018,Major,0.231,128.09,04/4,0.177,Pop,P1,-7.5692,-39.8494,1
empty_field,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",10HaEOFedMLFE2I7e9a2QY,144761,82,0.165,0.792,220494,0.895,0.0361772,C#,0.0501,-3.112,Minor,0.0589,94.968,04/4,0.794,Pop,P1,-19.5474,-63.1331,1
Brothers Osborne,I Don't Remember Me (Before You),2As7I7LdFjWSupvAP8b1iX,200206,64,0.104,0.614,220494,0.614,3.59e-05,E,0.104,-7.497,Minor,0.0314,120.865,04/4,0.598,Pop,P2,33.2784,58.6537,1
SZA,Garden (Say It Like Dat),0wsJLHodMH1rVpVcKaharX,97380,72,0.0705,0.727,220494,0.456,0.0361772,A,0.124,-7.26,Major,0.285,111.331,04/4,0.548,Pop,P1,11.9271,25.8609,1
Saweetie,Up Now (feat. G-Eazy and Rich The Kid),5gW5dSy3vXJxgzma4rQuzH,111633,67,0.00294,0.956,198088,0.544,0.0361772,C#,0.104,-6.41,Major,0.0822,120.865,04/4,0.127,Pop,P1,-9.57044,-36.58,1
Good Charlotte,Girls & Boys,4o5006M93XpOX3u3gXpCtR,137661,62,0.00212,0.663,183493,0.72,0.0361772,D#,0.358,-5.497,Major,0.0331,135.342,04/4,0.608,Pop,P3,-20.4694,68.3713,1
Witt Lowry,Blood in the Water,45QAbhiq5ibQbFnWVS7TJH,41415,58,0.423,0.544,213333,0.793,3.82e-05,C,0.0904,-6.453,Minor,0.246,98.343,03/4,0.339,Pop,P4,-0.534542,47.0016,1
Dillon Francis,Say Less,3f9Vq2NkEErxgbToSAztFD,87973,64,0.101,0.681,204699,0.925,1.7e-05,G#,0.343,-5.436,Major,0.209,135.953,04/4,0.646,Pop,P1,-39.5492,40.6597,1
ASTRO,All Night,2dO10tYNGoxskWCRNdlvME,140697,68,0.234,0.573,223746,0.77,0.0361772,B,0.11,-4.622,Minor,0.186,150.065,04/4,0.576,Pop,P1,15.6509,-51.2405,1
Alta Consigna,Te Deseo Lo Mejor,1NlWBpNYAnFT7gMGyC0Y1M,169498,63,0.755,0.726,155513,0.294,0.0361772,A,0.157,-6.491,Major,0.0331,89.9,03/4,0.786,Pop,P5,2.92919,53.2108,1
Chris Janson,Good Vibes,0ROpCHlrI1zAutGN7xQy5u,204390,60,0.022,0.582,165587,0.846,0.0361772,C,0.133,-2.771,Major,0.0451,92.004,04/4,0.736,Pop,P1,-37.7596,-14.9161,1
The Weeknd,Angel,2JhRP7C1gNMRp7gC2YlTOq,153874,65,0.105,0.626,377347,0.583,0.0361772,A#,0.115,-7.574,Minor,0.0435,127.956,04/4,0.335,Pop,P1,61.3916,12.3419,1
Futuristic,Sub Me In,5KsxQocMfAqYf2kIeyxn1D,142789,59,0.177,0.67,218445,0.868,0.0361772,A#,0.666,-6.738,Minor,0.202,140.236,04/4,0.679,Pop,P1,55.6438,18.1016,1
empty_field,PMW (All I Really Need) (feat. ScHoolboy Q),0wokCRaKD0zPNhMRXAgVsr,212971,62,0.000361,0.705,220494,0.747,0.0361772,C#,0.311,-4.542,Major,0.0484,129.973,04/4,0.29,Pop,P1,-10.8687,-31.6129,1
Beyoncé,I Was Here,0hEu09lOLIM9zsbjRzLbhc,69688,62,0.431,0.51,239213,0.627,0.0361772,G,0.0927,-6.59,Major,0.0336,110.992,03/4,0.234,Pop,P4,-4.58331,51.4109,1
Lil Uzi Vert,Dark Queen,4sNG6zQBmtq7M8aeeKJRMQ,76616,76,0.222,0.747,173419,0.606,0.0361772,E,0.281,-5.286,Major,0.172,155.055,04/4,0.2,Pop,P2,42.462,46.5662,1
Kodak Black,No Flockin,4PcjK73ksojX0Gnc22DtQq,73682,72,0.0673,0.943,165291,0.595,0.0361772,F,0.0839,-8.372,Minor,0.191,117.532,04/4,0.815,Pop,P1,57.9444,-27.3964,1
Tiësto,Carry You Home (feat. StarGate & Aloe Blacc),2KufM8PiQY4i52XhRL96Fd,58825,67,0.0308,0.518,192731,0.724,0.0361772,G#,0.116,-6.327,Major,0.0839,121.884,04/4,0.334,Pop,P1,-36.3773,36.6816,1
empty_field,Pump It,0eBsXzjKNBcAGbos3r73Xv,91871,68,0.0109,0.646,220494,0.923,0.0361772,A,0.746,-3.108,Major,0.169,153.659,04/4,0.74,Pop,P1,18.9263,33.0975,1
empty_field,P.Y.T. (Pretty Young Thing),2ZpHnMgKEdeM3OVLgRDCwT,114190,72,0.23,0.888,220494,0.815,0.000424,B,0.127,-4.909,Minor,0.0404,127.273,04/4,0.961,Pop,P1,13.1236,-53.877,1
Beach House,Lemon Glow,0jG92AlXau21qgCQRxGLic,79912,59,0.447,0.466,220494,0.83,0.972,C,0.232,-7.504,Major,0.0296,148.467,04/4,0.51,Pop,P1,-32.7226,8.0309,0
Zion & Lennox,La Player (Bandolera),731Pa6Gt7GAdADATMSEL0N,125494,83,0.16,0.769,249609,0.838,0.0361772,D,0.0935,-5.238,Major,0.0633,93.996,04/4,0.602,Pop,P1,-65.1025,8.62882,1
blackbear,playboy shit (feat. lil aaron),4D2TZDz36KBqD5FeC5c8wT,123250,65,0.0847,0.656,220494,0.741,0.0361772,B,0.111,-4.998,Minor,0.18,154.933,04/4,0.882,Pop,P1,13.8599,-50.3405,1
Offset,Wild Wild West (feat. Gunna),2uLx3Gka9TGCz9Zgu7Uwav,107440,77,0.0841,0.902,220494,0.621,0.0361772,A,0.138,-5.315,Major,0.199,114.007,04/4,0.497,Pop,P1,12.7245,27.819,1
Sam Hunt,Come Over - Acoustic Mixtape,08GbwiHXQ7BrJl9Oe5m8uY,208139,57,0.809,0.36,241867,0.442,0.0361772,D,0.0864,-7.882,Major,0.0288,83.958,04/4,0.23,Pop,P1,-59.1633,2.71569,1
Avicii,You Make Me,7F0dwqgKzlaIRrngChBRAc,145193,70,0.00219,0.582,233347,0.738,0.0083,F#,0.149,-4.82,Major,0.0408,125.008,04/4,0.525,Pop,P1,20.8123,-20.8038,1
