artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Pat Coil,You're The Cream In My Coffee,0pMHlvgPK2juACBADtKRvm,Jazz2,27324,38,0.891,0.701,196960,0.295,0.765,A#,0.0815,-14.493,Major,0.0354,125.546,04-Apr,0.609,Jazz
The Manhattan Transfer,Tuxedo Junction,2bVzfgrlscQu6yVpbYVnvF,Jazz7,74522,43,0.684,0.716,226385,0.31,4.82e-06,C#,0.0586,-11.676,Minor,0.04,111.458,04-Apr,0.482,Jazz
Chick Corea,My One And Only Love,2FiZEXOKoTbgxD9TRo6hQK,Jazz1,101707,47,0.819,0.351,216707,0.209,0.914,A#,0.102,-23.533,Minor,0.0361,159.504,04-Apr,0.448,Jazz
empty_field,Inner Flight,3m2214xkiV8xEI8JGPFSHQ,Jazz8,132211,33,0.474,0.335,182947,0.668,0.869,E,0.117,-14.831,Minor,0.0486,126.209,04-Apr,0.581,Jazz
goosetaf,Peach Rings,4IL5B1c7iUHMA5Rr1ucNo6,Jazz3,172186,42,0.673,0.622,111000,0.36,0.0867,D#,0.0719,-17.632,Major,0.274,80.015,04-Apr,0.0411,Jazz
Chet Baker,My Buddy - Vocal Version,2prHMFvkekTqqFdB5r6QJJ,Jazz7,212527,44,0.635,0.728,213964,0.0736,3.5e-05,A,0.0922,-19.606,Minor,0.0418,134.88,04-Apr,0.468,Jazz
Norah Jones,Cold Cold Heart,6TWkDy3QEKCWcgL39TNWlQ,Jazz7,168867,53,0.909,0.603,218627,0.0903,0.000785,D,0.0866,-14.499,Major,0.0397,114.133,04-Apr,0.377,Jazz
Earl Klugh,Midnight In San Juan,5udLPy81045BWwR07QD3Fl,Jazz2,149203,31,0.658,0.744,352773,0.57,0.869,G,0.11,-11.233,Minor,0.0293,119.966,04-Apr,0.914,Jazz
Stacey Kent,Landslide,0lqcnnclUdVbPPboOldEPp,Jazz7,203024,45,0.957,0.528,228240,0.258,0.00259,C,0.102,-11.567,Major,0.0331,139.254,04-Apr,0.342,Jazz
Federico Aubele,Postales,5BBIXjMqYtLY9hdw7fJRLW,Jazz4,89408,34,0.145,0.723,247040,0.558,0.000574,G,0.294,-7.485,Major,0.0529,94.512,04-Apr,0.716,Jazz
Jamiroquai,Cosmic Girl,43gZ3o30uy5c2joM7w5qO0,Jazz4,83480,65,0.0261,0.633,244147,0.921,0.00102,B,0.309,-7.719,Minor,0.0495,119.865,04-Apr,0.925,Jazz
Bonobo,No Reason,6HicBL9RxtWwNK7sS2AHHU,Jazz6,66697,56,0.321,0.656,372319,0.589,0.532,F,0.104,-12.332,Minor,0.0493,121.003,04-Apr,0.155,Jazz
B-Side,Sky,4fpOXKIU9yRBoYkMhgJ24k,Jazz8,70152,36,0.26,0.461,164152,0.231,0.872,A,0.218,-8.386,Major,0.289,239.848,03-Apr,0.332,Jazz
Grant Green,"Jan Jan - Live At The Club Mozambique, Detroit/1971/Digitally Remastered 2006",1NCBOqUQ3vQi11vCwwViTr,Jazz6,177085,33,0.32,0.672,570853,0.63,0.7,A#,0.139,-9.152,Minor,0.0457,139.601,04-Apr,0.846,Jazz
empty_field,So Tender,6StOJ1kNRZIohusDxc9gIM,Jazz1,89480,59,0.818,0.373,305106,0.302,0.835,C#,0.171,-20.358,Minor,0.0376,86.925,04-Apr,0.35,Jazz
The Andrews Sisters,I Didn't Know The Gun Was Loaded - Single Version,4ZfQwNx3FlCN07cnUvekh3,Jazz4,37083,35,0.674,0.788,169160,0.324,0.0517304,A#,0.339,-11.588,Major,0.0601,114.506,04-Apr,0.963,Jazz
Billie Holiday,"Baby, I Don't Cry Over You",6eOoo1vO6jE1FiH3tVXu0o,Jazz7,93757,43,0.959,0.52,193053,0.113,2.55e-05,D#,0.152,-19.162,Major,0.051,160.258,05-Apr,0.51,Jazz
Benny Goodman,Where Or When,4gAV3sMEZn4lrfKPGARCqA,Jazz1,200533,40,0.991,0.467,200600,0.00861,0.141,A,0.104,-28.227,Minor,0.0343,103.515,04-Apr,0.104,Jazz
Con Funk Shun,Straight From The Heart,3x2n70GMYuJsSb6kb1nObc,Jazz8,140913,34,0.653,0.507,277560,0.332,0.296443,D,0.156,-9.975,Major,0.0254,140.592,04-Apr,0.541,Jazz
ØDYSSEE,MILANO,4CtA9FOOXtoiwV4KhVYbPl,Jazz2,62721,46,0.578,0.7,117290,0.452,0.768,F#,0.119,-5.969,Minor,0.0529,81.9,04-Apr,0.563,Jazz
Guru Griff,Cloudy,4mAnqyyXCauUnBkFRBke5f,Jazz8,75107,58,0.84,0.689,117209,0.226,0.965,C,0.11,-15.211,Major,0.0578,171.979,04-Apr,0.362,Jazz
Bob James,Just One Thing,6khDguAo8XXW1h0u7xofYk,Jazz4,109388,27,0.161,0.777,293273,0.554,0.321,C,0.111,-10.372,Minor,0.0336,139.967,04-Apr,0.683,Jazz
John Coltrane,Aisha,2tWuxvvRcWktviEt3IQOVv,Jazz7,216188,42,0.823,0.393,301184,0.183,0.117,E,0.106,-15.203,Minor,0.035,168.035,03-Apr,0.139,Jazz
