artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster
Eric Clapton,Love in Vain,4yjz1aazw6R8ZURpGbCAkp,116258,36,0.736,0.656,241907,0.605,0.0235,E,0.217,-7.899,Minor,0.0266,77.621,04-Apr,0.682,Blues,B1
Phish,Lawn Boy,1qJBUg6wq9JYe3T9rHMuUw,204804,22,0.596,0.626,151800,0.28,0.0162,E,0.109,-16.641,Major,0.0388,106.016,03-Apr,0.342,Blues,B5
Chris Robinson Brotherhood,The Music's Hot,6vPS75nWOKkuH5WTLD8hDc,45436,27,0.6,0.586,359987,0.359,0.00152,A,0.688,-11.031,Major,0.0369,87.608,04-Apr,0.6,Blues,B2
empty_field,Charlie Freak,1mggAh6xgnKUT6ukw3AU9A,210254,31,0.688,0.633,164853,0.537,0.119533,E,0.287,-12.827,Minor,0.0306,131.639,04-Apr,0.736,Blues,B1
The Animals,The Girl Can't Help It,2oRtG9p6yINHbo4uxRbP6c,183667,28,0.242,0.628,142653,0.939,0.000402,F,0.119,-5.027,Major,0.0855,101.969,04-Apr,0.882,Blues,B1
Molly Hatchet,Fall Of The Peacemakers,3HUYAh6tKW5bfmolSRjygE,31464,28,0.0692,0.244,292304,0.725,0.099,G,0.336,-11.619,Major,0.0404,163.498,04-Apr,0.559,Blues,B3
The Doobie Brothers,Disciple,7oYPCRpV3oPCl2fJ2Gud71,133877,32,0.0726,0.554,404907,0.662,0.705,D,0.126,-15.76,Major,0.0298,134.628,04-Apr,0.754,Blues,B6
Jefferson Airplane,In The Morning,6jTVRX5f1gXx9w7Vq1dlFW,176340,36,0.0959,0.433,380213,0.447,0.0317,A,0.0507,-12.874,Minor,0.0275,94.518,03-Apr,0.652,Blues,B5
The Cramps,Surfin' Bird,7JSR685hpFDqvTSNHeSKjL,168779,30,0.0307,0.364,307893,0.962,0.803,E,0.17,-7.738,Major,0.154,105.019,04-Apr,0.629,Blues,B6
Gov't Mule,Mr. High and Mighty,7buZF8dfQYYEjLmhPL4dSF,74556,29,0.000761,0.435,333520,0.872,0.0419,C#,0.266,-3.913,Major,0.0372,94.279,04-Apr,0.597,Blues,B3
A.C. Reed,She's Fine,6NzqidHS9hPiEpbC5LEFl6,59600,27,0.202,0.501,320645,0.44,0.00145,A,0.107,-14.466,Major,0.0372,82.489,04-Apr,0.868,Blues,B1
The White Stripes,You Don't Know What Love Is (You Just Do As You're Told),2bBSKXRsX0MDrMolVom4jy,136923,39,0.0233,0.427,234400,0.745,6.23e-05,D,0.183,-5.516,Major,0.049,83.96,04-Apr,0.562,Blues,B3
JJ Grey & Mofro,Brighter Days,2S0XH9R1BVZhbcy7j9yQbx,147711,39,0.108,0.55,480893,0.561,2.12e-06,A#,0.957,-7.84,Major,0.0385,103.466,04-Apr,0.384,Blues,B2
Grace Potter & The Nocturnals,Falling or Flying,36aAC5ZpEXu6BjLT0rDr7p,28335,25,0.0634,0.345,212952,0.339,0.000198,A,0.312,-9.701,Major,0.0316,138.146,04-Apr,0.109,Blues,B3
Gary U.S. Bonds,New Orleans,470PZEQc7PUnvhp73hSrJc,73117,22,0.216,0.567,177148,0.851,0.0826172,D,0.18,-7.643,Major,0.197,159.225,04-Apr,0.697,Blues,B4
Whitesnake,Give Me All Your Love - 2018 Remaster,5Cp7mTA2Piq65qWi8h71Q5,158699,33,0.000895,0.196,256196,0.936,0.000109,A,0.0827,-6.401,Minor,0.113,135.936,01-Apr,0.152,Blues,B3
Jerry Garcia,Dawg's Waltz,1AXMG1DXnkXlUufkMwcS9A,180952,25,0.829,0.585,272733,0.131,0.798,G,0.105,-17.706,Major,0.0393,87.55,04-Apr,0.35,Blues,B6
empty_field,Next To Me,4dz2HlGbb3owfHRi7EWR01,181782,19,0.237,0.653,301627,0.617,0.164,D,0.103,-6.117,Major,0.0402,185.644,04-Apr,0.696,Blues,B1
empty_field,Please Don't,6KDABpl64wpfl2Tygeim2l,28733,39,1.42e-06,0.319,252693,0.866,0.756,D,0.155,-4.722,Minor,0.0359,109.626,04-Apr,0.554,Blues,B6
X,The Once over Twice,0CAzT38ct3vgDW3p6yIzUe,120299,28,0.104,0.587,150867,0.744,0.00473,E,0.175,-6.471,Minor,0.0268,102.715,04-Apr,0.727,Blues,B1
empty_field,Tweezer - Reprise,6ICO15x60YUecFTl6BfaCk,91922,31,0.321,0.27,159733,0.928,0.691,G,0.193,-7.832,Major,0.0451,188.518,04-Apr,0.562,Blues,B6
ZZ Top,Balinese,2lqc2v750cfFJx6kvkUikn,52063,24,0.118,0.709,158400,0.709,1.11e-05,D,0.125,-12.023,Major,0.037,111.544,04-Apr,0.863,Blues,B1
