artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster
Lewis Black,Alternative Energy,0j3z1Uhj0y6lUg3uQuYywv,71798,22,0.645,0.635,217551,0.509,0.00148763,A#,0.721,-17.125,Minor,0.953,97.9928,03-Apr,0.361,Comedy,C3
empty_field,Group Therapy,4pbQqdxHDI1oJpKxEfHxvq,86150,19,0.691,0.514,212781,0.931,0.000691882,G#,0.812,-5.628,Major,0.919,80.328,04-Apr,0.358,Comedy,C2
Todd Barry,Two Drummers,6oNvmplQGUkmAh441Teows,173482,17,0.807,0.526,235035,0.329,3.91e-05,C#,0.165,-19.837,Major,0.924,98.06,04-Apr,0.426,Comedy,C3
Brian Regan,Words are Weird,2HGDmmq2G1TxjYXsE6Qfgx,160346,32,0.916,0.615,143602,0.766,0.00102837,D,0.844,-11.342,Major,0.941,127.371,03-Apr,0.0784,Comedy,C2
Kathleen Madigan,Banks,3L8FrRMimlHRgoQABRiTq9,121424,27,0.854,0.671,139673,0.833,0.00102837,G#,0.654,-5.049,Major,0.911,55.491,04-Apr,0.505,Comedy,C2
The Toilet Bowl Cleaners,I Pooped My Pants (in a Bowling Alley),1SBq0k9KckgVqXMnQQ0BMa,28463,20,0.693,0.441,140173,0.46,0.00790328,C,0.194,-11.703,Major,0.1,145.41,04-Apr,0.459,Comedy,C1
empty_field,Food - Spoken Word,4xa1ksCn11ZzqNuOJYqjUl,26351,27,0.902,0.729,132533,0.419,0.00102837,A,0.412,-13.39,Minor,0.925,65.952,04-Apr,0.447,Comedy,C3
Rory Scovel,Relax/Sit,1agnIhVMiRSQ91bmr2KGVX,45657,34,0.841,0.53,560971,0.644,0.00216929,C,0.586,-8.682,Minor,0.94,60.55,03-Apr,0.652,Comedy,C2
Comedian Bob Marley,Loons and Kayaks,4BiFH77T4UhJtIC9W4r35Z,45166,12,0.917,0.561,154960,0.289,0.000482461,C#,0.738,-17.724,Major,0.949,167.747,03-Apr,0.512,Comedy,C3
Matt Braunger,Bathroom Graffiti,6jTEMEb03yyQAqnGepk5Kp,183581,21,0.867,0.57,152467,0.723,0.000482461,F#,0.822,-6.048,Major,0.712,96.205,03-Apr,0.583,Comedy,C2
empty_field,Witch Burning,0JgMHia55MBfhfqZIRi3kF,93061,14,0.849,0.649,167160,0.315,0.00100914,F,0.697,-16.819,Minor,0.923,115.688,04-Apr,0.444,Comedy,C3
Moshe Kasher,Jewmany,3NIgZcptBrGIgGHdrsxIEC,88016,16,0.877,0.689,42136,0.579,0.000763723,F,0.889,-11.888,Major,0.937,126.31,03-Apr,0.949,Comedy,C3
Tom Papa,The Bus,0WQvBSn1M3XZOwAINZcv8F,58364,14,0.811,0.429,152177,0.884,0.00107472,A,0.955,-8.726,Major,0.79,87.579,04-Apr,0.675,Comedy,C2
Adam Ferrara,Ghost Dad,6q93Jau7PPkZQG3YOf36Tz,106171,18,0.696,0.429,223818,0.947,0.0010665,B,0.744,-8.543,Major,0.839,73.426,04-Apr,0.485,Comedy,C2
George Carlin,Telephone Mimes,3ZIKrenBFPOU8dnpU4UuJ6,210051,29,0.845,0.5,69627,0.938,0.000435326,A,0.888,-13.204,Major,0.912,93.244,04-Apr,0.139,Comedy,C2
Paul Mooney,OJ Pt 8,47raoKAFAfi4TjKCVLpChC,68684,15,0.726,0.687,72307,0.491,0.000435326,B,0.877,-14.971,Minor,0.95,77.441,01-Apr,0.875,Comedy,C3
empty_field,My Letter to Hank,64ybTt8CKxPdeXBNnu08Op,113156,31,0.931,0.484,196793,0.67,0.00102294,F,0.736,-10.038,Major,0.881,92.785,04-Apr,0.377,Comedy,C2
Jackie Kashian,Tantric Sex,3sSv9GZ8wnawrk9U5cRHlN,72549,12,0.801,0.711,178720,0.717,0.000911604,A,0.699,-6.728,Major,0.837,126.539,04-Apr,0.698,Comedy,C3
