artist_name,track_name,track_id,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,Cluster
empty_field,World News,18nTHX1dgL1R3fxxOEvTpK,41581,42,0.0106,0.544,254869,0.813,0.377,E,0.345,-8.871,Major,0.0398,121.892,04-Apr,0.579,Folk,F1
Frightened Rabbit,Keep Yourself Warm,597dz7YS9aUKQCBdFDahlZ,112136,43,0.00363,0.261,333027,0.572,0.00134,G,0.158,-5.48,Major,0.0323,114.052,04-Apr,0.0382,Folk,F1
empty_field,All I Wanted,5nzEilkVhvnCD0xpW3raTy,128900,40,0.835,0.501,201800,0.176,0.000629,F,0.106,-12.868,Minor,0.0338,110.672,04-Apr,0.125,Folk,F3
Elizabeth Mitchell,"Little Bird, Little Bird",0hihLCB6tescIIqSjujfa1,173682,41,0.96,0.487,189405,0.223,0.00711,C,0.121,-17.7,Minor,0.367,175.357,04-Apr,0.641,Folk,F5
The Paper Kites,Don't Keep Driving,0FZmAvivvifvtN3pZScbw1,196905,45,0.349,0.349,264978,0.499,0.756,F#,0.127,-6.832,Major,0.029,113.476,04-Apr,0.115,Folk,F4
Norah Jones,Painter Song,4Gll5NDxtVyLM89pz6zut9,174273,51,0.838,0.547,162240,0.0579,1.46e-06,A,0.0976,-15.964,Major,0.0416,79.633,04-Apr,0.371,Folk,F3
Broken Bells,Medicine,0mFgfBwcbZjAxf6bZHVsuh,119558,47,0.18,0.765,254869,0.686,0.000837,B,0.153,-7.191,Minor,0.0367,122.021,04-Apr,0.569,Folk,F6
Lights,Meteorites,51FpzuGkRYXFgsE2zXt9av,20537,40,0.769,0.453,307707,0.317,4.45e-05,E,0.11,-8.464,Major,0.0272,78.169,04-Apr,0.101,Folk,F3
empty_field,Famous Blue Raincoat,7KbAmLLyIfQ33RfbaoPIGc,22914,61,0.948,0.474,310773,0.0404,0.000263,A,0.111,-22.208,Minor,0.0387,119.415,03-Apr,0.18,Folk,F3
empty_field,Bloodbuzz Ohio,7LAhKXDNWwq3CmnFP3UIOP,185514,58,0.0554,0.39,287319,0.834,0.18,A,0.103,-6.367,Major,0.0444,157.077,04-Apr,0.684,Folk,F1
Bob Dylan,Hurricane,2r7WM2Ow8IrskEkfE7IX6m,157427,69,0.0409,0.509,203942,0.827,0.0840408,C,0.12,-7.715,Major,0.079,135.601,04-Apr,0.743,Folk,F6
Patrick Watson,Love Songs For Robots,3gnZ5IguvkLCAGVKJdHD7n,85353,50,0.915,0.419,217606,0.237,0.807,F#,0.123,-14.936,Major,0.0334,117.069,04-Apr,0.082,Folk,F4
Wild Child,Follow Me,6gU7ohksNd6LsEJMWfDRhp,154742,44,0.591,0.444,211120,0.376,0.0476,C,0.0884,-13.598,Major,0.0687,92.019,04-Apr,0.0798,Folk,F3
empty_field,Nonbeliever,2x91iJc0UkFcjRMEZ2CoWB,57523,46,0.174,0.359,220020,0.515,0.000214,D,0.102,-6.793,Major,0.0362,129.394,04-Apr,0.188,Folk,F1
Lucinda Williams,Are You Alright?,5JEx7HbmvHQQswJCsoo9rA,21109,46,0.265,0.603,318293,0.43,0.000378,B,0.101,-8.875,Major,0.0291,119.173,04-Apr,0.346,Folk,F1
Death Cab for Cutie,Grapevine Fires,6YQqilJQTaUBJZ5rPDGvw6,84119,51,0.699,0.619,237037,0.427,0.00238,A#,0.0823,-10.737,Major,0.04,61.75,04-Apr,0.436,Folk,F3
Raffi,Owl Singalong,0XlEW7JnVJKgIs1jePjiyj,73572,47,0.923,0.671,183520,0.188,0.000476,G,0.129,-11.378,Major,0.0411,125.729,04-Apr,0.69,Folk,F3
Gregory Alan Isakov,"That Sea, the Gambler",1Pv9XvvQE3KXs66DWKOhmy,152815,40,0.38,0.379,286665,0.367,0.00809,B,0.0975,-9.7,Minor,0.0299,117.527,04-Apr,0.11,Folk,F1
The Paper Kites,A Silent Cause,5c9qm0bMYawSyRNUTmUMs5,160286,43,0.939,0.387,263827,0.218,0.0221,B,0.109,-15.858,Major,0.0393,179.939,04-Apr,0.371,Folk,F3
Daniel Johnston,Story Of An Artist,7mLc9790N1V1HKUvKJAY1C,104599,44,0.986,0.408,311547,0.316,0.231,C,0.332,-10.771,Major,0.0416,106.133,04-Apr,0.671,Folk,F3
empty_field,Wildflowers,3NrAMPb3hlWCmw9kepqBmM,30329,67,0.588,0.537,190320,0.315,2.29e-05,F,0.206,-13.79,Major,0.0271,86.813,04-Apr,0.575,Folk,F3
empty_field,Back Pack,5xyACR2lzIyzFepF4qlAas,90104,38,0.0847,0.619,257652,0.371,0.00116,A,0.138,-8.409,Minor,0.0278,74.726,04-Apr,0.253,Folk,F1
The Paper Kites,Tenenbaum,1mqydO6xMtyTPa8yo1SdVr,171076,46,0.884,0.498,219080,0.176,0.564,C#,0.103,-18.46,Major,0.0378,88.791,04-Apr,0.438,Folk,F4
empty_field,Here with Me,4iMvhikzBaRPxmlI2Uo9Kj,171588,59,0.702,0.582,246662,0.375,0.0631,C#,0.136,-13.277,Minor,0.0329,117.351,04-Apr,0.106,Folk,F3
Jimmy Buffett,Fruitcakes,3LSY9s9h6RmHRTXOtRA5oK,163834,41,0.32,0.702,459867,0.729,0.133266,G,0.0605,-8.558,Major,0.216,159.923,04-Apr,0.926,Folk,F5
