artist_name,track_name,track_id,Cluster,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Gaetano Donizetti,"La fille du régiment / Act 1: ""Sacré nom d'une pipe!""",0Zce24eeoF7cTpbgOFRq6T,opera6,115156,16,0.96,0.417,130533,0.182,7.71e-06,G,0.262,-19.608,Major,0.224,124.759,04-Apr,0.108,Opera
Giacomo Puccini,La Bohème: Che gelida manina! (Rodolfo) (1997 Digital Remaster),1EfjY8x3K9JbMwm8EhicpI,opera7,140883,25,0.987,0.171,301600,0.113,0.000291,G#,0.208,-16.151,Major,0.0398,85.874,03-Apr,0.0706,Opera
Giuseppe Verdi,Aida (1997 Digital Remaster): Chi mai fra gl'inni e i plausi,5ZEYrrqlqL5Z5BWpakBb1S,opera2,62600,8,0.993,0.277,279842,0.0726,0.0896,G,0.159,-25.541,Minor,0.0484,96.05,04-Apr,0.0464,Opera
Philharmonia Orchestra,"Rigoletto (1996 Digital Remaster), Act 3: La donna è mobile",68wibJU4yMiqNX79IaLAsN,opera8,156965,4,0.995,0.454,119760,0.00331,0.951,A,0.121,-36.652,Major,0.0466,81.87,04-Apr,0.659,Opera
Friedrich von Flotow,Martha oder Der Markt zu Richmond: M'appari tut amor,0ykOwUlNIOejwOOSylGlQs,opera7,93128,4,0.993,0.263,211773,0.234,9.42e-06,C,0.138,-10.664,Major,0.038,94.9473,04-Apr,0.125,Opera
Giacomo Puccini,"Puccini: La rondine, Act 2: ""Nella trepida luce d’un mattin"" (Una voce interno, Un uoma che fischia)",1zkXUXNHpYQTcXZAaZbeEp,opera2,99269,6,0.852,0.173,83733,0.00306,5.85e-06,C#,0.093,-45.539,Major,0.0399,61.05,03-Apr,0.0701,Opera
Renata Tebaldi,Addio del passato - La traviata Atto III,0QrSTdUHiYrNZDDh8nYyqT,opera2,51373,15,0.962,0.237,287560,0.111,0.000102,E,0.21,-19.58,Minor,0.0582,79.817,05-Apr,0.0426,Opera
Richard Wagner,"Flying Dutchman, Overture",4WIuXVJJxyvBWmpxLqE1Mo,opera3,183279,2,0.921,0.145,630720,0.151,0.897,G,0.255,-18.008,Major,0.0433,170.861,04-Apr,0.0366,Opera
Francesco Cavalli,"La Calisto: Atto I, scena 14. Calisto: ""Piante ombrose""",4Kdu9AlfQyu0o6r2ozCMTc,opera5,52507,11,0.914,0.185,147733,0.0474,0.113066,C,0.575,-20.091,Major,0.0494,178.118,05-Apr,0.0779,Opera
Gaetano Donizetti,"Donizetti: La fille du Regiment: Qu'ai-je vu? Un soldat ici! - Marquise, Sulpice, Tonio - Act Two",3UXQEfdcI6MWoNFUQ2uXYg,opera6,76032,4,0.951,0.42,246557,0.0965,0.0679598,C,0.703,-28.409,Major,0.258,101.16,03-Apr,0.148,Opera
Thomas Quasthoff,Nice 'N' Easy,3SXqsPn8xcF3v1pnO1Yrxn,opera1,41689,29,0.713,0.547,205687,0.354,3.88e-05,D,0.0939,-10.591,Minor,0.0419,119.224,04-Apr,0.432,Opera
empty_field,"La Gioconda / Act 2: ""Cielo e mar"" - Remastered",3dLiBBKbeUIhzGNeuo5JGS,opera5,60985,11,0.958,0.196,276000,0.185,0.10211,D#,0.109,-16.011,Major,0.0427,177.712,03-Apr,0.181,Opera
Giacomo Puccini,Gianni Schicchi: Ecco la cappellina!,0vDBNWI0uXf7dNkiiX2P5z,opera2,138802,12,0.971,0.338,203175,0.0851,4.38e-05,F,0.303,-25.84,Major,0.0729,86.552,03-Apr,0.0894,Opera
empty_field,O Salutaris Hostia,4On5fc0VFSsmXGe9x7BftT,opera5,41755,11,0.992,0.171,335498,0.104,0.0523,F#,0.118,-26.282,Minor,0.0469,142.894,05-Apr,0.0384,Opera
Adolphe Adam,No. 8 Pas de Deux (Giselle & Albrecht),4XUDJDLrfHt0KlPWJa27OS,opera5,56033,15,0.979,0.431,125706,0.00585,0.0123,G#,0.0969,-28.477,Major,0.0372,129.751,04-Apr,0.196,Opera
Gioachino Rossini,Il barbiere di Siviglia: All'idea di quel metallo (Live),5kTBiVnjq9xKmZL9dNs8zL,opera4,65863,11,0.941,0.441,496787,0.169,1.48e-06,G,0.676,-21.429,Major,0.108,136.491,04-Apr,0.302,Opera
Giacomo Puccini,"La Bohème, Act I: Ho ghiacciate le dita (Marcello, Rodolfo, Colline)",4sqZAKBTC4a2x1Ivil7h36,opera7,86624,15,0.98,0.334,229200,0.221,0.00399,B,0.122,-17.479,Major,0.0963,97.1637,04-Apr,0.244,Opera
empty_field,"Massenet: La Vierge, Part 4: Le dernier sommeil de la Vierge (Last Sleep of the Virgin)",2CpIDL31uBctF5kSh1DvNe,opera3,39668,10,0.977,0.153,206809,0.059,0.78,G,0.0848,-27.427,Major,0.0424,94.67,03-Apr,0.069,Opera
Giuseppe Verdi,"Rigoletto, Act I: Giovanna, ho dei rimorsi",3ghXwIS6cr3P5InauKlqFy,opera2,20860,11,0.942,0.326,281456,0.128,0.0811625,D,0.148,-17.784,Major,0.0666,71.223,03-Apr,0.134,Opera
Jules Massenet,"Werther / Act 3: ""Va! Laisse couler mes larmes""",4XP4FH4AJi68w9bUW6ndOu,opera2,91508,13,0.99,0.172,332176,0.0529,0.0605,G,0.0861,-23.845,Minor,0.048,86.292,04-Apr,0.0345,Opera
empty_field,"Faust, CG 4, Act II: Act II: Le veau d'or est toujours debout (Mephistopheles, Chorus)",1k9RH6F1RuWSeP5Nw4PMJN,opera6,201473,8,0.984,0.561,175524,0.459,0.000486,C,0.676,-17.611,Minor,0.515,112.164,04-Apr,0.383,Opera
Giuseppe Verdi,"Macbeth, Act II: Si colmi il calice (Live)",1LJdXxqYLqC1hP7dqawFBS,opera8,181157,11.8889,0.919,0.477,119800,0.169,0.0655518,A#,0.139,-18.076,Major,0.129,119.912,04-Apr,0.419,Opera
Tullio Serafin,La Wally (1997 Digital Remaster): Ebben?...Ne andrò lontana,0R7PBooCMiE4gJlE8pEpi6,opera2,64036,10,0.98,0.151,294973,0.104,0.065,E,0.243,-15.048,Major,0.0435,80.826,04-Apr,0.0381,Opera
Gioachino Rossini,"La Cenerentola / Act 2: Ah, signor, s'è ver che in petto",3HeGmDq62kDDsJT5q7qyDS,opera7,54750,11,0.98,0.34,322533,0.258,0.00124,A#,0.0598,-17.113,Major,0.139,77.273,04-Apr,0.223,Opera
Gaetano Donizetti,"Lucia di Lammermoor: ""Spargi d'amaro pianto"" (Alastair Miles, Anthony Michaels-Moore, Coro, Andrea Rost)",5KaEIEmNRXDUEkshfwdUvc,opera4,198403,6,0.914,0.377,268644,0.15,5.58e-05,F,0.658,-16.882,Major,0.0769,94.6651,03-Apr,0.0809,Opera
Jacques Offenbach,Gaîté parisienne : Polka,1x2l87hu1rrlS7xCBEy6Nk,opera8,188236,8,0.899,0.473,78840,0.112,0.0699,F,0.273,-21.56,Minor,0.0477,166.956,04-Apr,0.494,Opera
Richard Wagner,"Die Walkure, WWV 86B: Act I: Kuhlende Labung gab mir der Quell (Siegmund, Sieglinde)",2SYvX2G6D5SD6BpijIOBpG,opera7,205341,6,0.954,0.238,308707,0.201,8.63e-05,F,0.258,-16.104,Major,0.0384,102.028,03-Apr,0.114,Opera
Luciano Pavarotti,La strada del bosco,33EkERURm0CQE5imnxBY3k,opera5,189318,10,0.962,0.283,208200,0.307,8.81e-06,D,0.348,-13.776,Major,0.0466,145.165,03-Apr,0.298,Opera
Antonio Caldara,Come raggio di sol,2d0vfUmGzDVEZtEWvPkqPo,opera2,213356,13,0.986,0.156,162400,0.152,0.0287,C,0.167,-18.955,Minor,0.0433,84.842,04-Apr,0.0384,Opera
Gioachino Rossini,Overture Matilde di Shabran,1tiRYDcaGpY00I903sN6bu,opera1,143859,13,0.741,0.331,594040,0.17,0.619,A,0.11,-19.876,Major,0.0545,141.924,04-Apr,0.158,Opera
Georges Bizet,"Les pêcheurs de perles: Je crois entendre encore, caché sous les palmiers",7qCAVkHWZkF44OzOUKf8Cr,opera3,188341,11,0.831,0.121,240560,0.191,0.697,A,0.122,-19.706,Minor,0.0356,93.266,04-Apr,0.0383,Opera
empty_field,"12 Trio Sonatas, Op. 1, Sonata XII in B-Flat Major, Tal M I, 12: I. Grave, adagio",3OZbFDjb8PcmW3WUfZGv9L,opera2,37368,9,0.954,0.168,257191,0.0521,0.00251,A#,0.118,-19.563,Major,0.0387,82.182,04-Apr,0.143,Opera
Georges Bizet,Carmen Suite No. 1: Prélude. Andante moderato (Prelude to Act I),4x7MtLQahQnGNt75jWt752,opera7,139293,18,0.91,0.154,72813,0.242,0.899,A#,0.101,-14.544,Major,0.0324,89.3553,04-Apr,0.0759,Opera
empty_field,"Tosca / Act 1: ""Ah! Finalmente!""",5PaQkcDTFaIpxhCq2HMbN2,opera2,88204,8,0.95,0.239,140267,0.104,0.398,D,0.3,-20.825,Minor,0.0447,90.859,04-Apr,0.038,Opera
Richard Wagner,"Das Rheingold, WWV 86A, Scene 1 (Highlights): Weia! Waga! Woge, du Welle!",3h5bLveJTRUPSzvNqAy2hS,opera7,191901,28,0.863,0.397,89373,0.212,1.4e-05,C,0.131,-24.143,Major,0.039,92.53,04-Apr,0.118,Opera
Gaetano Donizetti,"La fille du régiment / Act 1: ""Ah! mes amis, quel jour de fête!""",53BZ6XygAoubR5DU5w38Vq,opera8,150177,45,0.978,0.443,103867,0.308,0.00312,D#,0.198,-14.819,Major,0.0858,85.464,04-Apr,0.502,Opera
Felicity Lott,"Allerseelen No. 8, Op. 10",5mKB2ImeCdfKrJcqVm1jtA,opera2,205991,5,0.99,0.355,211693,0.0643,7.99e-05,D#,0.117,-21.049,Major,0.0522,34.308,04-Apr,0.0367,Opera
Andreas Scholl,Quando Corpus,77VoVeeYoVio9EFeaJo7Sd,opera2,30057,23,0.993,0.219,177834,0.0606,0.076,D,0.186,-17.95,Minor,0.04,99.2529,03-Apr,0.0742,Opera
empty_field,La gazza ladra: Vieni fra queste braccia,5ELZpvTDGorz9BIE9zaBoZ,opera8,23834,6,0.976,0.413,367306,0.229,0.00995,D,0.0683,-17.208,Major,0.0469,122.314,04-Apr,0.3,Opera
Giuseppe Verdi,Rigoletto: Prelude,70mbTp5eRiQ6tfRp9ucETi,opera3,204787,23,0.97,0.254,126947,0.0532,0.828,G,0.104,-21.944,Major,0.0337,68.239,04-Apr,0.0338,Opera
empty_field,"Don Carlo - 1886 Modena version / Act 4: ""O don fatale""",3mAZgCQgEEjvlojjbjy7up,opera5,180017,18,0.967,0.213,283493,0.125,0.00061,G#,0.173,-16.651,Major,0.0615,177.051,01-Apr,0.045,Opera
