Selected (1),artist_name,track_name,track_id,Selected (2),Selected,instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
No,empty_field,A Knife in the Dark,71rcvcZWR31Msh0l4Gnr8W,No,No,103681,51,0.9,0.119,,0.369,0.784,A#,0.14,-15.537,Major,0.0529,75.039,05/4,0.0431,Classical
No,empty_field,"Má vlast (My Country): No. 1, Vyšehrad",5XOstrokznSLNZtDomATss,No,No,184293,29,0.929,0.176,,0.0325,0.895,D#,0.132,-22.866,Major,0.0387,103.136,03/4,0.039,Classical
No,empty_field,"Lieder ohne Worte, Op.62 - Arr. Fritz Kreisler: 6. Frühlingslied",2iK2ndZOt0IBdKb7aJFZau,No,No,217808,30,0.976,0.209,140160,0.0763,0.44,A,0.0841,-24.067,Major,0.0683,173.973,04/4,0.303,Classical
No,empty_field,Flos florum,1wKbemG5DPIVxtTQ1pmlOD,No,No,160228,27,0.993,0.11,233147,0.142,0.000466,G#,0.0962,-19.657,Major,0.0521,77.558,03/4,0.0721,Classical
No,empty_field,"Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto",5aK019ld6aJZVjAXaoNxfa,No,No,198178,25,0.995,0.38,220040,0.181,0.777,G,0.177,-21.9,Minor,0.0498,,03/4,0.764,Classical
No,empty_field,"Schubert: Piano Trio in E-Flat Major, D. 929: II. Andante con moto",7079nY1EuvdfIxaMYaTjR9,No,No,125550,41,0.966,0.232,558720,0.0529,0.361,C,0.0978,-18.353,Minor,0.041,87.996,04/4,0.0863,Classical
No,empty_field,Desire (Chilling Chambers),4X54KaM10Ajx7n5LdlQIkq,No,No,123696,0,0.382,0.575,265500,0.712,0.214,D,0.0995,-9.205,Minor,0.0672,173.997,04/4,0.23,Classical
No,empty_field,Una Pàgina per Chopin,4nZ3CyKxICt9TMBzSVMavf,No,No,54547,35,0.985,0.4,139280,0.0141,0.881,G#,0.147,-26.638,Major,0.0407,136.232,03/4,0.147,Classical
No,empty_field,Gavota al estilo antiguo,74n1o99L9vL35BGztesx1O,No,No,68444,0,0.994,0.518,126667,0.0403,0.9,B,0.1,-30.929,Minor,0.0491,77.556,04/4,0.46,Classical
No,empty_field,Symphony No. 5 in C-Sharp Minor (arr. J. Gribben for piano),7mKJEzvBy4PfuDrUzAlfcv,No,No,21049,32,0.994,0.45,599453,0.0031,0.934,F,0.0787,-24.947,Major,0.0586,70.53,04/4,0.0582,Classical
