Selected,instance_id,track_name,track_id,Selected (1),popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name
No,11,Tattoo,4K4kedXFAuW6gn8iwgGFTw,No,65.0,0.431,0.5660,233467.0,0.766,,D,0.1010,-5.036,Major,0.0399,168.005,04-Apr,0.5470,empty_field
No,12,"Macbeth, Act I: Al cader della sera",6ZYy5Z5E03reWlt3hZuvXn,No,12.0,0.964,0.5410,68093.0,0.266,0.0736,E,0.2130,-20.583,Major,0.2820,90.884,04-Apr,0.0735,empty_field
No,15,Mind Playing Tricks on Me,4nRDuNRzKaEgBzHSLLlsG8,No,65.0,0.207,0.8860,308733.0,0.512,,A#,0.0991,-11.825,Minor,0.2370,,04-Apr,0.4540,empty_field
No,26,Nugget,2CjCVtzgjrlUiHFPCHMviA,No,45.0,0.0376,0.5950,,0.715,0.00203,F#,0.1200,-8.315,Major,0.0310,95.701,04-Apr,0.8490,empty_field
No,27,Five Variants of ‘Dives and Lazarus’,11ez79LHMqY2vDkt5OXQIz,No,37.0,0.915,0.1500,694720.0,0.0625,0.928,B,0.1100,-20.646,Minor,0.0355,70.790,04-Apr,0.1230,empty_field
No,31,Friday Tonight,5956I4W6Ck4sfVZMMTokpc,No,35.0,0.00054,0.4470,207094.0,0.901,5.19e-06,C#,0.1170,-4.088,Major,0.0512,155.984,04-Apr,0.6080,empty_field
No,46,Métele Sazón,5e574bhjycX1eH2l4Auage,No,57.0,0.526,0.8470,242574.0,0.663,0.00148,D,0.0736,-8.000,Minor,0.0533,,04-Apr,0.9140,empty_field
No,47,Stupid & Stupider,2svPB0R2BhNZ0v6zDftrbL,No,13.0,0.874,0.5470,,0.721,,C#,0.3860,-9.899,Minor,0.9600,176.248,05-Apr,0.5430,empty_field
No,63,Shame In Dem Game,2YxoC2dYOotjqt08dEifsc,No,26.0,0.11,0.4460,,0.743,0.0118,B,0.1550,-5.004,Major,0.1240,,04-Apr,0.8300,empty_field
No,77,Off I Go - 2010 Mix,7bBgnv7xUbujJRp4RJJX8Y,No,49.0,0.479,0.5270,258667.0,0.748,0.624,B,0.1140,-7.602,Major,0.0300,130.009,04-Apr,0.1120,empty_field
No,79,Disneyland,6D1CstH1YvzNN8cPd9ay9Q,No,15.0,0.828,0.3760,235667.0,0.669,1.99e-06,E,0.7380,-15.160,Major,0.9440,53.222,04-Apr,0.3500,empty_field
