instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
103681,Howard Shore,A Knife in the Dark,71rcvcZWR31Msh0l4Gnr8W,51,0.9,0.119,,0.369,0.784,A#,0.14,-15.537,Major,0.0529,75.039,05/4,0.0431,Classical
184293,Bedřich Smetana,"Má vlast (My Country): No. 1, Vyšehrad",5XOstrokznSLNZtDomATss,29,0.929,0.176,,0.0325,0.895,D#,0.132,-22.866,Major,0.0387,103.136,03/4,0.039,Classical
217808,empty_field,"Lieder ohne Worte, Op.62 - Arr. Fritz Kreisler: 6. Frühlingslied",2iK2ndZOt0IBdKb7aJFZau,30,0.976,0.209,140160,0.0763,0.44,A,0.0841,-24.067,Major,0.0683,173.973,04/4,0.303,Classical
160228,Guillaume Dufay,Flos florum,1wKbemG5DPIVxtTQ1pmlOD,27,0.993,0.11,233147,0.142,0.000466,G#,0.0962,-19.657,Major,0.0521,77.558,03/4,0.0721,Classical
198178,Johann Sebastian Bach,"Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto",5aK019ld6aJZVjAXaoNxfa,25,0.995,0.38,220040,0.181,0.777,G,0.177,-21.9,Minor,0.0498,,03/4,0.764,Classical
125550,Franz Schubert,"Schubert: Piano Trio in E-Flat Major, D. 929: II. Andante con moto",7079nY1EuvdfIxaMYaTjR9,41,0.966,0.232,558720,0.0529,0.361,C,0.0978,-18.353,Minor,0.041,87.996,04/4,0.0863,Classical
123696,empty_field,Desire (Chilling Chambers),4X54KaM10Ajx7n5LdlQIkq,,0.382,0.575,265500,0.712,0.214,D,0.0995,-9.205,Minor,0.0672,173.997,04/4,0.23,Classical
54547,empty_field,Una Pàgina per Chopin,4nZ3CyKxICt9TMBzSVMavf,35,0.985,0.4,139280,0.0141,0.881,G#,0.147,-26.638,Major,0.0407,136.232,03/4,0.147,Classical
68444,Agustín Barrios Mangoré,Gavota al estilo antiguo,74n1o99L9vL35BGztesx1O,,0.994,0.518,126667,0.0403,0.9,B,0.1,-30.929,Minor,0.0491,77.556,04/4,0.46,Classical
21049,empty_field,Symphony No. 5 in C-Sharp Minor (arr. J. Gribben for piano),7mKJEzvBy4PfuDrUzAlfcv,32,0.994,0.45,599453,0.0031,0.934,F,0.0787,-24.947,Major,0.0586,70.53,04/4,0.0582,Classical
119610,Howard Shore,The Paths Of The Dead,6nTeQGE4xXarl892zLDSuq,36,0.619,0.0607,382213,0.148,0.942,E,0.105,-21.983,Minor,0.0384,60.144,03/4,0.0343,Classical
107474,empty_field,Intermission* - Instrumental,4TyCnstYu6LGrjka5WW6ft,26,0.909,0.263,88693,0.114,0.426,G,0.336,-16.946,Major,0.0392,53.969,05/4,0.15,Classical
24840,empty_field,"Rimsky Korsakov: Scheherazade, Op. 35: II. The Story of the Kalender Prince (Opening)",5fi2bhWaJMj7I3DmoQAF0x,38,0.974,0.176,233067,0.0317,0.718,B,0.353,-24.978,Minor,0.0448,145.834,03/4,0.0387,Classical
166437,empty_field,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",3LUv3LsFPaU6fiFdds8O5c,32,0.975,0.467,,0.169,0.243,A,0.0571,-16.437,Minor,0.0491,112.867,04/4,0.473,Classical
72697,empty_field,"Sleeping Beauty: Valse, Act I, No. 7",45vlODqHQXuL5bIlhCj0Ua,30,0.947,0.235,,0.115,0.891,A#,0.335,-17.849,Major,0.0343,91.241,01/4,0.314,Classical
25164,empty_field,"Franck / Arr. Kenner: Mass in A Major, Op. 12, FWV 61: V. Panis Angelicus",4IGVwhevPXhdGIvmfH9OST,50,0.979,0.19,262367,0.0399,0.504,G,0.0912,-26.843,Major,0.0461,83.33,04/4,0.102,Classical
198990,empty_field,"Requiem, Op. 48: III. Offertoire",3WW63E8a8JLIAHMiatELLb,36,0.967,0.0884,443360,0.025,0.517,D,0.086,-30.84,Major,0.0453,77.899,04/4,0.0361,Classical
71265,empty_field,"Mattinata, Op. 5",78QR3Wp35dqAhFEc2qAGjE,37,0.919,0.37,117600,0.257,0.000957,E,0.274,-15.982,Major,0.0418,71.521,03/4,0.216,Classical
118683,Wolfgang Amadeus Mozart,"Piano Concerto No. 14 in E-Flat Major, K. 449: II. Andantino (Live)",2KdT8BSu7sViL2G5vQiWB6,,0.989,0.274,,0.0363,0.922,A#,0.286,-25.909,Major,0.0355,80.816,04/4,0.107,Classical
89015,Wolfgang Amadeus Mozart,"Adagio & Rondo in C Minor, K. 617: Adagio - Allegretto",3seqZSBT8ZMijMY9sZd26M,,0.988,0.239,,0.0507,0.951,C,0.102,-25.351,Minor,0.0526,71.638,04/4,0.141,Classical
73390,Daniel Barenboim,"Piano Trio No. 7 in B-Flat Major, Op. 97 ""Archduke"": III. Andante cantabile ma pero con moto",3t3CpReqAorp7aHnmQlKRl,,0.98,0.154,844893,0.0468,0.427,D,0.139,-27.463,Major,0.0424,85.241,04/4,0.0783,Classical
96146,Alexander Borodin,String Quartet No.2 in D: 3. Notturno,1DOK4imxjjUaPWxUQUqHL1,42,0.916,0.169,491706,0.0913,0.454,A,0.174,-22.681,Major,0.0499,86.565,04/4,0.124,Classical
197165,Georg Philipp Telemann,"Flute Sonata in D Minor, TWV 42:d10: I. Allegro",4gv9eyEf7cXViNTBXS2g5C,7,0.872,0.416,156000,0.477,0.00259,C#,0.117,-15.716,Minor,0.0377,113.891,04/4,0.897,Classical
153656,Herbert von Karajan,"Symphony No. 9 in D Minor, Op. 125 - ""Choral"": 4g. Allegro ma non tanto - Live",54MfpKIghljr13BWsJcBlf,31,0.99,0.224,148720,0.27,0.00469,D,0.301,-15.215,Major,0.0439,,01/4,0.176,Classical
62814,Yo-Yo Ma,"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009: Prélude",51cd3bzVmLAjlnsSZn4ecW,34,0.983,0.344,198853,0.172,0.828,B,0.16,-21.778,Minor,0.0459,96.526,04/4,0.315,Classical
195667,empty_field,Impossible Things,2YeQXd9dU7HmWtrUHCU6ba,33,0.251,0.258,431733,0.726,0.762,E,0.342,-6.891,Minor,0.0467,66.689,04/4,0.232,Classical
66114,empty_field,"Songs without Words for Piano, Book 2, op.30: No.6: Venetian Gondolera Song (""Venezianisches Gondellied"")",7wfvl1kiZJNvhx6HNTyefX,28,0.994,0.353,169123,0.0128,0.91,A,0.0753,-29.942,Major,0.0474,72.008,03/4,0.202,Classical
156221,Sergei Prokofiev,"Romeo and Juliet, Op. 64 (Excerpts): Act III, Scene 1, No. 39: Farewell before the Parting",0UtBjb4YUMbbtIKNXUeCLx,22,0.91,0.107,297587,0.0331,0.69,C,0.166,-30.047,Major,0.0389,82.977,04/4,0.0389,Classical
101223,empty_field,Ponce: Balada Mexicana,454I78HEySdcHE8fcVabTb,46,0.992,0.257,418547,0.0755,0.882,A,0.0765,-22.485,Major,0.037,170.322,04/4,0.0803,Classical
