Selected,track_id,artist_name,track_name,RF_genres,instance_id,actual_genre,pre_dictated_genre
No,2AGgputZd6NC15fPhZdhcN,"""Weird Al"" Yankovic","The Saga Begins (Lyrical Adaption of ""American Pie"")",Alternative,105270,Comedy,Comedy
No,2MQDrjY4ctqsJGW6onC0AK,2 LIVE CREW,We Want Some P--sy,Alternative,127311,Hip-Hop,Jazz
No,4tCGZnzvMXlHuXaNolq59W,3 Doors Down,Behind Those Eyes,Alternative,190256,Alternative,Alternative
No,79PaeaCZXyeu2C5XeSBzIv,3 Doors Down,Loser,Alternative,161849,Alternative,Alternative
No,7aMCvxtZjV2gW1FppEF5HY,311,Prisoner,Alternative,213855,Alternative,Alternative
No,2YWUATrDLFrMIdR3sonGcb,311,Sunset in July,Alternative,51365,Alternative,Alternative
No,6XEPmHllDGDaO4w84Xjtgi,7eventh Time Down,Only King Forever,Alternative,177698,Alternative,Alternative
No,18ZOH3KKu5Elt5ysocFyX4,A Perfect Circle,Delicious,Alternative,213495,Alternative,Alternative
No,2ee8NO9JDSFOkPIMwYCtvg,A Tribe Called Quest,After Hours,Alternative,35684,Jazz,Jazz
No,6tble8E1fhOspUFyG3gL7D,AFI,Dancing Through Sunday,Alternative,138604,Alternative,Alternative
No,7hYNiRuL7FvsWVBuE3JkYA,Aaron Lewis,Granddaddy's Gun,Alternative,114398,Alternative,Alternative
No,468JxslZqap6NNgl45018a,Aaron Lewis,That Ain’t Country,Alternative,49882,Alternative,Alternative
No,3SYAtFkdew61hXU32aD2zl,Adam Hicks,"Determinate - From ""Lemonade Mouth""",Alternative,23105,Pop,Pop
No,5vcdrFr1IoedMYhpaCGSFw,Adelitas Way,What It Takes,Alternative,64923,Alternative,Alternative
No,5lgOUdoMBB3eZuSmc5HL4r,Against Me!,"Baby, I'm an Anarchist!",Alternative,67195,Folk,Alternative
No,3OuuN6rBb03hJvBQ5QD7SW,Akon,Sunny Day,Alternative,50822,R&B,Pop
No,2GbY9up4JTjOtZnRgUkoIQ,Alanis Morissette,You Learn - 2015 Remaster,Alternative,43551,Alternative,Alternative
No,51rdCmgHBzg9HJ7eHjVRK9,Alanis Morissette,You Learn,Alternative,120436,Folk,Alternative
No,1qOes5C44BnbFgDFrWnNcX,Alanis Morissette,You Learn - Live / Unplugged Version,Alternative,89004,Folk,Alternative
No,3KsatAMRt1a7iryhWt5I8U,Alice In Chains,I Can't Remember,Alternative,62614,Alternative,Alternative
No,4VijLEUxHEzbWKYL5u9wuN,Alice In Chains,Voices,Alternative,35786,Alternative,Alternative
No,1rnXcVsz3y7kgsArGIVjvO,Alicia Keys,Distance and Time,Alternative,161260,R&B,R&B
No,5uFpinqitfq90upb1Hm0Od,Alicia Keys,Blended Family (What You Do For Love),Alternative,108323,R&B,R&B
No,7nDtDxsKJ3fho8xEmU65JJ,Alien Ant Farm,Wish,Alternative,92957,Alternative,Alternative
No,0IzNK0l6rCaCpDg21b59xj,Alina Baraz,Make You Feel,Alternative,191837,R&B,R&B
No,5INe9EN6cNF6axQ4A4BQfy,Aloe Blacc,Can You Do This,Alternative,190580,R&B,R&B
