artist_name,genre_summary
!!!,Alternative 1
"""Weird Al"" Yankovic",Comedy 30
$NOT,Hip-Hop 2
$olal,Jazz 1
$teven Cannon,Hip-Hop 1
$uicideBoy$,Hip-Hop 41
(Sandy) Alex G,"Alternative 1, Folk 5"
*NSYNC,Pop 5
03 Greedo,Hip-Hop 2
070 Shake,Hip-Hop 4
10 Years,Alternative 6
"10,000 Maniacs","Folk 2, Pop 1"
1000mods,Blues 2
1010 Benja SL,R&B 1
11 Acorn Lane,Jazz 2
112,"Hip-Hop 1, Pop 1, R&B 3"
116,Hip-Hop 2
11:11,R&B 4
12 Stones,Alternative 1
1K Phew,Hip-Hop 3
2 Chainz,"Hip-Hop 20, Pop 12"
2 LIVE CREW,Hip-Hop 1
21 Savage,"Hip-Hop 19, Pop 15"
24hrs,R&B 6
2Pac,"Hip-Hop 21, Pop 5"
2nd Exit,Jazz 1
3 Doors Down,Alternative 12
311,"Alternative 21, Pop 1"
38 Special,Folk 2
3LAU,Pop 1
3OH!3,Pop 1
3rd Force,Jazz 2
4 Non Blondes,Pop 1
5 Seconds of Summer,Pop 17
50 Cent,"Hip-Hop 18, Pop 2"
6 Dogs,Hip-Hop 3
641,Pop 1
6LACK,"Alternative 13, Hip-Hop 15, Pop 10, R&B 15"
702,R&B 2
7Horse,Blues 3
7eventh Time Down,Alternative 1
88GLAM,"Hip-Hop 11, Pop 3"
93FEETOFSMOKE,Hip-Hop 1
9th Wonder,Hip-Hop 1
A Blaze of Feather,Folk 1
A Day To Remember,Pop 4
A Fine Frenzy,Folk 2
A Great Big World,Pop 2
A Perfect Circle,Alternative 15
A R I Z O N A,Pop 2
A Rocket To The Moon,Alternative 1
A Tribe Called Quest,"Alternative 5, Hip-Hop 16, Jazz 28"
A l l i e,R&B 1
A$AP Ferg,"Hip-Hop 14, Pop 3"
A$AP Mob,"Hip-Hop 11, Pop 3"
A$AP Rocky,"Hip-Hop 19, Pop 11"
A$AP Twelvyy,Hip-Hop 1
A.C. Reed,Blues 1
A.CHAL,Hip-Hop 5
ABBA,Pop 2
ABRA,R&B 4
AFI,"Alternative 5, Pop 1"
AHI,Folk 1
AJ Mitchell,Pop 1
AJJ,Folk 11
AJR,Pop 7
AK,Hip-Hop 4
ARTY,Pop 1
ASTRO,Pop 1
ATEEZ,Pop 2
AURORA,Pop 1
AViVA,Pop 1
AWOLNATION,Alternative 3
Aaliyah,"Hip-Hop 3, Pop 2, R&B 5"
Aaron Cole,Hip-Hop 1
Aaron Copland,Classical 29
Aaron Goldberg,Jazz 1
Aaron Jay Kernis,Classical 2
Aaron Karo,Comedy 2
Aaron Lewis,Alternative 8
Aaron Parks,Jazz 2
Aaron Shust,Alternative 2
Aaron Taylor,"Jazz 2, R&B 2"
Ab-Soul,"Alternative 2, Hip-Hop 3"
Abbey Lincoln,Jazz 1
Abel Carlevaro,Classical 2
Abhi The Nomad,Hip-Hop 3
Abhi//Dijon,R&B 1
Abner Jay,Blues 1
Abraham Mateo,Pop 1
Absofacto,Pop 1
Abstract,Hip-Hop 2
Abstract Orchestra,"Jazz 1, R&B 1"
Academy of Ancient Music,Classical 1
Accademia Bizantina,Opera 16
Ace Hood,Hip-Hop 5
Ace of Base,Pop 1
Acoustic Alchemy,Jazz 4
Action Bronson,"Alternative 2, Hip-Hop 6, Pop 1"
Adam Baldych,Jazz 1
Adam Ferrara,Comedy 15
Adam Gussow,Blues 1
Adam Hambrick,Pop 1
Adam Hicks,Pop 1
Adam Hunter,Comedy 1
Adam Jensen,Alternative 4
Adam Lambert,Pop 2
Adam Rafferty,Jazz 2
Adam Sandler,Comedy 41
Adele,Pop 10
Adelitas Way,Alternative 3
Adina Howard,R&B 2
Adolphe Adam,Opera 87
Adrian Eagle,Hip-Hop 1
Adrian Marcel,R&B 2
Adrian Von Ziegler,Folk 1
Adrianne Lenker,Folk 4
Adriel Favela,Pop 2
Adult Mom,Folk 2
Ady Suleiman,R&B 2
Aer,Pop 1
Aeris Roves,"Alternative 1, R&B 2"
Aesop Rock,"Alternative 2, Hip-Hop 4"
Afro B,"Hip-Hop 1, Pop 1"
Afroman,Hip-Hop 1
After 7,R&B 4
Afterlife,Jazz 1
Aftertheparty,"Alternative 4, R&B 4"
Against All Authority,Folk 1
Against All Logic,Hip-Hop 1
Against Me!,Folk 4
Agnes Baltsa,Opera 1
Agustín Barrios Mangoré,Classical 12
Aha Gazelle,Hip-Hop 1
Ahmad Jamal,Jazz 5
Ahmad Jamal Trio,Jazz 3
Aim,Jazz 5
Aimee Mann,Folk 1
Air,Alternative 1
Airways,Alternative 1
Aisha Badru,"Folk 1, Pop 1"
Aitana,Pop 1
Ajmw,Jazz 7
Akihiko Matsumoto,Classical 1
Akira Ifukube,Classical 1
