instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,subgenre
134768,Freddie Gibbs,Triple Threat,12NwYmQT1Mm7gkrCjIuq0d,45,0.0252,0.85,178422,0.412,0,D,0.0948,-7.845,Major,0.236,130.99,04-Apr,0.663,Alternative,"Hip hop music, gangsta rap, The Guardian, Alternative Hip Hop"
97297,Three Days Grace,No More,4yDs61mzPcTod9qrBUE3H9,45,0.00261,0.271,225493,0.916,0,F#,0.156,-3.141,Minor,0.0581,197.817,04-Apr,0.286,Alternative,"Post-grunge, hard rock, alternative rock, alternative metal, nu metal"
88412,Solange,Don't You Wait,0AmkrjMDff4ICVNxQhppZA,45,0.279,0.833,245907,0.579,0.692,C,0.0997,-6.568,Major,0.08,?,04-Apr,0.514,Alternative,
172572,Amy Grant,"Baby, Baby",25AmLrQC1b3Hz9FUGZXF1S,58,0.426,0.702,236973,0.901,0.00153,C#,0.0368,-4.45,Major,0.0264,97.862,04-Apr,0.919,Alternative,"Contemporary Christian music, pop rock, soft rock, Gospel music"
194415,empty_field,Livin Right,6KmnejQFYdWUVUJh6zwEce,46,0.00114,0.539,209760,0.915,0,C#,0.0675,-4.251,Minor,0.0601,88.051,04-Apr,0.435,Alternative,
45901,Mandisa,Unfinished,6bbgFuZu4zsvAfSDhBiH34,49,0.0152,0.63,-1,0.691,0,A,0.303,-4.334,Major,0.0312,93.014,04-Apr,0.261,Alternative,"Contemporary Christian music, Gospel music, Contemporary R&B"
22453,Masego,I DO EVERYTHING!,4Vs0lqUgQzO4vEcbgkUgJb,49,0.521,0.76,-1,0.393,0.000668,C#,0.796,-11.219,Minor,0.525,135.293,04-Apr,0.34,Alternative,
52047,empty_field,Roll Right,5mJ69hhibmTLd407KDDgQK,49,0.014,0.527,-1,0.789,0.0133,A,0.381,-8.049,Major,0.0694,86.137,04-Apr,0.452,Alternative,
114252,Florence + The Machine,My Best Dress - Demo,32VsrbbWKZAuUSsWkMKzZM,55,0.518,0.578,154587,0.272,6.59E-06,C,0.106,-7.944,Minor,0.0818,135.098,04-Apr,0.211,Alternative,
216960,empty_field,Guitarras Blancas,1uOgZkPPwGgya04nRoM1wy,58,0.0707,0.632,266827,0.754,4.62E-05,G#,0.14,-4.639,Major,0.0385,145.066,04-Apr,0.792,Alternative,
